prec,2015,13.97,22.11,10.68,93.22,109.98,120.4,79.5,210.57,54.61,55.37,99.83,78.23
tmin,2015,-11.15,-15.75,-4.85,4.03,9.28,15.69,17.04,14.64,13.43,4.79,-0.86,-5.77
tmax,2015,-1.17,-4.66,9.58,17.4,21.61,27,28.91,26.38,26.44,17.87,10,2.24
prec,2016,6.35,20.33,44.21,119.89,145.29,19.31,137.42,72.9,254.77,83.06,26.17,42.67
tmin,2016,-13.08,-7.64,-0.54,3.76,9.61,16.49,17.35,15.43,12.76,6.41,0.8,-10.75
tmax,2016,-4.41,1.44,10.38,15.43,22.07,29.79,30.02,28.89,26,18.85,13.16,-0.95
prec,2017,24.66,48.26,47.5,68.58,89.16,61.47,11.44,214.12,33.28,94.49,2.29,6.87
tmin,2017,-8.72,-5.02,-3.24,4.72,7.56,14.71,17.78,14.5,12.38,5.65,-4.31,-9.75
tmax,2017,-2.15,7.51,6.28,16.98,21.78,29.71,30.8,26.11,25.5,16.87,6.35,0.32
prec,2018,24.64,32.28,77.73,71.63,147.07,196.09,87.38,124.71,260.61,75.44,27.69,73.41
tmin,2018,-13.93,-13.57,-3.6,-3.31,12.65,17.34,17.82,14.78,11.76,2.03,-6.06,-7.14
tmax,2018,-3.41,-2.96,5.06,8.07,25.04,28.98,28.81,28.15,23.95,14.28,2.94,0.73
prec,2019,11.18,60.45,54.36,96.27,200.66,126.49,78.99,53.34,127.76,98.05,51.82,32.51
tmin,2019,-14.2,-18.38,-6.61,3.22,8.12,14.52,18.24,14.9,14.69,2.41,-6.35,-10.18
tmax,2019,-3.3,-4.87,2.8,14.54,18.03,26.85,29.1,26.19,25.07,13.19,3.63,-0.45
prec,2020,36.09,10.42,56.91,22.62,115.84,89.67,34.8,16.52,39.12,31.77,38.35,12.7
tmin,2020,-13.75,-12.55,-2.81,-0.69,8.49,16.72,17.61,15.23,9.67,0.2,-2.2,-9.41
tmax,2020,-3.42,-0.9,7.47,13.56,19.01,28.91,29.81,28.64,23.02,12.49,10.73,1.9
prec,2021,18.54,16.26,53.34,26.16,69.09,34.04,92.46,118.11,63.75,141.22,12.19,19.81
tmin,2021,-9.62,-16.83,-1.44,1.72,8.66,15.77,16.74,15.88,11.21,6.06,-2.74,-7.7
tmax,2021,-1.11,-8.04,10.07,14.8,20.3,30.06,28.65,28.49,25.73,18.15,8.81,3.39
prec,2022,18.54,6.35,24.89,38.35,63.25,34.05,95,97.29,43.69,7.88,33.8,44.21
tmin,2022,-18.1,-15.23,-4.86,-1.26,9.09,15.3,17.03,14.67,9.67,1.13,-4.91,-13.3
tmax,2022,-3.8,-1.26,6.81,11.34,21.3,28.11,29.52,27.59,24.62,17.06,7.26,-4.68
prec,2023,54.11,46.99,32.77,48.51,120.15,83.06,43.94,108.46,38.36,137.16,1.28,46.23
tmin,2023,-12.31,-13.64,-7.35,2.54,10.2,16.29,15.18,15.48,11.9,4.84,-4.42,-5.3
tmax,2023,-3.23,-2.28,2.26,14.33,24.93,28.71,28.21,28.17,26.23,16.95,9.4,4.89
prec,2024,13.72,4.83,91.19,161.54,193.04,231.65,55.12,78.49,34.29,23.62,46.23,0.51
tmin,2024,-11.85,-5.77,-5.11,4.17,11.06,16.3,17.37,15.13,10.52,3.89,-1.55,-13.47
tmax,2024,-4.81,7.28,9.86,17.64,24.02,28.56,29.14,26.96,27.24,22.4,8.83,4.03
