Year,Month,Stations,prec,tmax,tmin
2015,Month_1,emmetsburg,13.97,-1.17,-11.15
2015,Month_10,emmetsburg,55.37,17.87,4.79
2015,Month_11,emmetsburg,99.83,10.0,-0.86
2015,Month_12,emmetsburg,78.23,2.24,-5.77
2015,Month_2,emmetsburg,22.11,-4.66,-15.75
2015,Month_3,emmetsburg,10.68,9.58,-4.85
2015,Month_4,emmetsburg,93.22,17.4,4.03
2015,Month_5,emmetsburg,109.98,21.61,9.28
2015,Month_6,emmetsburg,120.4,27.0,15.69
2015,Month_7,emmetsburg,79.5,28.91,17.04
2015,Month_8,emmetsburg,210.57,26.38,14.64
2015,Month_9,emmetsburg,54.61,26.44,13.43
2016,Month_1,emmetsburg,6.35,-4.41,-13.08
2016,Month_10,emmetsburg,83.06,18.85,6.41
2016,Month_11,emmetsburg,26.17,13.16,0.8
2016,Month_12,emmetsburg,42.67,-0.95,-10.75
2016,Month_2,emmetsburg,20.33,1.44,-7.64
2016,Month_3,emmetsburg,44.21,10.38,-0.54
2016,Month_4,emmetsburg,119.89,15.43,3.76
2016,Month_5,emmetsburg,145.29,22.07,9.61
2016,Month_6,emmetsburg,19.31,29.79,16.49
2016,Month_7,emmetsburg,137.42,30.02,17.35
2016,Month_8,emmetsburg,72.9,28.89,15.43
2016,Month_9,emmetsburg,254.77,26.0,12.76
2017,Month_1,emmetsburg,24.66,-2.15,-8.72
2017,Month_10,emmetsburg,94.49,16.87,5.65
2017,Month_11,emmetsburg,2.29,6.35,-4.31
2017,Month_12,emmetsburg,6.87,0.32,-9.75
2017,Month_2,emmetsburg,48.26,7.51,-5.02
2017,Month_3,emmetsburg,47.5,6.28,-3.24
2017,Month_4,emmetsburg,68.58,16.98,4.72
2017,Month_5,emmetsburg,89.16,21.78,7.56
2017,Month_6,emmetsburg,61.47,29.71,14.71
2017,Month_7,emmetsburg,11.44,30.8,17.78
2017,Month_8,emmetsburg,214.12,26.11,14.5
2017,Month_9,emmetsburg,33.28,25.5,12.38
2018,Month_1,emmetsburg,24.64,-3.41,-13.93
2018,Month_10,emmetsburg,75.44,14.28,2.03
2018,Month_11,emmetsburg,27.69,2.94,-6.06
2018,Month_12,emmetsburg,73.41,0.73,-7.14
2018,Month_2,emmetsburg,32.28,-2.96,-13.57
2018,Month_3,emmetsburg,77.73,5.06,-3.6
2018,Month_4,emmetsburg,71.63,8.07,-3.31
2018,Month_5,emmetsburg,147.07,25.04,12.65
2018,Month_6,emmetsburg,196.09,28.98,17.34
2018,Month_7,emmetsburg,87.38,28.81,17.82
2018,Month_8,emmetsburg,124.71,28.15,14.78
2018,Month_9,emmetsburg,260.61,23.95,11.76
2019,Month_1,emmetsburg,11.18,-3.3,-14.2
2019,Month_10,emmetsburg,98.05,13.19,2.41
2019,Month_11,emmetsburg,51.82,3.63,-6.35
2019,Month_12,emmetsburg,32.51,-0.45,-10.18
2019,Month_2,emmetsburg,60.45,-4.87,-18.38
2019,Month_3,emmetsburg,54.36,2.8,-6.61
2019,Month_4,emmetsburg,96.27,14.54,3.22
2019,Month_5,emmetsburg,200.66,18.03,8.12
2019,Month_6,emmetsburg,126.49,26.85,14.52
2019,Month_7,emmetsburg,78.99,29.1,18.24
2019,Month_8,emmetsburg,53.34,26.19,14.9
2019,Month_9,emmetsburg,127.76,25.07,14.69
2020,Month_1,emmetsburg,36.09,-3.42,-13.75
2020,Month_10,emmetsburg,31.77,12.49,0.2
2020,Month_11,emmetsburg,38.35,10.73,-2.2
2020,Month_12,emmetsburg,12.7,1.9,-9.41
2020,Month_2,emmetsburg,10.42,-0.9,-12.55
2020,Month_3,emmetsburg,56.91,7.47,-2.81
2020,Month_4,emmetsburg,22.62,13.56,-0.69
2020,Month_5,emmetsburg,115.84,19.01,8.49
2020,Month_6,emmetsburg,89.67,28.91,16.72
2020,Month_7,emmetsburg,34.8,29.81,17.61
2020,Month_8,emmetsburg,16.52,28.64,15.23
2020,Month_9,emmetsburg,39.12,23.02,9.67
2021,Month_1,emmetsburg,18.54,-1.11,-9.62
2021,Month_10,emmetsburg,141.22,18.15,6.06
2021,Month_11,emmetsburg,12.19,8.81,-2.74
2021,Month_12,emmetsburg,19.81,3.39,-7.7
2021,Month_2,emmetsburg,16.26,-8.04,-16.83
2021,Month_3,emmetsburg,53.34,10.07,-1.44
2021,Month_4,emmetsburg,26.16,14.8,1.72
2021,Month_5,emmetsburg,69.09,20.3,8.66
2021,Month_6,emmetsburg,34.04,30.06,15.77
2021,Month_7,emmetsburg,92.46,28.65,16.74
2021,Month_8,emmetsburg,118.11,28.49,15.88
2021,Month_9,emmetsburg,63.75,25.73,11.21
2022,Month_1,emmetsburg,18.54,-3.8,-18.1
2022,Month_10,emmetsburg,7.88,17.06,1.13
2022,Month_11,emmetsburg,33.8,7.26,-4.91
2022,Month_12,emmetsburg,44.21,-4.68,-13.3
2022,Month_2,emmetsburg,6.35,-1.26,-15.23
2022,Month_3,emmetsburg,24.89,6.81,-4.86
2022,Month_4,emmetsburg,38.35,11.34,-1.26
2022,Month_5,emmetsburg,63.25,21.3,9.09
2022,Month_6,emmetsburg,34.05,28.11,15.3
2022,Month_7,emmetsburg,95.0,29.52,17.03
2022,Month_8,emmetsburg,97.29,27.59,14.67
2022,Month_9,emmetsburg,43.69,24.62,9.67
2023,Month_1,emmetsburg,54.11,-3.23,-12.31
2023,Month_10,emmetsburg,137.16,16.95,4.84
2023,Month_11,emmetsburg,1.28,9.4,-4.42
2023,Month_12,emmetsburg,46.23,4.89,-5.3
2023,Month_2,emmetsburg,46.99,-2.28,-13.64
2023,Month_3,emmetsburg,32.77,2.26,-7.35
2023,Month_4,emmetsburg,48.51,14.33,2.54
2023,Month_5,emmetsburg,120.15,24.93,10.2
2023,Month_6,emmetsburg,83.06,28.71,16.29
2023,Month_7,emmetsburg,43.94,28.21,15.18
2023,Month_8,emmetsburg,108.46,28.17,15.48
2023,Month_9,emmetsburg,38.36,26.23,11.9
2024,Month_1,emmetsburg,13.72,-4.81,-11.85
2024,Month_10,emmetsburg,23.62,22.4,3.89
2024,Month_11,emmetsburg,46.23,8.83,-1.55
2024,Month_12,emmetsburg,0.51,4.03,-13.47
2024,Month_2,emmetsburg,4.83,7.28,-5.77
2024,Month_3,emmetsburg,91.19,9.86,-5.11
2024,Month_4,emmetsburg,161.54,17.64,4.17
2024,Month_5,emmetsburg,193.04,24.02,11.06
2024,Month_6,emmetsburg,231.65,28.56,16.3
2024,Month_7,emmetsburg,55.12,29.14,17.37
2024,Month_8,emmetsburg,78.49,26.96,15.13
2024,Month_9,emmetsburg,34.29,27.24,10.52
