Year,Month,Stations,prec,tmax,tmin
2015,Month_1,estherville4e,7.62,-3.05,-13.12
2015,Month_10,estherville4e,55.12,16.92,2.9
2015,Month_11,estherville4e,91.95,7.91,-1.76
2015,Month_12,estherville4e,107.7,0.67,-6.5
2015,Month_2,estherville4e,31.24,-5.77,-16.94
2015,Month_3,estherville4e,12.45,8.06,-5.02
2015,Month_4,estherville4e,52.08,16.07,2.19
2015,Month_5,estherville4e,113.54,19.71,8.64
2015,Month_6,estherville4e,68.84,25.78,14.78
2015,Month_7,estherville4e,60.45,27.69,15.65
2015,Month_8,estherville4e,175.52,25.54,13.92
2015,Month_9,estherville4e,58.17,25.22,12.69
2016,Month_1,estherville4e,25.66,-5.75,-14.48
2016,Month_10,estherville4e,97.54,17.28,3.96
2016,Month_11,estherville4e,26.42,11.11,-0.19
2016,Month_12,estherville4e,35.82,-3.08,-12.56
2016,Month_2,estherville4e,51.57,-0.73,-8.67
2016,Month_3,estherville4e,49.54,8.87,-1.83
2016,Month_4,estherville4e,90.18,14.48,2.63
2016,Month_5,estherville4e,123.19,20.81,8.26
2016,Month_6,estherville4e,73.66,28.35,15.5
2016,Month_7,estherville4e,114.05,28.02,15.98
2016,Month_8,estherville4e,62.24,26.97,15.34
2016,Month_9,estherville4e,169.93,23.85,12.04
2017,Month_1,estherville4e,43.7,-3.57,-10.66
2017,Month_10,estherville4e,108.72,15.48,3.75
2017,Month_11,estherville4e,5.85,5.46,-5.81
2017,Month_12,estherville4e,5.08,-1.61,-11.95
2017,Month_2,estherville4e,16.76,4.34,-6.58
2017,Month_3,estherville4e,60.72,4.39,-5.39
2017,Month_4,estherville4e,48.26,13.77,2.99
2017,Month_5,estherville4e,136.15,19.7,7.53
2017,Month_6,estherville4e,99.06,27.63,14.0
2017,Month_7,estherville4e,20.07,29.04,16.61
2017,Month_8,estherville4e,177.04,24.57,13.15
2017,Month_9,estherville4e,87.89,24.46,11.07
2018,Month_1,estherville4e,66.81,-6.35,-16.19
2018,Month_10,estherville4e,65.28,12.35,0.77
2018,Month_11,estherville4e,24.39,1.13,-7.96
2018,Month_12,estherville4e,83.82,-1.79,-9.25
2018,Month_2,estherville4e,41.67,-5.48,-16.49
