Year,Month,Stations,prec,tmax,tmin
2015,Month_1,esthervillemunicipal,4.34,-2.89,-11.54
2015,Month_10,esthervillemunicipal,40.9,16.93,3.43
2015,Month_11,esthervillemunicipal,106.43,7.74,-1.95
2015,Month_12,esthervillemunicipal,47.27,0.31,-6.63
2015,Month_2,esthervillemunicipal,1.05,-5.56,-16.19
2015,Month_3,esthervillemunicipal,8.39,8.96,-4.09
2015,Month_4,esthervillemunicipal,48.77,16.11,1.67
2015,Month_5,esthervillemunicipal,106.44,19.82,8.33
2015,Month_6,esthervillemunicipal,66.56,25.91,14.11
2015,Month_7,esthervillemunicipal,53.34,27.11,14.57
2015,Month_8,esthervillemunicipal,169.17,24.8,13.67
2015,Month_9,esthervillemunicipal,61.48,24.85,12.59
2016,Month_1,esthervillemunicipal,7.65,-4.98,-13.35
2016,Month_10,esthervillemunicipal,111.76,16.51,4.0
2016,Month_11,esthervillemunicipal,27.95,11.02,-0.39
2016,Month_12,esthervillemunicipal,20.85,-2.44,-11.29
2016,Month_2,esthervillemunicipal,11.21,-0.77,-8.33
2016,Month_3,esthervillemunicipal,42.94,8.98,-1.97
2016,Month_4,esthervillemunicipal,108.47,14.19,2.94
2016,Month_5,esthervillemunicipal,103.38,20.93,8.0
2016,Month_6,esthervillemunicipal,73.92,28.04,15.11
2016,Month_7,esthervillemunicipal,117.1,27.08,15.95
2016,Month_8,esthervillemunicipal,60.46,26.02,14.3
2016,Month_9,esthervillemunicipal,175.77,23.8,11.91
2017,Month_1,esthervillemunicipal,9.67,-2.87,-9.96
2017,Month_10,esthervillemunicipal,107.45,14.91,3.49
2017,Month_11,esthervillemunicipal,7.63,6.26,-5.67
2017,Month_12,esthervillemunicipal,4.36,-2.17,-12.08
2017,Month_2,esthervillemunicipal,8.89,3.95,-6.36
2017,Month_3,esthervillemunicipal,35.07,4.34,-5.0
2017,Month_4,esthervillemunicipal,69.35,14.22,3.5
2017,Month_5,esthervillemunicipal,110.25,20.2,7.13
2017,Month_6,esthervillemunicipal,100.84,27.13,13.74
2017,Month_7,esthervillemunicipal,12.45,28.25,15.51
2017,Month_8,esthervillemunicipal,177.55,23.8,12.69
2017,Month_9,esthervillemunicipal,85.6,24.35,10.94
2018,Month_1,esthervillemunicipal,3.07,-4.65,-15.31
2018,Month_10,esthervillemunicipal,58.43,12.03,0.65
2018,Month_11,esthervillemunicipal,27.7,1.07,-7.63
2018,Month_12,esthervillemunicipal,45.48,-1.43,-9.32
2018,Month_2,esthervillemunicipal,1.55,-5.5,-16.17
