Year,Month,Stations,prec,tmax,tmin
2015,Month_1,fairfield,22.36,-0.07,-10.5
2015,Month_10,fairfield,40.39,18.11,6.11
2015,Month_11,fairfield,143.26,12.31,2.41
2015,Month_12,fairfield,117.88,7.35,-0.22
2015,Month_2,fairfield,43.44,-3.41,-14.05
2015,Month_3,fairfield,9.15,9.73,-3.46
2015,Month_4,fairfield,76.46,18.1,5.5
2015,Month_5,fairfield,118.88,22.06,11.54
2015,Month_6,fairfield,159.52,26.31,16.31
2015,Month_7,fairfield,210.83,28.06,18.32
2015,Month_8,fairfield,60.46,27.02,16.31
2015,Month_9,fairfield,71.88,27.22,15.06
2016,Month_1,fairfield,6.61,-0.68,-9.23
2016,Month_10,fairfield,66.3,19.93,8.8
2016,Month_11,fairfield,17.79,14.69,2.52
2016,Month_12,fairfield,31.25,0.48,-6.86
2016,Month_2,fairfield,22.11,3.83,-4.83
2016,Month_3,fairfield,64.53,11.9,1.56
2016,Month_4,fairfield,50.56,16.46,4.92
2016,Month_5,fairfield,95.01,21.51,10.63
2016,Month_6,fairfield,29.72,29.96,16.98
2016,Month_7,fairfield,196.09,28.28,18.09
2016,Month_8,fairfield,235.47,28.26,18.8
2016,Month_9,fairfield,22.86,26.98,15.35
2017,Month_1,fairfield,36.85,1.22,-6.51
2017,Month_10,fairfield,117.87,18.35,8.23
2017,Month_11,fairfield,20.08,9.21,-1.32
2017,Month_12,fairfield,13.47,2.37,-7.2
2017,Month_2,fairfield,7.37,9.31,-3.0
2017,Month_3,fairfield,64.53,9.77,-0.91
2017,Month_4,fairfield,132.34,16.96,6.24
2017,Month_5,fairfield,78.23,20.79,9.41
2017,Month_6,fairfield,22.35,29.0,15.54
2017,Month_7,fairfield,28.96,31.63,18.47
2017,Month_8,fairfield,37.86,27.76,14.96
2017,Month_9,fairfield,155.2,27.58,13.29
2018,Month_1,fairfield,10.42,-0.68,-8.19
2018,Month_10,fairfield,117.11,15.75,4.94
2018,Month_11,fairfield,83.32,3.69,-4.02
2018,Month_12,fairfield,39.13,3.24,-5.31
2018,Month_2,fairfield,59.45,1.19,-9.15
2018,Month_3,fairfield,80.53,7.63,-2.39
2018,Month_4,fairfield,16.52,11.63,-0.71
2018,Month_5,fairfield,103.13,26.86,14.53
2018,Month_6,fairfield,126.25,28.83,18.04
2018,Month_7,fairfield,51.82,29.07,17.63
2018,Month_8,fairfield,151.9,29.16,17.74
2018,Month_9,fairfield,127.51,24.92,14.14
2019,Month_1,fairfield,74.69,-1.72,-10.79
2019,Month_10,fairfield,50.05,14.06,2.99
2019,Month_11,fairfield,29.22,5.83,-3.37
2019,Month_12,fairfield,23.38,5.46,-3.91
2019,Month_2,fairfield,80.53,-1.75,-12.0
2019,Month_3,fairfield,62.49,5.57,-4.28
2019,Month_4,fairfield,71.39,15.91,3.85
2019,Month_5,fairfield,292.87,19.34,8.62
2019,Month_6,fairfield,87.13,26.37,15.54
2019,Month_7,fairfield,55.12,30.64,19.12
2019,Month_8,fairfield,73.66,27.31,15.34
2019,Month_9,fairfield,195.34,26.13,14.92
2020,Month_1,fairfield,63.52,0.81,-6.72
2020,Month_10,fairfield,46.49,13.67,2.6
2020,Month_11,fairfield,79.76,12.22,1.07
2020,Month_12,fairfield,63.76,2.71,-4.68
2020,Month_2,fairfield,8.14,2.34,-6.39
2020,Month_3,fairfield,81.81,9.35,0.52
2020,Month_4,fairfield,61.23,14.23,2.2
2020,Month_5,fairfield,136.42,19.23,8.84
2020,Month_6,fairfield,183.4,27.85,16.3
2020,Month_7,fairfield,95.51,29.53,19.42
