prec,2015,12.21,27.7,15.25,98.05,129.55,168.15,80.01,93.99,91.19,48.77,70.11,164.61
tmin,2015,-12.83,-18.43,-6,2.48,9.68,13.93,15.72,13.74,13.45,4.37,-0.37,-2.69
tmax,2015,-3.19,-7.22,6.41,16.76,20.18,25.41,26.88,25.98,26.28,17.28,9.63,4.21
prec,2016,19.83,21.61,65.04,41.92,97.54,163.07,147.58,152.91,222.76,59.95,43.95,53.11
tmin,2016,-12.8,-8.58,-2.1,2.81,7.83,14.83,16.59,16.13,12.68,5.93,0.59,-10.54
tmax,2016,-4.8,-0.27,9.07,14.44,21.56,27.41,27.1,27.28,24.16,17.87,12.55,-3.06
prec,2017,72.4,25.15,58.94,104.39,118.12,217.18,324.61,34.05,50.81,170.44,12.2,10.94
tmin,2017,-9.46,-5.78,-4.01,4.13,7.94,13.98,16.56,13.44,11.44,5.9,-4.28,-10.75
tmax,2017,-2.53,4.84,5.88,15.35,19.52,27.28,27.74,25.13,25.96,16.9,6.39,-0.86
prec,2018,32.52,44.21,47.5,58.17,179.07,143,106.68,172.47,338.07,161.29,56.9,56.41
tmin,2018,-14.21,-13.25,-5.22,-3.56,12.54,16.43,16.09,15.83,11.44,1.88,-7.31,-7.15
tmax,2018,-4.16,-3.04,4.91,8.35,24.28,27.16,28.02,27.39,23.51,13.14,1.3,0.16
prec,2019,24.15,41.41,21.85,73.16,136.91,102.37,122.69,71.38,161.8,154.43,51.82,31.26
tmin,2019,-15.07,-16.98,-8.59,0.63,6.85,13.22,17.24,12.87,12.45,1.72,-6.8,-8.05
tmax,2019,-5.61,-4.64,1.65,13.56,17.9,25.15,28.19,24.8,23.6,12.58,2.22,2.31
prec,2020,20.33,13.97,88.15,29.48,135.89,239.53,79,25.91,163.58,53.35,52.07,11.69
tmin,2020,-11.25,-13.98,-2.72,-1.25,6.95,14.67,16.86,13.62,8.52,0.39,-3.24,-9.82
tmax,2020,-2.47,-2.57,6.3,13.01,18.94,26.59,28.03,27.43,21.06,12.31,10.31,0.79
prec,2021,12.96,8.64,47.75,15.75,89.92,60.46,79,292.61,52.33,112.53,39.64,17.54
tmin,2021,-11.95,-19.23,-1.97,1.72,8.57,15.83,16.02,14.59,10.2,6.81,-3.98,-7.83
tmax,2021,-3.14,-8.71,8.3,14.31,19.78,29.11,26.95,26.7,24.35,17.83,7.48,2.76
prec,2022,11.69,3.82,101.61,82.04,92.46,132.08,86.36,180.09,25.4,56.39,65.8,34.3
tmin,2022,-19.65,-15.63,-4.87,-1.07,8.64,13.87,15.88,14.58,10.57,1.28,-4.43,-12.08
tmax,2022,-7.69,-3.79,5.15,9.43,21.09,26.31,26.99,25.52,22.69,16.02,7.26,-3.8
prec,2023,38.62,50.05,37.09,57.4,50.8,76.21,69.86,21.59,100.59,71.13,6.1,29.22
tmin,2023,-9.64,-11.69,-5.63,0.46,8.63,13.31,14.09,14.37,10.96,4.37,-5.27,-3.74
tmax,2023,-2.22,-0.52,4.57,14.54,22.57,27.38,26.43,27.67,25.04,16.11,7.64,4.06
prec,2024,34.8,7.62,57.41,81.03,252.48,209.56,59.69,61.47,5.85,46.99,105.42,0.51
tmin,2024,-10.93,-6.56,-3.57,1.91,8.71,14.69,15.06,13.92,10.27,3.72,-1.63,-12.7
tmax,2024,-4.64,7.39,9.25,14.13,21.58,26.42,25.77,26.56,25.44,20.23,7.7,0.56
