Year,Month,Stations,prec,tmax,tmin
2015,Month_1,fayette,12.21,-3.19,-12.83
2015,Month_10,fayette,48.77,17.28,4.37
2015,Month_11,fayette,70.11,9.63,-0.37
2015,Month_12,fayette,164.61,4.21,-2.69
2015,Month_2,fayette,27.7,-7.22,-18.43
2015,Month_3,fayette,15.25,6.41,-6.0
2015,Month_4,fayette,98.05,16.76,2.48
2015,Month_5,fayette,129.55,20.18,9.68
2015,Month_6,fayette,168.15,25.41,13.93
2015,Month_7,fayette,80.01,26.88,15.72
2015,Month_8,fayette,93.99,25.98,13.74
2015,Month_9,fayette,91.19,26.28,13.45
2016,Month_1,fayette,19.83,-4.8,-12.8
2016,Month_10,fayette,59.95,17.87,5.93
2016,Month_11,fayette,43.95,12.55,0.59
2016,Month_12,fayette,53.11,-3.06,-10.54
2016,Month_2,fayette,21.61,-0.27,-8.58
2016,Month_3,fayette,65.04,9.07,-2.1
2016,Month_4,fayette,41.92,14.44,2.81
2016,Month_5,fayette,97.54,21.56,7.83
2016,Month_6,fayette,163.07,27.41,14.83
2016,Month_7,fayette,147.58,27.1,16.59
2016,Month_8,fayette,152.91,27.28,16.13
2016,Month_9,fayette,222.76,24.16,12.68
2017,Month_1,fayette,72.4,-2.53,-9.46
2017,Month_10,fayette,170.44,16.9,5.9
2017,Month_11,fayette,12.2,6.39,-4.28
2017,Month_12,fayette,10.94,-0.86,-10.75
2017,Month_2,fayette,25.15,4.84,-5.78
2017,Month_3,fayette,58.94,5.88,-4.01
2017,Month_4,fayette,104.39,15.35,4.13
2017,Month_5,fayette,118.12,19.52,7.94
2017,Month_6,fayette,217.18,27.28,13.98
2017,Month_7,fayette,324.61,27.74,16.56
2017,Month_8,fayette,34.05,25.13,13.44
2017,Month_9,fayette,50.81,25.96,11.44
2018,Month_1,fayette,32.52,-4.16,-14.21
2018,Month_10,fayette,161.29,13.14,1.88
2018,Month_11,fayette,56.9,1.3,-7.31
2018,Month_12,fayette,56.41,0.16,-7.15
2018,Month_2,fayette,44.21,-3.04,-13.25
2018,Month_3,fayette,47.5,4.91,-5.22
2018,Month_4,fayette,58.17,8.35,-3.56
2018,Month_5,fayette,179.07,24.28,12.54
2018,Month_6,fayette,143.0,27.16,16.43
2018,Month_7,fayette,106.68,28.02,16.09
2018,Month_8,fayette,172.47,27.39,15.83
2018,Month_9,fayette,338.07,23.51,11.44
2019,Month_1,fayette,24.15,-5.61,-15.07
2019,Month_10,fayette,154.43,12.58,1.72
2019,Month_11,fayette,51.82,2.22,-6.8
2019,Month_12,fayette,31.26,2.31,-8.05
2019,Month_2,fayette,41.41,-4.64,-16.98
2019,Month_3,fayette,21.85,1.65,-8.59
2019,Month_4,fayette,73.16,13.56,0.63
2019,Month_5,fayette,136.91,17.9,6.85
2019,Month_6,fayette,102.37,25.15,13.22
2019,Month_7,fayette,122.69,28.19,17.24
2019,Month_8,fayette,71.38,24.8,12.87
2019,Month_9,fayette,161.8,23.6,12.45
2020,Month_1,fayette,20.33,-2.47,-11.25
2020,Month_10,fayette,53.35,12.31,0.39
2020,Month_11,fayette,52.07,10.31,-3.24
2020,Month_12,fayette,11.69,0.79,-9.82
2020,Month_2,fayette,13.97,-2.57,-13.98
2020,Month_3,fayette,88.15,6.3,-2.72
2020,Month_4,fayette,29.48,13.01,-1.25
2020,Month_5,fayette,135.89,18.94,6.95
2020,Month_6,fayette,239.53,26.59,14.67
2020,Month_7,fayette,79.0,28.03,16.86
2020,Month_8,fayette,25.91,27.43,13.62
2020,Month_9,fayette,163.58,21.06,8.52
2021,Month_1,fayette,12.96,-3.14,-11.95
2021,Month_10,fayette,112.53,17.83,6.81
2021,Month_11,fayette,39.64,7.48,-3.98
2021,Month_12,fayette,17.54,2.76,-7.83
2021,Month_2,fayette,8.64,-8.71,-19.23
2021,Month_3,fayette,47.75,8.3,-1.97
2021,Month_4,fayette,15.75,14.31,1.72
2021,Month_5,fayette,89.92,19.78,8.57
2021,Month_6,fayette,60.46,29.11,15.83
2021,Month_7,fayette,79.0,26.95,16.02
2021,Month_8,fayette,292.61,26.7,14.59
2021,Month_9,fayette,52.33,24.35,10.2
2022,Month_1,fayette,11.69,-7.69,-19.65
2022,Month_10,fayette,56.39,16.02,1.28
2022,Month_11,fayette,65.8,7.26,-4.43
2022,Month_12,fayette,34.3,-3.8,-12.08
2022,Month_2,fayette,3.82,-3.79,-15.63
2022,Month_3,fayette,101.61,5.15,-4.87
2022,Month_4,fayette,82.04,9.43,-1.07
2022,Month_5,fayette,92.46,21.09,8.64
2022,Month_6,fayette,132.08,26.31,13.87
2022,Month_7,fayette,86.36,26.99,15.88
2022,Month_8,fayette,180.09,25.52,14.58
2022,Month_9,fayette,25.4,22.69,10.57
2023,Month_1,fayette,38.62,-2.22,-9.64
2023,Month_10,fayette,71.13,16.11,4.37
2023,Month_11,fayette,6.1,7.64,-5.27
2023,Month_12,fayette,29.22,4.06,-3.74
2023,Month_2,fayette,50.05,-0.52,-11.69
2023,Month_3,fayette,37.09,4.57,-5.63
2023,Month_4,fayette,57.4,14.54,0.46
2023,Month_5,fayette,50.8,22.57,8.63
2023,Month_6,fayette,76.21,27.38,13.31
2023,Month_7,fayette,69.86,26.43,14.09
2023,Month_8,fayette,21.59,27.67,14.37
2023,Month_9,fayette,100.59,25.04,10.96
2024,Month_1,fayette,34.8,-4.64,-10.93
2024,Month_10,fayette,46.99,20.23,3.72
2024,Month_11,fayette,105.42,7.7,-1.63
2024,Month_12,fayette,0.51,0.56,-12.7
2024,Month_2,fayette,7.62,7.39,-6.56
2024,Month_3,fayette,57.41,9.25,-3.57
2024,Month_4,fayette,81.03,14.13,1.91
2024,Month_5,fayette,252.48,21.58,8.71
2024,Month_6,fayette,209.56,26.42,14.69
2024,Month_7,fayette,59.69,25.77,15.06
2024,Month_8,fayette,61.47,26.56,13.92
2024,Month_9,fayette,5.85,25.44,10.27
