Year,Month,Stations,prec,tmax,tmin
2015,Month_1,fortdodge,31.25,-2.29,-11.81
2015,Month_10,fortdodge,32.77,17.74,4.37
2015,Month_11,fortdodge,98.3,9.6,-0.5
2015,Month_12,fortdodge,156.23,2.41,-4.76
2015,Month_2,fortdodge,38.38,-5.58,-16.63
2015,Month_3,fortdodge,19.32,9.3,-5.04
2015,Month_4,fortdodge,189.24,16.69,2.82
2015,Month_5,fortdodge,144.79,20.0,9.0
2015,Month_6,fortdodge,110.5,25.15,14.96
2015,Month_7,fortdodge,109.22,26.81,16.24
2015,Month_8,fortdodge,248.93,24.63,14.5
2015,Month_9,fortdodge,22.88,25.13,13.09
2016,Month_1,fortdodge,24.15,-4.67,-12.69
2016,Month_10,fortdodge,49.03,18.09,5.33
2016,Month_11,fortdodge,38.87,13.27,0.33
2016,Month_12,fortdodge,53.11,-1.49,-10.66
2016,Month_2,fortdodge,57.16,0.42,-7.78
2016,Month_3,fortdodge,78.75,11.47,-1.33
2016,Month_4,fortdodge,55.39,15.41,2.67
2016,Month_5,fortdodge,148.08,20.65,7.87
2016,Month_6,fortdodge,106.69,28.12,15.75
2016,Month_7,fortdodge,198.13,27.01,17.01
2016,Month_8,fortdodge,230.64,25.96,15.89
2016,Month_9,fortdodge,207.02,24.06,12.57
2017,Month_1,fortdodge,44.47,-2.13,-9.16
2017,Month_10,fortdodge,160.55,16.36,5.13
2017,Month_11,fortdodge,5.09,6.82,-4.6
2017,Month_12,fortdodge,10.71,0.27,-10.38
2017,Month_2,fortdodge,54.87,5.65,-5.95
2017,Month_3,fortdodge,71.13,6.08,-3.91
2017,Month_4,fortdodge,97.8,15.48,3.65
2017,Month_5,fortdodge,141.49,20.39,7.9
2017,Month_6,fortdodge,115.32,27.48,14.46
2017,Month_7,fortdodge,27.95,28.85,17.3
2017,Month_8,fortdodge,135.14,24.63,13.63
2017,Month_9,fortdodge,57.41,25.27,12.3
2018,Month_1,fortdodge,42.95,-4.92,-15.02
2018,Month_10,fortdodge,99.07,13.44,2.29
2018,Month_11,fortdodge,33.04,2.26,-6.9
2018,Month_12,fortdodge,61.73,0.45,-7.04
2018,Month_2,fortdodge,66.06,-3.41,-14.4
2018,Month_3,fortdodge,55.13,4.2,-3.91
2018,Month_4,fortdodge,121.93,8.91,-3.52
2018,Month_5,fortdodge,133.87,25.02,12.44
2018,Month_6,fortdodge,180.1,27.43,17.11
2018,Month_7,fortdodge,87.13,27.88,16.87
2018,Month_8,fortdodge,385.07,25.63,15.46
2018,Month_9,fortdodge,148.09,23.05,12.28
2019,Month_1,fortdodge,24.39,-3.58,-13.23
2019,Month_10,fortdodge,139.2,12.8,1.95
2019,Month_11,fortdodge,26.43,3.96,-4.91
2019,Month_12,fortdodge,36.08,2.01,-8.01
2019,Month_2,fortdodge,63.5,-6.15,-16.65
2019,Month_3,fortdodge,67.31,3.41,-6.41
2019,Month_4,fortdodge,88.14,14.94,1.78
2019,Month_5,fortdodge,178.31,18.32,7.13
2019,Month_6,fortdodge,108.2,25.59,14.33
2019,Month_7,fortdodge,146.56,27.85,17.84
2019,Month_8,fortdodge,63.51,25.11,14.48
2019,Month_9,fortdodge,161.29,23.78,14.11
2020,Month_1,fortdodge,43.2,-2.53,-10.79
2020,Month_10,fortdodge,37.09,12.46,0.75
2020,Month_11,fortdodge,50.81,11.22,-1.93
2020,Month_12,fortdodge,15.24,1.9,-9.62
2020,Month_2,fortdodge,16.77,0.06,-11.65
2020,Month_3,fortdodge,92.98,8.78,-1.86
2020,Month_4,fortdodge,24.91,14.33,0.34
2020,Month_5,fortdodge,111.02,19.48,8.66
2020,Month_6,fortdodge,76.21,28.04,16.35
2020,Month_7,fortdodge,61.48,29.37,17.28
2020,Month_8,fortdodge,52.33,28.73,15.93
2020,Month_9,fortdodge,83.31,22.15,9.66
2021,Month_1,fortdodge,27.95,-0.95,-9.53
