Year,Month,Stations,prec,tmax,tmin
2015,Month_1,fortmadison,29.98,0.75,-8.78
2015,Month_10,fortmadison,50.04,18.47,8.33
2015,Month_11,fortmadison,129.8,12.24,2.56
2015,Month_12,fortmadison,98.04,7.35,0.36
2015,Month_2,fortmadison,31.5,-3.08,-13.1
2015,Month_3,fortmadison,5.34,9.85,-1.87
2015,Month_4,fortmadison,40.9,18.33,5.98
2015,Month_5,fortmadison,130.06,21.43,11.67
2015,Month_6,fortmadison,231.65,25.02,16.37
2015,Month_7,fortmadison,199.9,26.9,18.39
2015,Month_8,fortmadison,71.12,27.45,17.97
2015,Month_9,fortmadison,36.07,27.01,16.4
2016,Month_1,fortmadison,14.48,0.72,-7.65
2016,Month_10,fortmadison,76.46,20.41,10.57
2016,Month_11,fortmadison,48.27,13.79,4.58
2016,Month_12,fortmadison,32.01,1.26,-6.09
2016,Month_2,fortmadison,21.59,4.25,-4.23
2016,Month_3,fortmadison,58.43,11.86,2.72
2016,Month_4,fortmadison,73.92,16.02,6.44
2016,Month_5,fortmadison,66.81,20.46,10.93
2016,Month_6,fortmadison,13.97,28.66,17.41
2016,Month_7,fortmadison,169.67,27.22,18.91
2016,Month_8,fortmadison,148.34,28.76,19.95
2016,Month_9,fortmadison,33.03,26.87,16.69
2017,Month_1,fortmadison,49.28,2.24,-4.89
2017,Month_10,fortmadison,149.11,18.96,9.55
2017,Month_11,fortmadison,31.75,9.54,-0.31
2017,Month_12,fortmadison,8.89,2.33,-6.22
2017,Month_2,fortmadison,11.18,9.94,-1.36
2017,Month_3,fortmadison,84.85,10.31,1.69
2017,Month_4,fortmadison,155.19,18.18,8.22
2017,Month_5,fortmadison,63.75,22.48,11.44
2017,Month_6,fortmadison,36.32,29.52,17.48
2017,Month_7,fortmadison,144.02,31.47,19.73
2017,Month_8,fortmadison,82.8,27.33,16.42
2017,Month_9,fortmadison,7.87,27.39,14.46
2018,Month_1,fortmadison,11.69,0.31,-9.29
2018,Month_10,fortmadison,173.74,16.83,7.09
2018,Month_11,fortmadison,77.99,5.25,-2.7
2018,Month_12,fortmadison,64.52,4.98,-3.37
2018,Month_2,fortmadison,101.61,2.9,-7.06
2018,Month_3,fortmadison,100.84,8.0,-0.76
2018,Month_4,fortmadison,26.16,12.78,1.2
2018,Month_5,fortmadison,62.48,27.37,16.33
2018,Month_6,fortmadison,125.22,29.43,19.0
2018,Month_7,fortmadison,53.09,29.43,19.26
2018,Month_8,fortmadison,107.7,29.75,19.77
2018,Month_9,fortmadison,130.81,25.5,15.26
2019,Month_1,fortmadison,51.58,-0.57,-9.0
