Year,Month,Stations,prec,tmax,tmin
2015,Month_1,greenfield,7.88,1.26,-10.5
2015,Month_10,greenfield,40.39,18.83,6.29
2015,Month_11,greenfield,127.51,12.31,1.17
2015,Month_12,greenfield,159.52,5.2,-3.89
2015,Month_2,greenfield,34.8,-3.29,-14.55
2015,Month_3,greenfield,20.83,11.56,-3.09
2015,Month_4,greenfield,80.02,17.41,5.15
2015,Month_5,greenfield,221.23,20.73,10.56
2015,Month_6,greenfield,147.83,26.52,16.37
2015,Month_7,greenfield,168.91,28.06,17.7
2015,Month_8,greenfield,175.77,26.38,15.66
2015,Month_9,greenfield,146.31,26.26,14.85
2016,Month_1,greenfield,17.27,-2.22,-10.99
2016,Month_10,greenfield,32.01,20.39,6.94
2016,Month_11,greenfield,33.28,13.69,1.78
2016,Month_12,greenfield,34.04,-0.15,-10.28
2016,Month_2,greenfield,38.37,3.65,-6.41
2016,Month_3,greenfield,33.03,12.96,0.22
2016,Month_4,greenfield,113.54,16.65,3.68
2016,Month_5,greenfield,128.02,21.07,9.93
2016,Month_6,greenfield,21.08,30.0,17.41
2016,Month_7,greenfield,137.42,28.15,17.8
2016,Month_8,greenfield,223.77,27.55,17.39
2016,Month_9,greenfield,149.61,25.63,14.31
2017,Month_1,greenfield,42.17,-0.54,-8.17
2017,Month_10,greenfield,175.27,17.65,6.34
2017,Month_11,greenfield,8.65,8.83,-2.53
2017,Month_12,greenfield,10.92,2.29,-9.14
2017,Month_2,greenfield,21.6,8.15,-3.97
2017,Month_3,greenfield,80.52,9.55,-1.9
2017,Month_4,greenfield,99.57,16.5,5.17
2017,Month_5,greenfield,155.96,21.25,9.46
2017,Month_6,greenfield,93.47,28.48,15.7
2017,Month_7,greenfield,13.72,30.85,19.04
2017,Month_8,greenfield,125.23,26.7,14.48
2017,Month_9,greenfield,112.78,26.63,13.77
2018,Month_1,greenfield,32.52,-2.9,-12.65
2018,Month_10,greenfield,112.78,14.84,3.14
2018,Month_11,greenfield,30.23,3.35,-5.8
2018,Month_12,greenfield,67.32,2.78,-6.67
2018,Month_2,greenfield,26.16,-0.93,-11.29
2018,Month_3,greenfield,49.03,7.29,-2.62
2018,Month_4,greenfield,15.75,11.17,-1.09
2018,Month_5,greenfield,98.04,26.11,13.56
2018,Month_6,greenfield,167.39,28.04,16.94
2018,Month_7,greenfield,58.93,29.16,17.51
2018,Month_8,greenfield,120.4,28.67,17.04
2018,Month_9,greenfield,254.76,24.43,13.8
2019,Month_1,greenfield,26.93,-2.02,-12.07
2019,Month_10,greenfield,155.96,14.67,3.15
2019,Month_11,greenfield,22.87,6.65,-4.09
2019,Month_12,greenfield,17.53,5.27,-6.36
2019,Month_2,greenfield,50.31,-3.21,-14.86
2019,Month_3,greenfield,63.76,4.55,-6.06
2019,Month_4,greenfield,22.36,16.99,3.28
2019,Month_5,greenfield,220.48,18.84,8.57
2019,Month_6,greenfield,99.58,25.96,15.44
2019,Month_7,greenfield,29.21,29.31,18.12
2019,Month_8,greenfield,177.04,26.03,15.8
2019,Month_9,greenfield,146.3,26.02,15.09
2020,Month_1,greenfield,29.73,-0.37,-9.41
2020,Month_10,greenfield,42.68,14.06,1.96
2020,Month_11,greenfield,54.1,13.3,-0.5
2020,Month_12,greenfield,37.85,3.19,-8.49
2020,Month_2,greenfield,2.04,2.68,-8.39
2020,Month_3,greenfield,73.15,10.46,-0.41
2020,Month_4,greenfield,60.96,15.74,1.28
2020,Month_5,greenfield,81.8,19.48,9.78
2020,Month_6,greenfield,57.15,28.66,16.99
2020,Month_7,greenfield,89.16,29.74,18.69
2020,Month_8,greenfield,9.91,28.89,16.22
2020,Month_9,greenfield,73.67,23.15,10.81
2021,Month_1,greenfield,32.02,-0.16,-8.1
2021,Month_10,greenfield,140.98,18.93,6.2
2021,Month_11,greenfield,39.12,10.98,-1.92
2021,Month_12,greenfield,14.74,7.06,-5.73
2021,Month_2,greenfield,18.29,-6.25,-15.32
2021,Month_3,greenfield,79.0,12.02,0.83
2021,Month_4,greenfield,23.37,16.39,2.63
2021,Month_5,greenfield,115.83,20.43,9.78
2021,Month_6,greenfield,123.96,28.96,16.48
2021,Month_7,greenfield,169.17,28.55,17.01
2021,Month_8,greenfield,65.54,28.98,17.33
2021,Month_9,greenfield,27.44,26.46,11.44
2022,Month_1,greenfield,25.15,-2.2,-15.38
2022,Month_10,greenfield,19.56,19.5,1.61
2022,Month_11,greenfield,35.57,9.35,-3.81
2022,Month_12,greenfield,44.97,-0.07,-11.11
2022,Month_2,greenfield,4.83,2.2,-12.7
2022,Month_3,greenfield,93.73,9.57,-4.07
2022,Month_4,greenfield,71.88,14.02,-0.28
2022,Month_5,greenfield,115.32,22.11,10.65
2022,Month_6,greenfield,77.48,29.72,16.22
2022,Month_7,greenfield,43.45,30.5,18.08
2022,Month_8,greenfield,95.26,30.43,16.81
2022,Month_9,greenfield,66.55,25.89,11.43
2023,Month_1,greenfield,53.86,1.31,-8.03
2023,Month_10,greenfield,41.91,18.53,5.45
2023,Month_11,greenfield,6.86,10.94,-3.19
2023,Month_12,greenfield,42.43,6.43,-3.28
2023,Month_2,greenfield,62.75,4.7,-8.93
2023,Month_3,greenfield,27.44,7.06,-4.07
2023,Month_4,greenfield,99.83,17.43,2.39
2023,Month_5,greenfield,40.13,24.65,10.91
2023,Month_6,greenfield,91.95,28.72,14.69
2023,Month_7,greenfield,67.32,28.08,16.16
2023,Month_8,greenfield,122.17,27.91,16.97
2023,Month_9,greenfield,60.21,27.06,12.34
2024,Month_1,greenfield,45.22,-3.41,-11.19
2024,Month_10,greenfield,43.44,22.58,6.38
2024,Month_11,greenfield,75.69,10.42,0.1
2024,Month_12,greenfield,0.76,2.5,-10.76
2024,Month_2,greenfield,5.85,10.56,-4.96
2024,Month_3,greenfield,90.69,11.72,-2.69
2024,Month_4,greenfield,65.54,17.46,4.19
2024,Month_5,greenfield,223.02,23.02,10.65
2024,Month_6,greenfield,82.81,28.85,17.24
2024,Month_7,greenfield,100.84,28.28,17.16
2024,Month_8,greenfield,109.48,27.74,16.09
2024,Month_9,greenfield,20.57,26.09,11.85
