prec,2015,19.56,31.76,9.66,91.96,99.32,269.5,156.98,157.23,100.84,67.56,84.84,149.1
tmin,2015,-11.83,-17.38,-5.9,2.31,9.46,14.65,16.38,13.7,13.52,4.52,-0.52,-2.28
tmax,2015,-1.27,-5.02,9.1,17.15,20.67,25.19,27.01,25.19,26.09,17.37,10.83,5.07
prec,2016,14.48,14.73,63.76,64.01,96.78,89.92,153.68,161.8,169.93,48.26,43.69,53.1
tmin,2016,-11.74,-7.3,-1.34,3.03,7.19,14.85,17.3,16.82,13.35,6.59,0.56,-8.67
tmax,2016,-3.52,1.98,11.11,15.61,20.36,28.63,27.2,27.13,25.17,19,13.33,-0.57
prec,2017,49.8,18.04,64.53,98.81,119.39,84.58,71.88,119.13,47.75,138.44,10.67,8.9
tmin,2017,-7.44,-5.81,-2.92,3.56,7.06,12.8,16.52,12.37,10.95,6.06,-4,-9.98
tmax,2017,-0.06,7.76,8.19,16.15,20.34,27.93,29.24,25.36,25.53,17.54,8.28,1.36
prec,2018,41.92,38.87,72.14,20.07,132.34,151.13,98.05,117.86,312.67,167.89,54.62,57.16
tmin,2018,-14.05,-11.79,-4.41,-3.89,12.44,17.24,17.07,16.81,13.56,3.56,-4.7,-6.67
tmax,2018,-3.17,-0.66,6.4,10.26,25.38,27.76,28.51,27.69,24.06,14.78,3.67,2.83
prec,2019,54.11,69.86,41.91,71.12,244.6,101.85,50.29,126.75,126.49,230.89,39.62,27.43
tmin,2019,-12.92,-15.09,-5.95,2.61,8.01,15.04,18.41,15.11,14.16,1.97,-4,-5.16
tmax,2019,-2.81,-3.59,4.21,16.15,18.76,26.09,29.91,26.57,25.21,14.25,6.13,4.98
prec,2020,41.4,7.11,74.68,42.93,87.88,194.06,42.67,23.37,135.13,69.09,70.36,38.1
tmin,2020,-7.92,-7.7,0.88,2.81,10.07,17.84,19.27,16.09,11.2,3.3,0.24,-6.76
tmax,2020,-0.25,1.78,11.08,15.81,20.05,28.58,30.2,29.2,23.57,14.61,12.54,3.08
prec,2021,35.81,17.53,59.69,22.86,113.28,93.47,87.38,51.56,18.54,144.53,36.32,25.15
tmin,2021,-7.6,-14.37,1.22,5.22,10.41,17.41,18.39,18.01,13.27,8.05,-0.85,-4.25
tmax,2021,-0.07,-5.87,11.95,17.22,20.86,29.94,28.94,29.73,27.16,18.52,10.85,6.54
prec,2022,20.07,5.84,65.02,80.26,83.58,60.97,65.29,101.09,79.76,39.88,73.68,42.43
tmin,2022,-14.35,-11.37,-1.74,2.24,10.23,14.9,17.49,15.61,11.3,1.11,-3.57,-10.69
tmax,2022,-2.54,1.73,8.96,13.79,22.54,28.95,29.85,29.2,25.52,18.35,9.7,-0.76
prec,2023,43.69,54.1,29.98,62.74,69.09,62.23,92.97,103.39,66.3,85.86,11.44,41.67
tmin,2023,-8.23,-9.21,-4.67,1.61,9.22,13.97,15.21,15.97,11.95,5.48,-3.39,-2.78
tmax,2023,0.11,3.91,6.74,17.69,24.35,28.69,28.81,28.76,26.82,18.46,10.73,6.36
prec,2024,62.24,7.63,37.34,75.44,252.98,135.38,180.09,107.44,10.67,76.2,83.57,0.51
tmin,2024,-10.37,-5.29,-2.04,3.11,10.04,16.38,16.58,16.2,10.78,4.27,-0.11,-10.97
tmax,2024,-3.3,10.25,11.69,17.2,23.66,28.64,27.42,27.96,26.98,22.47,10.09,1.6
