Year,Month,Stations,prec,tmax,tmin
2015,Month_1,grinnell-3-sw,19.56,-1.27,-11.83
2015,Month_10,grinnell-3-sw,67.56,17.37,4.52
2015,Month_11,grinnell-3-sw,84.84,10.83,-0.52
2015,Month_12,grinnell-3-sw,149.1,5.07,-2.28
2015,Month_2,grinnell-3-sw,31.76,-5.02,-17.38
2015,Month_3,grinnell-3-sw,9.66,9.1,-5.9
2015,Month_4,grinnell-3-sw,91.96,17.15,2.31
2015,Month_5,grinnell-3-sw,99.32,20.67,9.46
2015,Month_6,grinnell-3-sw,269.5,25.19,14.65
2015,Month_7,grinnell-3-sw,156.98,27.01,16.38
2015,Month_8,grinnell-3-sw,157.23,25.19,13.7
2015,Month_9,grinnell-3-sw,100.84,26.09,13.52
2016,Month_1,grinnell-3-sw,14.48,-3.52,-11.74
2016,Month_10,grinnell-3-sw,48.26,19.0,6.59
2016,Month_11,grinnell-3-sw,43.69,13.33,0.56
2016,Month_12,grinnell-3-sw,53.1,-0.57,-8.67
2016,Month_2,grinnell-3-sw,14.73,1.98,-7.3
2016,Month_3,grinnell-3-sw,63.76,11.11,-1.34
2016,Month_4,grinnell-3-sw,64.01,15.61,3.03
2016,Month_5,grinnell-3-sw,96.78,20.36,7.19
2016,Month_6,grinnell-3-sw,89.92,28.63,14.85
2016,Month_7,grinnell-3-sw,153.68,27.2,17.3
2016,Month_8,grinnell-3-sw,161.8,27.13,16.82
2016,Month_9,grinnell-3-sw,169.93,25.17,13.35
2017,Month_1,grinnell-3-sw,49.8,-0.06,-7.44
2017,Month_10,grinnell-3-sw,138.44,17.54,6.06
2017,Month_11,grinnell-3-sw,10.67,8.28,-4.0
2017,Month_12,grinnell-3-sw,8.9,1.36,-9.98
2017,Month_2,grinnell-3-sw,18.04,7.76,-5.81
2017,Month_3,grinnell-3-sw,64.53,8.19,-2.92
2017,Month_4,grinnell-3-sw,98.81,16.15,3.56
2017,Month_5,grinnell-3-sw,119.39,20.34,7.06
2017,Month_6,grinnell-3-sw,84.58,27.93,12.8
2017,Month_7,grinnell-3-sw,71.88,29.24,16.52
2017,Month_8,grinnell-3-sw,119.13,25.36,12.37
2017,Month_9,grinnell-3-sw,47.75,25.53,10.95
2018,Month_1,grinnell-3-sw,41.92,-3.17,-14.05
2018,Month_10,grinnell-3-sw,167.89,14.78,3.56
2018,Month_11,grinnell-3-sw,54.62,3.67,-4.7
2018,Month_12,grinnell-3-sw,57.16,2.83,-6.67
2018,Month_2,grinnell-3-sw,38.87,-0.66,-11.79
2018,Month_3,grinnell-3-sw,72.14,6.4,-4.41
2018,Month_4,grinnell-3-sw,20.07,10.26,-3.89
2018,Month_5,grinnell-3-sw,132.34,25.38,12.44
2018,Month_6,grinnell-3-sw,151.13,27.76,17.24
2018,Month_7,grinnell-3-sw,98.05,28.51,17.07
2018,Month_8,grinnell-3-sw,117.86,27.69,16.81
2018,Month_9,grinnell-3-sw,312.67,24.06,13.56
2019,Month_1,grinnell-3-sw,54.11,-2.81,-12.92
2019,Month_10,grinnell-3-sw,230.89,14.25,1.97
2019,Month_11,grinnell-3-sw,39.62,6.13,-4.0
2019,Month_12,grinnell-3-sw,27.43,4.98,-5.16
2019,Month_2,grinnell-3-sw,69.86,-3.59,-15.09
2019,Month_3,grinnell-3-sw,41.91,4.21,-5.95
2019,Month_4,grinnell-3-sw,71.12,16.15,2.61
2019,Month_5,grinnell-3-sw,244.6,18.76,8.01
2019,Month_6,grinnell-3-sw,101.85,26.09,15.04
2019,Month_7,grinnell-3-sw,50.29,29.91,18.41
2019,Month_8,grinnell-3-sw,126.75,26.57,15.11
2019,Month_9,grinnell-3-sw,126.49,25.21,14.16
2020,Month_1,grinnell-3-sw,41.4,-0.25,-7.92
2020,Month_10,grinnell-3-sw,69.09,14.61,3.3
2020,Month_11,grinnell-3-sw,70.36,12.54,0.24
2020,Month_12,grinnell-3-sw,38.1,3.08,-6.76
2020,Month_2,grinnell-3-sw,7.11,1.78,-7.7
2020,Month_3,grinnell-3-sw,74.68,11.08,0.88
2020,Month_4,grinnell-3-sw,42.93,15.81,2.81
2020,Month_5,grinnell-3-sw,87.88,20.05,10.07
2020,Month_6,grinnell-3-sw,194.06,28.58,17.84
2020,Month_7,grinnell-3-sw,42.67,30.2,19.27
2020,Month_8,grinnell-3-sw,23.37,29.2,16.09
2020,Month_9,grinnell-3-sw,135.13,23.57,11.2
2021,Month_1,grinnell-3-sw,35.81,-0.07,-7.6
2021,Month_10,grinnell-3-sw,144.53,18.52,8.05
2021,Month_11,grinnell-3-sw,36.32,10.85,-0.85
2021,Month_12,grinnell-3-sw,25.15,6.54,-4.25
2021,Month_2,grinnell-3-sw,17.53,-5.87,-14.37
2021,Month_3,grinnell-3-sw,59.69,11.95,1.22
2021,Month_4,grinnell-3-sw,22.86,17.22,5.22
2021,Month_5,grinnell-3-sw,113.28,20.86,10.41
2021,Month_6,grinnell-3-sw,93.47,29.94,17.41
2021,Month_7,grinnell-3-sw,87.38,28.94,18.39
2021,Month_8,grinnell-3-sw,51.56,29.73,18.01
2021,Month_9,grinnell-3-sw,18.54,27.16,13.27
2022,Month_1,grinnell-3-sw,20.07,-2.54,-14.35
2022,Month_10,grinnell-3-sw,39.88,18.35,1.11
2022,Month_11,grinnell-3-sw,73.68,9.7,-3.57
2022,Month_12,grinnell-3-sw,42.43,-0.76,-10.69
2022,Month_2,grinnell-3-sw,5.84,1.73,-11.37
2022,Month_3,grinnell-3-sw,65.02,8.96,-1.74
2022,Month_4,grinnell-3-sw,80.26,13.79,2.24
2022,Month_5,grinnell-3-sw,83.58,22.54,10.23
2022,Month_6,grinnell-3-sw,60.97,28.95,14.9
2022,Month_7,grinnell-3-sw,65.29,29.85,17.49
2022,Month_8,grinnell-3-sw,101.09,29.2,15.61
2022,Month_9,grinnell-3-sw,79.76,25.52,11.3
2023,Month_1,grinnell-3-sw,43.69,0.11,-8.23
2023,Month_10,grinnell-3-sw,85.86,18.46,5.48
2023,Month_11,grinnell-3-sw,11.44,10.73,-3.39
2023,Month_12,grinnell-3-sw,41.67,6.36,-2.78
2023,Month_2,grinnell-3-sw,54.1,3.91,-9.21
2023,Month_3,grinnell-3-sw,29.98,6.74,-4.67
2023,Month_4,grinnell-3-sw,62.74,17.69,1.61
2023,Month_5,grinnell-3-sw,69.09,24.35,9.22
2023,Month_6,grinnell-3-sw,62.23,28.69,13.97
2023,Month_7,grinnell-3-sw,92.97,28.81,15.21
2023,Month_8,grinnell-3-sw,103.39,28.76,15.97
2023,Month_9,grinnell-3-sw,66.3,26.82,11.95
2024,Month_1,grinnell-3-sw,62.24,-3.3,-10.37
2024,Month_10,grinnell-3-sw,76.2,22.47,4.27
2024,Month_11,grinnell-3-sw,83.57,10.09,-0.11
2024,Month_12,grinnell-3-sw,0.51,1.6,-10.97
2024,Month_2,grinnell-3-sw,7.63,10.25,-5.29
2024,Month_3,grinnell-3-sw,37.34,11.69,-2.04
2024,Month_4,grinnell-3-sw,75.44,17.2,3.11
2024,Month_5,grinnell-3-sw,252.98,23.66,10.04
2024,Month_6,grinnell-3-sw,135.38,28.64,16.38
2024,Month_7,grinnell-3-sw,180.09,27.42,16.58
2024,Month_8,grinnell-3-sw,107.44,27.96,16.2
2024,Month_9,grinnell-3-sw,10.67,26.98,10.78
