Year,Month,Stations,prec,tmax,tmin
2015,Month_1,grundy-center,8.39,-2.04,-11.54
2015,Month_10,grundy-center,46.74,17.44,4.81
2015,Month_11,grundy-center,70.87,9.81,0.31
2015,Month_12,grundy-center,208.3,4.09,-2.72
2015,Month_2,grundy-center,39.12,-6.13,-17.24
2015,Month_3,grundy-center,9.91,7.83,-5.61
2015,Month_4,grundy-center,76.71,16.56,2.98
2015,Month_5,grundy-center,143.01,20.73,10.29
2015,Month_6,grundy-center,133.86,25.63,15.31
2015,Month_7,grundy-center,132.59,27.08,16.42
2015,Month_8,grundy-center,177.29,25.57,14.56
2015,Month_9,grundy-center,71.63,26.7,13.56
2016,Month_1,grundy-center,13.73,-4.52,-12.18
2016,Month_10,grundy-center,43.44,18.81,5.98
2016,Month_11,grundy-center,44.96,13.1,0.52
2016,Month_12,grundy-center,34.3,-1.7,-9.53
2016,Month_2,grundy-center,23.63,0.52,-7.58
2016,Month_3,grundy-center,67.58,10.11,-1.47
2016,Month_4,grundy-center,45.72,15.81,3.04
2016,Month_5,grundy-center,85.86,21.24,8.67
2016,Month_6,grundy-center,225.56,28.69,15.93
2016,Month_7,grundy-center,88.9,27.26,17.2
2016,Month_8,grundy-center,175.01,27.13,16.57
2016,Month_9,grundy-center,147.32,25.26,13.35
2017,Month_1,grundy-center,52.84,-1.61,-8.03
2017,Month_10,grundy-center,187.21,17.33,5.77
2017,Month_11,grundy-center,12.71,7.38,-3.85
2017,Month_12,grundy-center,8.9,0.65,-10.14
2017,Month_2,grundy-center,21.6,6.13,-5.46
2017,Month_3,grundy-center,62.49,6.94,-3.62
2017,Month_4,grundy-center,90.93,15.7,4.07
2017,Month_5,grundy-center,111.51,20.26,8.31
2017,Month_6,grundy-center,121.67,27.95,14.73
2017,Month_7,grundy-center,70.37,28.56,16.87
2017,Month_8,grundy-center,101.86,25.04,13.68
2017,Month_9,grundy-center,24.64,25.83,11.67
2018,Month_1,grundy-center,38.11,-4.16,-14.27
2018,Month_10,grundy-center,155.7,14.3,3.03
2018,Month_11,grundy-center,53.34,2.57,-5.54
2018,Month_12,grundy-center,62.24,1.96,-6.63
2018,Month_2,grundy-center,33.04,-2.38,-12.84
2018,Month_3,grundy-center,47.5,5.36,-4.23
2018,Month_4,grundy-center,25.92,9.44,-3.17
2018,Month_5,grundy-center,75.19,25.56,13.35
2018,Month_6,grundy-center,160.29,28.13,17.24
2018,Month_7,grundy-center,144.02,28.16,16.67
2018,Month_8,grundy-center,190.5,27.35,15.89
2018,Month_9,grundy-center,263.65,24.19,12.72
2019,Month_1,grundy-center,28.96,-3.78,-13.1
2019,Month_10,grundy-center,129.79,14.27,2.58
2019,Month_11,grundy-center,34.55,3.7,-5.04
2019,Month_12,grundy-center,34.3,3.73,-6.83
2019,Month_2,grundy-center,54.62,-4.76,-15.63
2019,Month_3,grundy-center,32.51,3.09,-6.24
2019,Month_4,grundy-center,71.13,15.19,2.24
2019,Month_5,grundy-center,194.07,18.8,7.69
2019,Month_6,grundy-center,79.5,25.98,14.56
