Year,Month,Stations,prec,tmax,tmin
2015,Month_1,ida grove area,5.46,-0.75,-12.63
2015,Month_10,ida grove area,30.99,18.72,3.7
2015,Month_11,ida grove area,93.99,10.75,-1.42
2015,Month_12,ida grove area,120.15,2.24,-6.2
2015,Month_2,ida grove area,12.37,-3.89,-15.99
2015,Month_3,ida grove area,15.34,11.11,-6.16
2015,Month_4,ida grove area,111.76,17.18,2.28
2015,Month_5,ida grove area,124.33,20.68,8.85
2015,Month_6,ida grove area,80.47,26.59,14.77
2015,Month_7,ida grove area,236.25,27.4,15.44
2015,Month_8,ida grove area,174.35,26.02,13.67
2015,Month_9,ida grove area,78.0,25.85,13.27
2016,Month_1,ida grove area,12.46,-3.89,-12.97
2016,Month_10,ida grove area,63.51,18.94,3.92
2016,Month_11,ida grove area,37.85,13.18,-1.57
2016,Month_12,ida grove area,28.46,-1.24,-11.81
2016,Month_2,ida grove area,32.78,1.34,-7.03
2016,Month_3,ida grove area,54.87,11.49,-1.13
2016,Month_4,ida grove area,107.71,16.09,3.04
2016,Month_5,ida grove area,112.02,21.67,8.08
2016,Month_6,ida grove area,76.46,30.23,16.0
2016,Month_7,ida grove area,83.58,28.5,16.61
2016,Month_8,ida grove area,80.01,28.01,15.11
2016,Month_9,ida grove area,99.58,25.5,11.96
2017,Month_1,ida grove area,17.81,-1.29,-9.77
2017,Month_10,ida grove area,119.14,17.62,4.43
2017,Month_11,ida grove area,4.07,8.35,-5.69
2017,Month_12,ida grove area,8.39,1.09,-11.08
2017,Month_2,ida grove area,17.79,5.82,-6.79
2017,Month_3,ida grove area,38.86,7.85,-3.48
2017,Month_4,ida grove area,86.88,15.57,2.96
2017,Month_5,ida grove area,139.2,20.97,6.9
2017,Month_6,ida grove area,41.92,28.89,14.12
2017,Month_7,ida grove area,59.7,30.34,17.19
2017,Month_8,ida grove area,235.21,26.02,13.14
2017,Month_9,ida grove area,86.62,25.57,11.02
2018,Month_1,ida grove area,9.15,-3.84,-14.84
2018,Month_10,ida grove area,62.75,14.27,0.93
2018,Month_11,ida grove area,26.18,3.57,-7.44
2018,Month_12,ida grove area,55.89,1.02,-8.64
2018,Month_2,ida grove area,22.88,-2.98,-14.92
2018,Month_3,ida grove area,43.2,6.27,-2.96
2018,Month_4,ida grove area,25.41,9.5,-3.06
2018,Month_5,ida grove area,134.88,25.27,11.76
2018,Month_6,ida grove area,114.06,28.57,17.15
2018,Month_7,ida grove area,86.62,28.37,16.44
2018,Month_8,ida grove area,186.7,27.58,15.41
2018,Month_9,ida grove area,154.18,24.5,12.61
2019,Month_1,ida grove area,0.0,-1.67,-11.93
2019,Month_10,ida grove area,100.33,13.85,0.91
2019,Month_11,ida grove area,43.94,5.37,-5.85
2019,Month_12,ida grove area,28.45,2.37,-8.35
2019,Month_2,ida grove area,48.26,-5.99,-16.73
2019,Month_3,ida grove area,65.53,3.44,-7.37
2019,Month_4,ida grove area,56.39,15.76,1.65
2019,Month_5,ida grove area,178.05,18.44,7.22
2019,Month_6,ida grove area,47.24,27.09,14.35
2019,Month_7,ida grove area,77.47,28.72,17.26
2019,Month_8,ida grove area,105.16,26.59,14.5
2019,Month_9,ida grove area,128.52,25.94,13.85
2020,Month_1,ida grove area,38.86,-1.49,-10.66
2020,Month_10,ida grove area,37.59,13.48,-0.57
2020,Month_11,ida grove area,44.96,11.69,-2.06
2020,Month_12,ida grove area,15.24,2.67,-9.48
2020,Month_2,ida grove area,10.67,1.42,-10.46
2020,Month_3,ida grove area,68.58,9.27,-2.11
2020,Month_4,ida grove area,17.53,15.24,-0.76
2020,Month_5,ida grove area,119.13,19.09,8.75
2020,Month_6,ida grove area,89.41,29.9,17.32
2020,Month_7,ida grove area,27.69,30.76,17.5
2020,Month_8,ida grove area,19.3,29.78,14.39
2020,Month_9,ida grove area,50.04,24.35,8.8
2021,Month_1,ida grove area,34.04,0.11,-9.01
2021,Month_10,ida grove area,97.54,19.0,5.04
2021,Month_11,ida grove area,8.64,9.98,-3.13
2021,Month_12,ida grove area,15.24,5.2,-7.69
2021,Month_2,ida grove area,30.23,-7.04,-17.62
2021,Month_3,ida grove area,96.77,11.16,-1.27
2021,Month_4,ida grove area,42.67,15.87,1.59
2021,Month_5,ida grove area,110.24,20.61,9.16
2021,Month_6,ida grove area,82.04,30.24,15.46
2021,Month_7,ida grove area,59.94,29.26,16.41
2021,Month_8,ida grove area,131.83,29.52,15.8
2021,Month_9,ida grove area,33.27,26.59,11.24
2022,Month_1,ida grove area,5.33,-1.61,-16.57
2022,Month_10,ida grove area,6.6,18.54,0.23
2022,Month_11,ida grove area,16.51,7.84,-5.65
2022,Month_12,ida grove area,36.07,-2.8,-12.31
2022,Month_2,ida grove area,5.08,1.73,-14.27
2022,Month_3,ida grove area,32.77,9.05,-5.07
2022,Month_4,ida grove area,48.26,13.57,-1.19
2022,Month_5,ida grove area,116.59,21.7,9.44
2022,Month_6,ida grove area,29.72,29.16,14.98
2022,Month_7,ida grove area,141.99,29.92,17.43
2022,Month_8,ida grove area,109.47,28.33,14.66
2022,Month_9,ida grove area,35.56,26.11,10.19
2023,Month_1,ida grove area,62.23,-1.88,-10.29
2023,Month_10,ida grove area,129.03,18.01,4.41
2023,Month_11,ida grove area,7.87,10.88,-4.94
2023,Month_12,ida grove area,10.92,5.41,-4.84
2023,Month_2,ida grove area,41.66,0.25,-10.7
2023,Month_3,ida grove area,14.99,4.8,-5.44
2023,Month_4,ida grove area,22.61,16.8,1.54
2023,Month_5,ida grove area,71.63,24.77,10.04
2023,Month_6,ida grove area,37.34,29.89,14.73
2023,Month_7,ida grove area,66.8,28.78,14.78
2023,Month_8,ida grove area,139.45,28.72,16.3
2023,Month_9,ida grove area,48.01,26.87,12.22
2024,Month_1,ida grove area,23.62,-4.83,-12.74
2024,Month_10,ida grove area,25.4,22.44,3.57
2024,Month_11,ida grove area,113.03,9.85,-1.57
2024,Month_12,ida grove area,0.01,1.18,-11.87
2024,Month_2,ida grove area,7.63,8.47,-5.13
2024,Month_3,ida grove area,81.28,11.19,-4.2
2024,Month_4,ida grove area,95.26,17.11,3.13
2024,Month_5,ida grove area,191.78,23.01,9.73
2024,Month_6,ida grove area,69.6,28.58,15.36
2024,Month_7,ida grove area,192.54,28.37,16.11
2024,Month_8,ida grove area,48.77,27.48,15.72
2024,Month_9,ida grove area,5.59,27.42,10.73
