Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowa - south central climate division,9.14,1.67,-10.79
2015,Month_10,iowa - south central climate division,37.34,19.29,5.94
2015,Month_11,iowa - south central climate division,115.82,13.0,1.19
2015,Month_12,iowa - south central climate division,131.32,6.45,-2.38
2015,Month_2,iowa - south central climate division,40.13,-1.96,-14.64
2015,Month_3,iowa - south central climate division,14.22,11.76,-3.43
2015,Month_4,iowa - south central climate division,78.99,18.65,5.26
2015,Month_5,iowa - south central climate division,144.27,22.01,10.82
2015,Month_6,iowa - south central climate division,203.45,27.34,16.4
2015,Month_7,iowa - south central climate division,253.49,28.98,17.92
2015,Month_8,iowa - south central climate division,101.6,27.66,16.0
2015,Month_9,iowa - south central climate division,124.46,27.66,14.73
2016,Month_1,iowa - south central climate division,17.78,-0.48,-10.46
2016,Month_10,iowa - south central climate division,34.8,21.0,7.71
2016,Month_11,iowa - south central climate division,25.91,15.48,1.8
2016,Month_12,iowa - south central climate division,33.53,1.67,-8.67
2016,Month_2,iowa - south central climate division,32.51,4.89,-5.92
2016,Month_3,iowa - south central climate division,54.86,13.55,0.7
2016,Month_4,iowa - south central climate division,83.06,17.74,4.94
2016,Month_5,iowa - south central climate division,95.76,22.13,10.16
2016,Month_6,iowa - south central climate division,49.28,30.94,16.99
2016,Month_7,iowa - south central climate division,151.38,29.53,17.89
2016,Month_8,iowa - south central climate division,147.07,29.06,17.93
2016,Month_9,iowa - south central climate division,105.41,27.2,14.46
2017,Month_1,iowa - south central climate division,37.08,1.57,-7.31
2017,Month_10,iowa - south central climate division,138.18,19.34,6.92
2017,Month_11,iowa - south central climate division,10.67,10.61,-2.61
2017,Month_12,iowa - south central climate division,10.41,3.48,-8.44
2017,Month_2,iowa - south central climate division,13.72,10.22,-3.97
2017,Month_3,iowa - south central climate division,72.39,11.27,-1.61
2017,Month_4,iowa - south central climate division,125.22,18.11,5.8
2017,Month_5,iowa - south central climate division,112.78,22.37,9.62
2017,Month_6,iowa - south central climate division,83.06,29.96,15.85
2017,Month_7,iowa - south central climate division,35.56,32.22,19.09
2017,Month_8,iowa - south central climate division,92.96,28.23,14.59
2017,Month_9,iowa - south central climate division,58.42,28.07,13.22
2018,Month_1,iowa - south central climate division,26.16,-0.57,-12.15
2018,Month_10,iowa - south central climate division,156.97,16.51,3.91
2018,Month_11,iowa - south central climate division,55.63,5.17,-5.37
2018,Month_12,iowa - south central climate division,58.93,4.85,-5.67
2018,Month_2,iowa - south central climate division,38.1,1.54,-10.31
2018,Month_3,iowa - south central climate division,55.37,8.58,-2.49
2018,Month_4,iowa - south central climate division,22.1,12.7,-1.06
2018,Month_5,iowa - south central climate division,109.73,27.92,14.44
2018,Month_6,iowa - south central climate division,178.82,29.83,17.72
2018,Month_7,iowa - south central climate division,52.07,30.85,17.43
