prec,2015,20.07,38.61,10.41,69.6,125.48,214.12,203.45,73.41,85.85,51.82,126.49,122.17
tmin,2015,-10.32,-14.68,-3.85,5.07,11.54,16.35,17.92,15.67,14.52,5.66,0.98,-1.11
tmax,2015,0.9,-2.5,10.7,19.35,23.08,27.48,29.01,27.78,28.43,19.41,13.11,7.74
prec,2016,12.95,28.19,61.47,57.4,99.06,49.28,161.54,185.42,52.32,53.34,28.7,33.27
tmin,2016,-9.85,-5.61,0.88,4.94,10.17,17.11,18.09,18.48,14.67,8.17,1.69,-7.69
tmax,2016,-0.09,4.6,13.1,17.67,22.54,31.19,29.41,29.44,27.96,21.41,15.5,1.28
prec,2017,39.12,11.68,74.42,123.7,97.28,57.4,59.69,75.44,70.36,119.89,22.86,13.21
tmin,2017,-6.95,-3.59,-1.42,6,9.84,16.03,18.28,14.7,12.33,7.2,-2.94,-8.39
tmax,2017,2.19,10.34,10.93,18.22,22.38,30.11,31.82,28.02,28.09,19.48,9.94,3.23
prec,2018,14.48,64.01,82.8,16.26,94.23,127.25,70.61,147.83,178.05,145.03,78.49,43.18
tmin,2018,-12.04,-9.52,-2.85,-1,14.48,17.96,17.03,17.46,13.74,4.34,-4.52,-5.48
tmax,2018,-0.14,1.96,8.44,12.61,27.96,30.06,30.38,30.45,26.11,17.03,5.09,4.42
prec,2019,71.37,74.42,73.66,72.14,303.02,120.65,56.39,87.38,181.1,67.56,32.51,32.51
tmin,2019,-10.65,-11.77,-4.04,4.15,9.7,15.93,19.42,16.31,15.54,4,-3.97,-4.57
tmax,2019,-0.18,-0.79,6.76,16.96,20.23,26.93,31.03,27.8,26.89,15.59,6.25,5.88
prec,2020,54.1,9.4,84.33,53.09,121.92,155.45,102.36,10.41,133.35,43.94,72.39,57.91
tmin,2020,-7.3,-7.53,0.38,2.43,9.71,17.3,19.52,16.02,11.36,3.46,0.61,-6.56
tmax,2020,1.07,2.72,10.68,15.46,20.16,28.71,30.22,29.26,23.68,15.14,13.52,3.66
prec,2021,53.34,23.11,72.39,80.52,137.67,150.88,145.8,71.63,48.01,135.13,18.8,21.59
tmin,2021,-8.04,-14.13,0.81,4.56,10.36,17.41,18.52,18.28,13.31,8.67,-1.43,-3.97
tmax,2021,0.78,-4.56,12.97,16.8,21.2,29.67,29.48,30.19,27.78,20.36,11.3,8.95
prec,2022,27.18,16.51,88.14,84.84,71.88,79.5,57.4,49.28,102.11,37.85,79.76,35.05
tmin,2022,-15.02,-11.41,-2.22,2.15,12.15,16.7,18.48,17.52,12.48,3.2,-2.11,-8.82
tmax,2022,-2.47,2.72,10.81,14.07,23.82,29.6,30.5,30.04,26.61,19.63,11.3,1.83
prec,2023,50.8,79.5,61.98,44.96,50.04,63.25,90.93,90.68,46.48,64.01,13.72,73.66
tmin,2023,-6.06,-7.56,-2.76,3.66,10.73,15.26,17.19,17.22,13.24,6.59,-2.55,-1.31
tmax,2023,2.97,6.27,8.8,18.54,25.05,29.56,30.04,29.5,27.57,19.71,11.51,7.91
prec,2024,89.15,3.3,69.6,171.2,139.45,90.68,187.96,81.28,17.02,65.02,65.53,1.02
tmin,2024,-9.32,-3.91,-0.23,5.33,12.06,17.61,17.46,16.65,12.52,5.99,0.96,-10.28
tmax,2024,-1.52,11.65,13.41,18.04,25.11,30,28.69,28.6,27.56,23.37,11.7,2.08
