Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowa - southeast climate division,20.07,0.9,-10.32
2015,Month_10,iowa - southeast climate division,51.82,19.41,5.66
2015,Month_11,iowa - southeast climate division,126.49,13.11,0.98
2015,Month_12,iowa - southeast climate division,122.17,7.74,-1.11
2015,Month_2,iowa - southeast climate division,38.61,-2.5,-14.68
2015,Month_3,iowa - southeast climate division,10.41,10.7,-3.85
2015,Month_4,iowa - southeast climate division,69.6,19.35,5.07
2015,Month_5,iowa - southeast climate division,125.48,23.08,11.54
2015,Month_6,iowa - southeast climate division,214.12,27.48,16.35
2015,Month_7,iowa - southeast climate division,203.45,29.01,17.92
2015,Month_8,iowa - southeast climate division,73.41,27.78,15.67
2015,Month_9,iowa - southeast climate division,85.85,28.43,14.52
2016,Month_1,iowa - southeast climate division,12.95,-0.09,-9.85
2016,Month_10,iowa - southeast climate division,53.34,21.41,8.17
2016,Month_11,iowa - southeast climate division,28.7,15.5,1.69
2016,Month_12,iowa - southeast climate division,33.27,1.28,-7.69
2016,Month_2,iowa - southeast climate division,28.19,4.6,-5.61
2016,Month_3,iowa - southeast climate division,61.47,13.1,0.88
2016,Month_4,iowa - southeast climate division,57.4,17.67,4.94
2016,Month_5,iowa - southeast climate division,99.06,22.54,10.17
2016,Month_6,iowa - southeast climate division,49.28,31.19,17.11
2016,Month_7,iowa - southeast climate division,161.54,29.41,18.09
2016,Month_8,iowa - southeast climate division,185.42,29.44,18.48
2016,Month_9,iowa - southeast climate division,52.32,27.96,14.67
2017,Month_1,iowa - southeast climate division,39.12,2.19,-6.95
2017,Month_10,iowa - southeast climate division,119.89,19.48,7.2
2017,Month_11,iowa - southeast climate division,22.86,9.94,-2.94
2017,Month_12,iowa - southeast climate division,13.21,3.23,-8.39
2017,Month_2,iowa - southeast climate division,11.68,10.34,-3.59
2017,Month_3,iowa - southeast climate division,74.42,10.93,-1.42
2017,Month_4,iowa - southeast climate division,123.7,18.22,6.0
2017,Month_5,iowa - southeast climate division,97.28,22.38,9.84
2017,Month_6,iowa - southeast climate division,57.4,30.11,16.03
2017,Month_7,iowa - southeast climate division,59.69,31.82,18.28
2017,Month_8,iowa - southeast climate division,75.44,28.02,14.7
2017,Month_9,iowa - southeast climate division,70.36,28.09,12.33
