Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowa - southwest climate division,4.32,3.1,-10.65
2015,Month_10,iowa - southwest climate division,25.15,20.06,6.0
2015,Month_11,iowa - southwest climate division,89.92,13.17,0.8
2015,Month_12,iowa - southwest climate division,148.08,5.61,-3.82
2015,Month_2,iowa - southwest climate division,34.04,-1.17,-14.72
2015,Month_3,iowa - southwest climate division,18.54,13.14,-4.16
2015,Month_4,iowa - southwest climate division,93.73,18.28,4.71
2015,Month_5,iowa - southwest climate division,164.34,21.7,10.5
2015,Month_6,iowa - southwest climate division,154.94,27.94,16.5
2015,Month_7,iowa - southwest climate division,165.35,29.48,17.74
2015,Month_8,iowa - southwest climate division,155.19,27.92,15.65
2015,Month_9,iowa - southwest climate division,167.89,27.48,14.66
2016,Month_1,iowa - southwest climate division,18.03,-0.16,-10.22
2016,Month_10,iowa - southwest climate division,46.74,21.2,6.97
2016,Month_11,iowa - southwest climate division,29.21,15.26,1.31
2016,Month_12,iowa - southwest climate division,31.24,1.72,-9.29
2016,Month_2,iowa - southwest climate division,23.88,5.88,-5.44
2016,Month_3,iowa - southwest climate division,38.35,14.78,0.41
2016,Month_4,iowa - southwest climate division,137.67,18.22,4.94
2016,Month_5,iowa - southwest climate division,150.88,22.35,10.18
2016,Month_6,iowa - southwest climate division,53.34,31.59,17.74
2016,Month_7,iowa - southwest climate division,165.61,29.7,18.14
2016,Month_8,iowa - southwest climate division,179.83,29.0,17.36
2016,Month_9,iowa - southwest climate division,129.03,27.13,14.28
2017,Month_1,iowa - southwest climate division,32.0,1.27,-7.78
2017,Month_10,iowa - southwest climate division,157.73,19.6,6.55
2017,Month_11,iowa - southwest climate division,9.4,10.65,-2.95
2017,Month_12,iowa - southwest climate division,10.67,3.85,-8.67
2017,Month_2,iowa - southwest climate division,20.07,9.62,-4.46
2017,Month_3,iowa - southwest climate division,75.18,11.4,-1.13
2017,Month_4,iowa - southwest climate division,82.8,17.81,5.2
2017,Month_5,iowa - southwest climate division,145.8,22.85,9.7
2017,Month_6,iowa - southwest climate division,112.78,29.96,15.84
2017,Month_7,iowa - southwest climate division,64.26,31.59,19.07
2017,Month_8,iowa - southwest climate division,117.86,27.59,14.63
2017,Month_9,iowa - southwest climate division,62.74,27.94,13.46
2018,Month_1,iowa - southwest climate division,22.1,-1.04,-12.46
2018,Month_10,iowa - southwest climate division,121.16,16.11,3.41
2018,Month_11,iowa - southwest climate division,37.34,5.46,-5.94
2018,Month_12,iowa - southwest climate division,62.74,3.54,-6.46
2018,Month_2,iowa - southwest climate division,27.18,0.91,-10.77
2018,Month_3,iowa - southwest climate division,53.09,9.09,-1.93
2018,Month_4,iowa - southwest climate division,20.83,12.91,-1.5
2018,Month_5,iowa - southwest climate division,95.76,27.89,14.09
2018,Month_6,iowa - southwest climate division,195.58,30.04,17.81
2018,Month_7,iowa - southwest climate division,84.33,30.07,17.35
2018,Month_8,iowa - southwest climate division,168.91,29.39,16.72
