Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowa - west central climate division,7.62,0.86,-11.54
2015,Month_10,iowa - west central climate division,33.53,19.27,4.93
2015,Month_11,iowa - west central climate division,97.54,11.48,-0.56
2015,Month_12,iowa - west central climate division,132.59,3.85,-4.89
2015,Month_2,iowa - west central climate division,26.42,-2.84,-15.77
2015,Month_3,iowa - west central climate division,9.91,11.85,-5.06
2015,Month_4,iowa - west central climate division,103.89,17.78,3.48
2015,Month_5,iowa - west central climate division,135.89,21.29,9.52
2015,Month_6,iowa - west central climate division,148.59,27.45,15.42
2015,Month_7,iowa - west central climate division,155.19,28.66,16.72
2015,Month_8,iowa - west central climate division,186.94,27.08,14.86
2015,Month_9,iowa - west central climate division,137.16,26.8,13.63
2016,Month_1,iowa - west central climate division,14.99,-2.69,-11.8
2016,Month_10,iowa - west central climate division,45.97,20.05,5.52
2016,Month_11,iowa - west central climate division,34.8,14.16,0.17
2016,Month_12,iowa - west central climate division,33.78,0.36,-10.63
2016,Month_2,iowa - west central climate division,30.73,2.89,-6.67
2016,Month_3,iowa - west central climate division,46.48,12.8,-0.81
2016,Month_4,iowa - west central climate division,123.7,16.78,3.65
2016,Month_5,iowa - west central climate division,133.35,22.04,9.3
2016,Month_6,iowa - west central climate division,52.32,30.94,16.89
2016,Month_7,iowa - west central climate division,121.41,29.14,17.15
2016,Month_8,iowa - west central climate division,132.59,28.54,16.49
2016,Month_9,iowa - west central climate division,150.88,26.26,12.83
2017,Month_1,iowa - west central climate division,29.72,-0.2,-8.91
2017,Month_10,iowa - west central climate division,140.46,18.28,5.09
2017,Month_11,iowa - west central climate division,4.83,9.18,-4.23
2017,Month_12,iowa - west central climate division,9.91,1.49,-10.26
2017,Month_2,iowa - west central climate division,28.19,7.34,-5.5
2017,Month_3,iowa - west central climate division,64.26,9.05,-2.8
2017,Month_4,iowa - west central climate division,70.87,16.59,3.85
2017,Month_5,iowa - west central climate division,153.16,21.92,8.6
2017,Month_6,iowa - west central climate division,62.23,30.11,15.4
2017,Month_7,iowa - west central climate division,59.94,31.25,17.96
2017,Month_8,iowa - west central climate division,168.91,26.81,13.85
2017,Month_9,iowa - west central climate division,83.82,26.95,12.28
2018,Month_1,iowa - west central climate division,25.4,-2.63,-13.75
2018,Month_10,iowa - west central climate division,88.14,14.96,1.95
2018,Month_11,iowa - west central climate division,27.18,4.54,-6.89
2018,Month_12,iowa - west central climate division,63.5,1.86,-7.56
2018,Month_2,iowa - west central climate division,28.45,-1.67,-13.21
2018,Month_3,iowa - west central climate division,64.26,7.2,-2.85
2018,Month_4,iowa - west central climate division,35.81,10.63,-2.62
2018,Month_5,iowa - west central climate division,115.06,26.24,12.76
2018,Month_6,iowa - west central climate division,216.15,29.35,17.43
2018,Month_7,iowa - west central climate division,79.76,29.48,16.74
2018,Month_8,iowa - west central climate division,199.64,28.41,15.57
2018,Month_9,iowa - west central climate division,149.1,25.26,12.94
2019,Month_1,iowa - west central climate division,6.6,-1.15,-11.88
2019,Month_10,iowa - west central climate division,130.05,14.23,1.99
2019,Month_11,iowa - west central climate division,36.32,5.87,-5.13
2019,Month_12,iowa - west central climate division,39.62,3.07,-7.65
