Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowa average,12.45,-0.05,-11.61
2015,Month_10,iowa average,43.43,18.77,4.94
2015,Month_11,iowa average,102.11,11.48,-0.22
2015,Month_12,iowa average,123.44,5.02,-3.54
2015,Month_2,iowa average,30.99,-3.67,-16.13
2015,Month_3,iowa average,14.99,10.29,-5.0
2015,Month_4,iowa average,85.6,17.99,3.87
2015,Month_5,iowa average,129.54,21.51,10.14
2015,Month_6,iowa average,166.37,26.98,15.43
2015,Month_7,iowa average,145.8,28.57,16.8
2015,Month_8,iowa average,138.43,27.08,14.87
2015,Month_9,iowa average,104.9,27.36,13.95
2016,Month_1,iowa average,16.0,-2.28,-11.79
2016,Month_10,iowa average,51.56,19.78,6.31
2016,Month_11,iowa average,35.31,14.19,0.65
2016,Month_12,iowa average,38.86,-0.07,-9.87
2016,Month_2,iowa average,25.65,2.76,-6.92
2016,Month_3,iowa average,61.47,12.03,-0.72
2016,Month_4,iowa average,81.79,16.5,3.81
2016,Month_5,iowa average,116.08,22.04,9.46
2016,Month_6,iowa average,92.2,30.06,16.39
2016,Month_7,iowa average,145.54,28.89,17.31
2016,Month_8,iowa average,157.99,28.63,16.98
2016,Month_9,iowa average,153.67,26.24,13.35
2017,Month_1,iowa average,39.88,-0.05,-8.66
2017,Month_10,iowa average,136.91,18.32,5.77
2017,Month_11,iowa average,11.18,8.7,-3.85
2017,Month_12,iowa average,10.67,1.72,-9.94
2017,Month_2,iowa average,25.4,7.58,-5.2
2017,Month_3,iowa average,65.28,8.63,-2.89
2017,Month_4,iowa average,96.01,16.83,4.74
2017,Month_5,iowa average,124.21,21.49,8.76
2017,Month_6,iowa average,91.69,29.28,15.19
2017,Month_7,iowa average,75.44,30.63,17.67
2017,Month_8,iowa average,103.12,26.68,14.03
2017,Month_9,iowa average,59.69,27.02,12.11
2018,Month_1,iowa average,26.42,-1.98,-13.26
2018,Month_10,iowa average,123.7,15.25,2.74
2018,Month_11,iowa average,49.02,4.06,-6.07
2018,Month_12,iowa average,55.63,2.85,-6.61
2018,Month_2,iowa average,42.16,-0.83,-12.36
2018,Month_3,iowa average,63.5,6.8,-3.59
2018,Month_4,iowa average,43.18,10.59,-2.35
2018,Month_5,iowa average,123.7,26.52,13.24
2018,Month_6,iowa average,191.52,29.13,17.43
2018,Month_7,iowa average,92.46,29.53,16.79
2018,Month_8,iowa average,170.69,28.95,16.51
2018,Month_9,iowa average,207.52,25.0,12.82
2019,Month_1,iowa average,36.07,-1.94,-12.37
2019,Month_10,iowa average,129.29,14.34,2.65
2019,Month_11,iowa average,38.86,5.22,-4.85
2019,Month_12,iowa average,33.78,3.66,-6.79
2019,Month_2,iowa average,59.44,-3.81,-14.92
2019,Month_3,iowa average,60.2,4.64,-6.06
2019,Month_4,iowa average,76.96,15.81,2.94
2019,Month_5,iowa average,219.46,19.05,8.3
2019,Month_6,iowa average,102.62,26.61,15.02
2019,Month_7,iowa average,86.11,29.92,18.47
2019,Month_8,iowa average,88.9,26.88,15.4
2019,Month_9,iowa average,161.29,25.8,14.48
2020,Month_1,iowa average,36.32,-0.74,-9.39
2020,Month_10,iowa average,47.24,13.72,1.57
2020,Month_11,iowa average,52.83,12.2,-1.02
2020,Month_12,iowa average,30.73,2.65,-8.33
2020,Month_2,iowa average,10.16,1.32,-9.75
2020,Month_3,iowa average,74.68,9.5,-0.94
2020,Month_4,iowa average,41.91,14.81,0.98
2020,Month_5,iowa average,113.54,19.57,8.98
2020,Month_6,iowa average,127.25,28.78,16.78
2020,Month_7,iowa average,77.98,30.07,18.33
2020,Month_8,iowa average,30.99,29.06,15.59
2020,Month_9,iowa average,103.89,23.19,10.15
2021,Month_1,iowa average,33.78,0.11,-9.01
2021,Month_10,iowa average,127.0,19.7,7.06
2021,Month_11,iowa average,23.62,10.17,-2.51
2021,Month_12,iowa average,21.08,6.22,-6.0
2021,Month_2,iowa average,20.32,-6.03,-15.91
2021,Month_3,iowa average,72.64,11.67,-0.75
2021,Month_4,iowa average,40.13,16.09,2.91
2021,Month_5,iowa average,98.55,21.04,9.52
2021,Month_6,iowa average,91.44,30.15,16.57
2021,Month_7,iowa average,106.43,29.39,17.35
2021,Month_8,iowa average,119.13,29.72,16.76
2021,Month_9,iowa average,45.97,27.0,11.83
2022,Month_1,iowa average,18.29,-2.83,-16.59
2022,Month_10,iowa average,23.37,18.71,2.19
2022,Month_11,iowa average,52.58,9.5,-3.54
2022,Month_12,iowa average,41.66,-0.88,-11.06
2022,Month_2,iowa average,7.37,1.01,-13.63
2022,Month_3,iowa average,66.8,8.76,-4.02
2022,Month_4,iowa average,77.22,13.31,0.32
2022,Month_5,iowa average,91.44,22.65,10.43
2022,Month_6,iowa average,91.19,28.87,15.81
2022,Month_7,iowa average,82.55,29.89,17.69
2022,Month_8,iowa average,92.46,29.13,16.43
2022,Month_9,iowa average,49.53,25.71,11.36
2023,Month_1,iowa average,49.02,0.32,-8.75
2023,Month_10,iowa average,81.28,18.6,5.39
2023,Month_11,iowa average,8.38,10.62,-3.75
2023,Month_12,iowa average,46.99,6.49,-3.37
2023,Month_2,iowa average,59.44,2.94,-10.06
2023,Month_3,iowa average,36.83,6.36,-4.84
2023,Month_4,iowa average,57.4,17.36,2.64
2023,Month_5,iowa average,63.25,24.64,10.52
2023,Month_6,iowa average,76.71,29.12,15.25
2023,Month_7,iowa average,87.12,28.96,16.09
2023,Month_8,iowa average,81.79,29.33,16.52
2023,Month_9,iowa average,53.09,26.87,12.52
2024,Month_1,iowa average,45.72,-2.78,-10.72
2024,Month_10,iowa average,44.45,22.72,5.34
2024,Month_11,iowa average,83.06,10.19,-0.61
2024,Month_12,iowa average,0.51,1.53,-11.18
2024,Month_2,iowa average,4.83,10.04,-4.85
2024,Month_3,iowa average,65.53,11.74,-2.63
2024,Month_4,iowa average,111.0,17.06,3.94
2024,Month_5,iowa average,198.12,23.71,10.63
2024,Month_6,iowa average,134.11,28.83,16.43
2024,Month_7,iowa average,132.08,28.42,16.77
2024,Month_8,iowa average,79.76,28.17,15.88
2024,Month_9,iowa average,19.56,27.46,11.83
