Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowa drought region 4 - southwest,4.57,2.56,-10.88
2015,Month_10,iowa drought region 4 - southwest,27.43,19.91,5.83
2015,Month_11,iowa drought region 4 - southwest,93.73,12.78,0.48
2015,Month_12,iowa drought region 4 - southwest,141.48,5.2,-4.07
2015,Month_2,iowa drought region 4 - southwest,32.51,-1.55,-14.96
2015,Month_3,iowa drought region 4 - southwest,14.48,12.96,-4.39
2015,Month_4,iowa drought region 4 - southwest,95.25,18.2,4.35
2015,Month_5,iowa drought region 4 - southwest,160.78,21.54,10.23
2015,Month_6,iowa drought region 4 - southwest,148.84,27.93,16.2
2015,Month_7,iowa drought region 4 - southwest,170.18,29.34,17.53
2015,Month_8,iowa drought region 4 - southwest,163.07,27.71,15.48
2015,Month_9,iowa drought region 4 - southwest,166.37,27.26,14.38
2016,Month_1,iowa drought region 4 - southwest,17.53,-0.63,-10.5
2016,Month_10,iowa drought region 4 - southwest,45.97,20.84,6.56
2016,Month_11,iowa drought region 4 - southwest,29.72,14.98,1.0
2016,Month_12,iowa drought region 4 - southwest,32.26,1.22,-9.83
2016,Month_2,iowa drought region 4 - southwest,25.4,5.08,-5.77
2016,Month_3,iowa drought region 4 - southwest,41.4,14.23,0.13
2016,Month_4,iowa drought region 4 - southwest,136.14,17.81,4.65
2016,Month_5,iowa drought region 4 - southwest,141.22,22.26,9.89
2016,Month_6,iowa drought region 4 - southwest,50.8,31.15,17.26
2016,Month_7,iowa drought region 4 - southwest,151.89,29.57,17.9
2016,Month_8,iowa drought region 4 - southwest,169.42,28.8,17.09
2016,Month_9,iowa drought region 4 - southwest,138.68,26.82,13.89
2017,Month_1,iowa drought region 4 - southwest,30.99,0.9,-8.1
2017,Month_10,iowa drought region 4 - southwest,152.91,19.23,5.93
2017,Month_11,iowa drought region 4 - southwest,7.87,10.34,-3.33
2017,Month_12,iowa drought region 4 - southwest,10.92,3.51,-9.05
2017,Month_2,iowa drought region 4 - southwest,21.59,8.93,-4.79
2017,Month_3,iowa drought region 4 - southwest,73.15,10.97,-1.52
2017,Month_4,iowa drought region 4 - southwest,84.07,17.62,5.02
2017,Month_5,iowa drought region 4 - southwest,148.59,22.58,9.35
2017,Month_6,iowa drought region 4 - southwest,101.6,30.04,15.74
2017,Month_7,iowa drought region 4 - southwest,63.5,31.33,18.7
2017,Month_8,iowa drought region 4 - southwest,131.83,27.38,14.39
2017,Month_9,iowa drought region 4 - southwest,72.39,27.38,12.92
2018,Month_1,iowa drought region 4 - southwest,24.13,-1.45,-12.85
2018,Month_10,iowa drought region 4 - southwest,114.05,15.88,2.99
2018,Month_11,iowa drought region 4 - southwest,36.07,5.11,-6.31
2018,Month_12,iowa drought region 4 - southwest,64.77,3.28,-6.55
2018,Month_2,iowa drought region 4 - southwest,26.16,0.27,-11.56
2018,Month_3,iowa drought region 4 - southwest,57.91,8.64,-2.13
2018,Month_4,iowa drought region 4 - southwest,21.59,12.43,-1.69
2018,Month_5,iowa drought region 4 - southwest,103.89,27.38,13.71
2018,Month_6,iowa drought region 4 - southwest,199.39,29.66,17.53
2018,Month_7,iowa drought region 4 - southwest,83.31,30.0,17.07
2018,Month_8,iowa drought region 4 - southwest,175.77,29.19,16.33
2018,Month_9,iowa drought region 4 - southwest,166.62,25.57,13.54
2019,Month_1,iowa drought region 4 - southwest,22.1,-0.09,-10.88
2019,Month_10,iowa drought region 4 - southwest,136.91,15.02,2.74
2019,Month_11,iowa drought region 4 - southwest,26.42,7.04,-4.43
2019,Month_12,iowa drought region 4 - southwest,33.27,4.85,-6.17
2019,Month_2,iowa drought region 4 - southwest,47.5,-3.63,-14.52
2019,Month_3,iowa drought region 4 - southwest,81.28,5.38,-5.29
2019,Month_4,iowa drought region 4 - southwest,36.32,17.54,3.7
2019,Month_5,iowa drought region 4 - southwest,228.35,19.71,8.89
2019,Month_6,iowa drought region 4 - southwest,89.92,27.54,15.57
2019,Month_7,iowa drought region 4 - southwest,75.18,30.18,18.76
2019,Month_8,iowa drought region 4 - southwest,108.71,27.28,16.52
2019,Month_9,iowa drought region 4 - southwest,180.09,27.09,15.24
2020,Month_1,iowa drought region 4 - southwest,29.46,0.23,-8.87
