prec,2015,15.75,38.35,12.19,75.69,127.25,208.53,209.8,96.27,99.82,48.51,115.82,129.79
tmin,2015,-10.56,-14.96,-3.89,4.78,10.99,16.13,17.58,15.47,14.37,5.56,0.8,-1.94
tmax,2015,1.09,-2.74,10.86,18.74,22.37,27.17,28.75,27.47,27.87,19.02,12.69,6.83
prec,2016,15.49,27.18,58.93,64.52,95,61.21,148.34,165.86,92.96,42.93,30.23,35.05
tmin,2016,-10.5,-6.19,0.43,4.65,10.04,16.94,17.83,17.99,14.28,8.19,1.83,-8.3
tmax,2016,-0.79,4.07,12.89,17.43,22.38,30.96,29.26,29.14,27.28,21.21,15.31,1.06
prec,2017,40.64,13.97,71.37,118.87,107.44,67.31,51.56,85.85,59.69,129.29,16.51,11.43
tmin,2017,-7.35,-4.07,-1.83,5.72,9.57,15.71,18.58,14.69,12.63,6.92,-3.11,-8.76
tmax,2017,1.54,9.82,10.63,18.13,22.15,29.9,31.92,27.85,27.93,19.21,9.81,3.08
prec,2018,23.11,50.29,71.63,20.57,101.85,157.23,72.14,140.97,201.17,144.78,65.02,52.32
tmin,2018,-11.81,-10.27,-3.05,-1.37,14.31,17.76,17.16,17.17,13.52,4,-5,-5.87
tmax,2018,-0.2,1.17,8.1,12.26,27.67,29.8,30.3,30.16,25.73,16.47,4.87,4.41
prec,2019,60.96,67.56,65.79,64.77,275.59,114.05,62.99,102.62,164.34,103.89,30.48,29.46
tmin,2019,-11.2,-12.9,-4.66,3.85,9.28,15.69,18.96,15.99,15.35,3.49,-4.25,-5.15
tmax,2019,-0.59,-1.87,6.18,17,19.96,26.91,30.59,27.54,26.7,15.25,6.09,5.59
prec,2020,48.77,7.87,77.47,56.39,117.35,149.1,91.95,19.56,122.94,51.05,67.82,47.75
tmin,2020,-8.07,-8.18,0.05,2.07,9.5,17.17,19.14,15.89,10.83,2.96,0,-7.11
tmax,2020,0.48,2.49,10.73,15.39,20.11,28.63,30.25,29.5,23.37,14.77,13.26,3.56
prec,2021,46.23,20.83,73.15,56.13,115.82,125.98,137.67,74.42,37.59,152.4,29.21,20.07
tmin,2021,-8.44,-14.62,0.39,4.06,10.16,17.13,18.2,17.81,13,8.05,-1.63,-4.22
tmax,2021,0.66,-4.88,12.63,16.74,21.18,29.87,29.63,30.24,27.93,20.04,11.22,8.43
prec,2022,26.16,11.18,81.03,81.79,79.25,87.88,60.2,56.64,83.57,35.05,79.5,40.64
tmin,2022,-15.43,-12,-2.85,1.33,11.56,16.52,18.46,17.37,12.46,3.24,-2.37,-9.5
tmax,2022,-2.4,2.44,10.38,13.78,23.33,29.48,30.63,30.2,26.56,19.65,10.78,1.15
prec,2023,46.23,69.85,45.97,53.09,55.12,71.63,83.57,91.95,50.04,64.01,11.43,60.2
tmin,2023,-6.91,-8.35,-3.35,3.59,10.88,15.48,17.08,17.11,12.98,6.52,-2.74,-1.9
tmax,2023,2.39,5.62,8.33,18.48,25.09,29.52,29.8,29.41,27.52,19.57,11.51,7.63
prec,2024,70.61,4.32,60.71,131.83,180.85,97.03,167.64,85.34,25.15,64.26,72.39,0.51
tmin,2024,-9.78,-4.06,-0.95,4.98,11.58,17.31,17.37,16.58,12.52,6.04,0.59,-10.42
tmax,2024,-1.81,11.55,13.03,18.06,24.71,29.85,28.8,28.76,27.5,23.44,11.37,2.22
