Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowa drought region 5 - southeast,15.75,1.09,-10.56
2015,Month_10,iowa drought region 5 - southeast,48.51,19.02,5.56
2015,Month_11,iowa drought region 5 - southeast,115.82,12.69,0.8
2015,Month_12,iowa drought region 5 - southeast,129.79,6.83,-1.94
2015,Month_2,iowa drought region 5 - southeast,38.35,-2.74,-14.96
2015,Month_3,iowa drought region 5 - southeast,12.19,10.86,-3.89
2015,Month_4,iowa drought region 5 - southeast,75.69,18.74,4.78
2015,Month_5,iowa drought region 5 - southeast,127.25,22.37,10.99
2015,Month_6,iowa drought region 5 - southeast,208.53,27.17,16.13
2015,Month_7,iowa drought region 5 - southeast,209.8,28.75,17.58
2015,Month_8,iowa drought region 5 - southeast,96.27,27.47,15.47
2015,Month_9,iowa drought region 5 - southeast,99.82,27.87,14.37
2016,Month_1,iowa drought region 5 - southeast,15.49,-0.79,-10.5
2016,Month_10,iowa drought region 5 - southeast,42.93,21.21,8.19
2016,Month_11,iowa drought region 5 - southeast,30.23,15.31,1.83
2016,Month_12,iowa drought region 5 - southeast,35.05,1.06,-8.3
2016,Month_2,iowa drought region 5 - southeast,27.18,4.07,-6.19
2016,Month_3,iowa drought region 5 - southeast,58.93,12.89,0.43
2016,Month_4,iowa drought region 5 - southeast,64.52,17.43,4.65
2016,Month_5,iowa drought region 5 - southeast,95.0,22.38,10.04
2016,Month_6,iowa drought region 5 - southeast,61.21,30.96,16.94
2016,Month_7,iowa drought region 5 - southeast,148.34,29.26,17.83
2016,Month_8,iowa drought region 5 - southeast,165.86,29.14,17.99
2016,Month_9,iowa drought region 5 - southeast,92.96,27.28,14.28
2017,Month_1,iowa drought region 5 - southeast,40.64,1.54,-7.35
2017,Month_10,iowa drought region 5 - southeast,129.29,19.21,6.92
2017,Month_11,iowa drought region 5 - southeast,16.51,9.81,-3.11
2017,Month_12,iowa drought region 5 - southeast,11.43,3.08,-8.76
2017,Month_2,iowa drought region 5 - southeast,13.97,9.82,-4.07
2017,Month_3,iowa drought region 5 - southeast,71.37,10.63,-1.83
2017,Month_4,iowa drought region 5 - southeast,118.87,18.13,5.72
2017,Month_5,iowa drought region 5 - southeast,107.44,22.15,9.57
2017,Month_6,iowa drought region 5 - southeast,67.31,29.9,15.71
2017,Month_7,iowa drought region 5 - southeast,51.56,31.92,18.58
2017,Month_8,iowa drought region 5 - southeast,85.85,27.85,14.69
2017,Month_9,iowa drought region 5 - southeast,59.69,27.93,12.63
2018,Month_1,iowa drought region 5 - southeast,23.11,-0.2,-11.81
2018,Month_10,iowa drought region 5 - southeast,144.78,16.47,4.0
2018,Month_11,iowa drought region 5 - southeast,65.02,4.87,-5.0
2018,Month_12,iowa drought region 5 - southeast,52.32,4.41,-5.87
2018,Month_2,iowa drought region 5 - southeast,50.29,1.17,-10.27
2018,Month_3,iowa drought region 5 - southeast,71.63,8.1,-3.05
2018,Month_4,iowa drought region 5 - southeast,20.57,12.26,-1.37
2018,Month_5,iowa drought region 5 - southeast,101.85,27.67,14.31
2018,Month_6,iowa drought region 5 - southeast,157.23,29.8,17.76
2018,Month_7,iowa drought region 5 - southeast,72.14,30.3,17.16
2018,Month_8,iowa drought region 5 - southeast,140.97,30.16,17.17
2018,Month_9,iowa drought region 5 - southeast,201.17,25.73,13.52
2019,Month_1,iowa drought region 5 - southeast,60.96,-0.59,-11.2
2019,Month_10,iowa drought region 5 - southeast,103.89,15.25,3.49
2019,Month_11,iowa drought region 5 - southeast,30.48,6.09,-4.25
2019,Month_12,iowa drought region 5 - southeast,29.46,5.59,-5.15
2019,Month_2,iowa drought region 5 - southeast,67.56,-1.87,-12.9
2019,Month_3,iowa drought region 5 - southeast,65.79,6.18,-4.66
2019,Month_4,iowa drought region 5 - southeast,64.77,17.0,3.85
2019,Month_5,iowa drought region 5 - southeast,275.59,19.96,9.28
2019,Month_6,iowa drought region 5 - southeast,114.05,26.91,15.69
2019,Month_7,iowa drought region 5 - southeast,62.99,30.59,18.96
2019,Month_8,iowa drought region 5 - southeast,102.62,27.54,15.99
2019,Month_9,iowa drought region 5 - southeast,164.34,26.7,15.35
2020,Month_1,iowa drought region 5 - southeast,48.77,0.48,-8.07
2020,Month_10,iowa drought region 5 - southeast,51.05,14.77,2.96
2020,Month_11,iowa drought region 5 - southeast,67.82,13.26,0.0
2020,Month_12,iowa drought region 5 - southeast,47.75,3.56,-7.11
2020,Month_2,iowa drought region 5 - southeast,7.87,2.49,-8.18
2020,Month_3,iowa drought region 5 - southeast,77.47,10.73,0.05
2020,Month_4,iowa drought region 5 - southeast,56.39,15.39,2.07
2020,Month_5,iowa drought region 5 - southeast,117.35,20.11,9.5
2020,Month_6,iowa drought region 5 - southeast,149.1,28.63,17.17
2020,Month_7,iowa drought region 5 - southeast,91.95,30.25,19.14
2020,Month_8,iowa drought region 5 - southeast,19.56,29.5,15.89
2020,Month_9,iowa drought region 5 - southeast,122.94,23.37,10.83
2021,Month_1,iowa drought region 5 - southeast,46.23,0.66,-8.44
2021,Month_10,iowa drought region 5 - southeast,152.4,20.04,8.05
2021,Month_11,iowa drought region 5 - southeast,29.21,11.22,-1.63
2021,Month_12,iowa drought region 5 - southeast,20.07,8.43,-4.22
2021,Month_2,iowa drought region 5 - southeast,20.83,-4.88,-14.62
2021,Month_3,iowa drought region 5 - southeast,73.15,12.63,0.39
2021,Month_4,iowa drought region 5 - southeast,56.13,16.74,4.06
2021,Month_5,iowa drought region 5 - southeast,115.82,21.18,10.16
2021,Month_6,iowa drought region 5 - southeast,125.98,29.87,17.13
2021,Month_7,iowa drought region 5 - southeast,137.67,29.63,18.2
2021,Month_8,iowa drought region 5 - southeast,74.42,30.24,17.81
2021,Month_9,iowa drought region 5 - southeast,37.59,27.93,13.0
2022,Month_1,iowa drought region 5 - southeast,26.16,-2.4,-15.43
2022,Month_10,iowa drought region 5 - southeast,35.05,19.65,3.24
2022,Month_11,iowa drought region 5 - southeast,79.5,10.78,-2.37
2022,Month_12,iowa drought region 5 - southeast,40.64,1.15,-9.5
2022,Month_2,iowa drought region 5 - southeast,11.18,2.44,-12.0
2022,Month_3,iowa drought region 5 - southeast,81.03,10.38,-2.85
2022,Month_4,iowa drought region 5 - southeast,81.79,13.78,1.33
2022,Month_5,iowa drought region 5 - southeast,79.25,23.33,11.56
2022,Month_6,iowa drought region 5 - southeast,87.88,29.48,16.52
2022,Month_7,iowa drought region 5 - southeast,60.2,30.63,18.46
2022,Month_8,iowa drought region 5 - southeast,56.64,30.2,17.37
2022,Month_9,iowa drought region 5 - southeast,83.57,26.56,12.46
2023,Month_1,iowa drought region 5 - southeast,46.23,2.39,-6.91
2023,Month_10,iowa drought region 5 - southeast,64.01,19.57,6.52
2023,Month_11,iowa drought region 5 - southeast,11.43,11.51,-2.74
2023,Month_12,iowa drought region 5 - southeast,60.2,7.63,-1.9
2023,Month_2,iowa drought region 5 - southeast,69.85,5.62,-8.35
2023,Month_3,iowa drought region 5 - southeast,45.97,8.33,-3.35
2023,Month_4,iowa drought region 5 - southeast,53.09,18.48,3.59
2023,Month_5,iowa drought region 5 - southeast,55.12,25.09,10.88
2023,Month_6,iowa drought region 5 - southeast,71.63,29.52,15.48
2023,Month_7,iowa drought region 5 - southeast,83.57,29.8,17.08
2023,Month_8,iowa drought region 5 - southeast,91.95,29.41,17.11
2023,Month_9,iowa drought region 5 - southeast,50.04,27.52,12.98
2024,Month_1,iowa drought region 5 - southeast,70.61,-1.81,-9.78
2024,Month_10,iowa drought region 5 - southeast,64.26,23.44,6.04
2024,Month_11,iowa drought region 5 - southeast,72.39,11.37,0.59
2024,Month_12,iowa drought region 5 - southeast,0.51,2.22,-10.42
2024,Month_2,iowa drought region 5 - southeast,4.32,11.55,-4.06
2024,Month_3,iowa drought region 5 - southeast,60.71,13.03,-0.95
2024,Month_4,iowa drought region 5 - southeast,131.83,18.06,4.98
2024,Month_5,iowa drought region 5 - southeast,180.85,24.71,11.58
2024,Month_6,iowa drought region 5 - southeast,97.03,29.85,17.31
2024,Month_7,iowa drought region 5 - southeast,167.64,28.8,17.37
2024,Month_8,iowa drought region 5 - southeast,85.34,28.76,16.58
2024,Month_9,iowa drought region 5 - southeast,25.15,27.5,12.52
