prec,2015,11.68,19.05,12.45,64.26,108.46,97.03,148.59,175.77,90.17,37.85,108.2,79.76
tmin,2015,-12.15,-15.81,-5.72,2.5,8.51,14.81,15.91,14.23,13.19,4.33,-1.72,-6.13
tmax,2015,-0.59,-3.17,11.56,17.74,20.91,27.17,28.66,26.72,26.3,19.09,10.15,2.13
prec,2016,13.21,32,55.12,124.71,147.57,77.98,74.17,93.47,151.89,53.59,46.99,33.53
tmin,2016,-12.94,-7.3,-1.65,2.94,8.67,16.24,16.52,15.7,11.76,4.3,-0.69,-11.85
tmax,2016,-3.26,1.8,11.52,15.85,21.92,30.04,29.23,28.5,25.48,18.55,13.11,-0.72
prec,2017,28.45,19.81,42.67,59.69,132.33,62.74,42.42,169.42,76.96,129.79,2.54,10.16
tmin,2017,-10.07,-6.5,-3.82,2.98,7.62,14.37,17.15,13.49,11.17,3.58,-5.15,-10.63
tmax,2017,-1.18,5.68,7.69,15.76,20.97,29.33,31,26.15,25.54,17.28,8.37,1.16
prec,2018,24.64,23.88,65.28,49.28,112.01,236.73,88.65,146.05,184.15,69.34,28.7,55.37
tmin,2018,-14.46,-15.3,-3.55,-3.39,11.77,17.19,16.43,15.02,12.22,1.11,-7.46,-8.48
tmax,2018,-2.91,-3.33,6.02,9.04,25.52,28.91,29.14,27.76,24.23,14.09,3.98,1.02
prec,2019,3.05,35.56,80.77,107.44,185.42,80.26,122.94,61.98,110.74,117.86,42.67,40.64
tmin,2019,-13.05,-17.1,-7.24,1.74,7.19,14.63,17.87,14.95,13.72,1.31,-5.65,-8.87
tmax,2019,-2.46,-6.31,3.64,14.78,18.01,26.96,29.05,26.56,25.24,13.24,4.98,0.98
prec,2020,20.57,4.32,69.6,23.11,81.28,83.57,55.37,35.05,34.8,35.31,40.13,12.45
tmin,2020,-11.18,-10.69,-2.49,-0.52,8.53,16.93,17.72,15.52,9.52,0,-2.4,-9.35
tmax,2020,-2.31,0.73,8.62,14.12,19,29.81,30.33,29.35,23.63,13.08,10.65,2.59
prec,2021,23.88,16,74.93,48.77,82.55,52.58,92.2,126.75,65.79,100.08,6.6,19.05
tmin,2021,-8.67,-16.43,-2.26,1.32,8.57,15.8,16.51,15.98,10.94,5.09,-3.22,-7.63
tmax,2021,0.25,-6.69,11.17,15.42,21.02,30.93,29.53,29.41,26.8,19.12,10,4.61
prec,2022,6.86,4.32,37.34,32.51,82.3,40.89,76.96,80.77,23.62,12.45,25.91,50.8
tmin,2022,-16.61,-15.08,-5.54,-1.56,9.04,15.43,17.44,15.25,10.13,0.94,-5.09,-13.35
tmax,2022,-0.39,1.19,8.42,13.41,22.17,29,30.5,28.98,26.85,18.39,8.09,-3.3
prec,2023,44.96,32.51,27.69,36.07,67.56,72.14,81.28,102.36,50.8,115.82,2.54,41.4
tmin,2023,-11.52,-12.18,-7.06,1.28,10.68,15.52,15.09,15.85,12.01,3.91,-4.43,-5.2
tmax,2023,-2.04,-0.16,3.46,15.61,24.87,29.37,28.46,29.26,26.55,17.58,11.09,5.61
prec,2024,26.67,5.84,61.21,127,167.64,190.5,84.84,58.42,7.87,18.54,73.41,1.02
tmin,2024,-12.74,-5,-4.54,3.02,9.8,15.52,16.52,15.34,11.46,4.62,-2.41,-11.94
tmax,2024,-4.44,8.24,10.83,16.37,23.21,27.94,28.44,27.51,27.81,22.29,9.22,1.11
