Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowadroughtregion3,14.73,-1.83,-12.35
2015,Month_10,iowadroughtregion3,56.64,17.82,4.37
2015,Month_11,iowadroughtregion3,101.09,10.91,-0.44
2015,Month_12,iowadroughtregion3,131.06,5.45,-2.58
2015,Month_2,iowadroughtregion3,33.02,-5.52,-17.8
2015,Month_3,iowadroughtregion3,20.83,7.87,-6.24
2015,Month_4,iowadroughtregion3,82.8,17.28,3.09
2015,Month_5,iowadroughtregion3,124.46,21.45,10.34
2015,Month_6,iowadroughtregion3,177.55,26.37,14.72
2015,Month_7,iowadroughtregion3,97.54,28.09,16.24
2015,Month_8,iowadroughtregion3,102.36,26.88,14.5
2015,Month_9,iowadroughtregion3,87.63,27.2,13.67
2016,Month_1,iowadroughtregion3,17.27,-3.06,-12.2
2016,Month_10,iowadroughtregion3,58.67,19.12,6.38
2016,Month_11,iowadroughtregion3,39.37,13.49,0.67
2016,Month_12,iowadroughtregion3,46.74,-1.42,-9.71
2016,Month_2,iowadroughtregion3,19.56,1.55,-7.68
2016,Month_3,iowadroughtregion3,82.8,10.57,-1.22
2016,Month_4,iowadroughtregion3,48.01,15.56,3.35
2016,Month_5,iowadroughtregion3,100.84,21.94,9.14
2016,Month_6,iowadroughtregion3,167.39,29.08,15.8
2016,Month_7,iowadroughtregion3,158.24,28.21,17.13
2016,Month_8,iowadroughtregion3,182.88,28.32,16.99
2016,Month_9,iowadroughtregion3,186.69,25.46,13.31
2017,Month_1,iowadroughtregion3,53.34,-0.73,-9.07
2017,Month_10,iowadroughtregion3,135.64,17.99,6.04
2017,Month_11,iowadroughtregion3,16.0,7.78,-3.99
2017,Month_12,iowadroughtregion3,11.68,0.65,-10.19
2017,Month_2,iowadroughtregion3,30.99,6.53,-5.62
2017,Month_3,iowadroughtregion3,68.07,7.4,-3.55
2017,Month_4,iowadroughtregion3,111.0,16.48,4.81
2017,Month_5,iowadroughtregion3,115.82,20.06,8.33
2017,Month_6,iowadroughtregion3,129.79,28.22,14.98
2017,Month_7,iowadroughtregion3,138.68,28.98,16.89
2017,Month_8,iowadroughtregion3,53.09,25.87,14.0
2017,Month_9,iowadroughtregion3,41.15,26.76,11.92
2018,Month_1,iowadroughtregion3,31.75,-2.65,-13.82
2018,Month_10,iowadroughtregion3,150.88,14.86,2.94
2018,Month_11,iowadroughtregion3,61.47,3.13,-5.78
2018,Month_12,iowadroughtregion3,53.09,2.4,-6.51
2018,Month_2,iowadroughtregion3,52.58,-1.19,-12.2
2018,Month_3,iowadroughtregion3,59.18,6.42,-4.58
2018,Month_4,iowadroughtregion3,51.05,9.61,-2.69
2018,Month_5,iowadroughtregion3,150.11,25.91,12.92
2018,Month_6,iowadroughtregion3,172.97,28.2,16.83
2018,Month_7,iowadroughtregion3,109.22,28.96,16.58
2018,Month_8,iowadroughtregion3,187.96,28.31,16.59
2018,Month_9,iowadroughtregion3,250.95,24.52,12.39
2019,Month_1,iowadroughtregion3,52.32,-3.17,-13.06
2019,Month_10,iowadroughtregion3,139.7,14.01,2.96
2019,Month_11,iowadroughtregion3,48.77,3.74,-5.11
2019,Month_12,iowadroughtregion3,35.81,3.32,-6.63
2019,Month_2,iowadroughtregion3,75.44,-3.43,-14.86
2019,Month_3,iowadroughtregion3,39.62,4.03,-6.58
2019,Month_4,iowadroughtregion3,100.08,14.74,2.39
2019,Month_5,iowadroughtregion3,191.26,18.71,7.9
2019,Month_6,iowadroughtregion3,112.01,25.75,14.46
2019,Month_7,iowadroughtregion3,89.41,29.75,18.23
2019,Month_8,iowadroughtregion3,78.74,26.52,14.67
2019,Month_9,iowadroughtregion3,187.45,24.83,13.94
2020,Month_1,iowadroughtregion3,38.35,-0.86,-9.09
2020,Month_10,iowadroughtregion3,62.74,13.37,1.9
2020,Month_11,iowadroughtregion3,52.58,11.61,-0.83
2020,Month_12,iowadroughtregion3,32.0,1.88,-7.97
2020,Month_2,iowadroughtregion3,16.0,0.1,-10.48
2020,Month_3,iowadroughtregion3,83.82,8.33,-1.13
2020,Month_4,iowadroughtregion3,46.74,13.8,0.91
