Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowaeastcentral,18.03,-0.72,-11.37
2015,Month_10,iowaeastcentral,71.88,18.66,5.16
2015,Month_11,iowaeastcentral,121.67,11.74,-0.02
2015,Month_12,iowaeastcentral,124.21,6.63,-1.79
2015,Month_2,iowaeastcentral,37.08,-4.28,-16.67
2015,Month_3,iowaeastcentral,17.78,8.6,-5.7
2015,Month_4,iowaeastcentral,69.6,18.08,3.54
2015,Month_5,iowaeastcentral,135.38,22.29,10.95
2015,Month_6,iowaeastcentral,213.11,26.78,15.15
2015,Month_7,iowaeastcentral,101.35,28.42,16.76
2015,Month_8,iowaeastcentral,97.54,27.2,14.88
2015,Month_9,iowaeastcentral,101.35,27.53,13.93
2016,Month_1,iowaeastcentral,12.7,-1.89,-11.17
2016,Month_10,iowaeastcentral,58.42,20.28,7.7
2016,Month_11,iowaeastcentral,41.4,14.73,1.59
2016,Month_12,iowaeastcentral,39.62,-0.43,-8.69
2016,Month_2,iowaeastcentral,15.24,2.97,-6.53
2016,Month_3,iowaeastcentral,69.09,11.59,-0.45
2016,Month_4,iowaeastcentral,57.4,16.13,3.87
2016,Month_5,iowaeastcentral,100.08,22.51,9.59
2016,Month_6,iowaeastcentral,154.94,29.87,16.17
2016,Month_7,iowaeastcentral,146.3,28.56,17.56
2016,Month_8,iowaeastcentral,184.91,28.92,17.89
2016,Month_9,iowaeastcentral,120.4,26.72,14.29
2017,Month_1,iowaeastcentral,42.67,0.76,-7.83
2017,Month_10,iowaeastcentral,114.81,18.76,6.76
2017,Month_11,iowaeastcentral,20.83,8.65,-3.41
2017,Month_12,iowaeastcentral,14.73,1.76,-9.3
2017,Month_2,iowaeastcentral,20.32,8.39,-4.7
2017,Month_3,iowaeastcentral,73.41,9.09,-2.47
2017,Month_4,iowaeastcentral,118.62,17.48,5.41
2017,Month_5,iowaeastcentral,114.81,20.81,8.78
2017,Month_6,iowaeastcentral,108.46,28.89,15.37
2017,Month_7,iowaeastcentral,132.33,29.73,17.28
2017,Month_8,iowaeastcentral,53.85,26.54,14.22
2017,Month_9,iowaeastcentral,36.32,27.26,12.16
2018,Month_1,iowaeastcentral,20.07,-1.45,-12.9
2018,Month_10,iowaeastcentral,160.27,15.9,3.84
2018,Month_11,iowaeastcentral,70.1,4.33,-4.48
2018,Month_12,iowaeastcentral,51.31,3.42,-5.97
2018,Month_2,iowaeastcentral,67.82,0.2,-10.87
2018,Month_3,iowaeastcentral,72.64,7.37,-4.13
2018,Month_4,iowaeastcentral,25.65,10.98,-1.78
2018,Month_5,iowaeastcentral,125.73,26.83,13.81
2018,Month_6,iowaeastcentral,156.21,28.98,17.26
2018,Month_7,iowaeastcentral,90.68,29.35,16.9
