prec,2015,12.7,28.19,24.38,85.85,118.87,158.5,80.77,90.93,78.23,50.04,87.88,135.13
tmin,2015,-12.89,-18.45,-6.25,2.76,9.98,14.37,15.66,14.3,13.41,4.33,-0.52,-2.9
tmax,2015,-2.42,-6.13,7.26,16.54,20.91,26.05,27.67,26.46,26.69,17.8,10.23,4.86
prec,2016,19.3,20.83,93.22,40.89,101.35,174.5,170.43,182.63,229.36,56.39,40.13,52.07
tmin,2016,-12.78,-8.3,-1.72,2.8,8.82,15.31,16.77,16.38,12.87,6.13,0.72,-10.33
tmax,2016,-3.73,0.86,9.93,14.67,21.56,28.07,27.8,27.82,24.7,18.56,13.31,-2.05
prec,2017,61.47,34.54,64.01,107.7,115.06,148.59,151.64,49.28,39.12,158.24,13.72,9.65
tmin,2017,-9.78,-6.07,-4.12,4.56,7.92,14.63,16.52,13.8,11.38,5.66,-4.33,-10.61
tmax,2017,-1.56,5.42,6.4,15.85,19.82,27.7,28.39,25.39,25.8,17.37,6.97,-0.13
prec,2018,38.1,43.69,45.97,62.48,173.23,184.15,123.44,195.83,282.7,154.18,56.9,52.58
tmin,2018,-14.25,-12.88,-5,-3.22,12.46,16.53,16.5,16.23,12.07,2.51,-6.03,-6.76
tmax,2018,-3.24,-1.88,5.89,8.67,25.04,27.43,28.48,27.47,24.13,14.1,2.78,1.79
prec,2019,44.96,66.55,34.54,89.92,172.72,127,116.08,70.36,205.74,164.08,52.83,35.81
tmin,2019,-13.94,-15.56,-7.31,1.93,7.42,14.18,17.83,14.3,13.48,2.62,-5.41,-7.24
tmax,2019,-4.07,-4.07,3.26,14.19,18.32,25.54,29.34,26.07,24.28,13.46,3.11,2.67
prec,2020,33.27,17.78,82.04,43.18,124.46,217.68,85.6,41.66,162.05,65.28,47.5,20.83
tmin,2020,-9.5,-11.13,-1.52,0.37,7.97,15.39,17.93,15.22,9.72,1.52,-1.09,-8.35
tmax,2020,-1.31,-0.26,7.71,13.3,19.25,27.35,29.46,28.37,21.67,12.72,11.3,1.51
prec,2021,28.45,21.08,57.66,22.1,87.38,94.74,84.07,208.79,49.28,96.77,34.8,31.5
tmin,2021,-10.26,-17.62,-1.61,2.72,8.92,16.32,16.9,15.8,11.03,7.35,-3.07,-6.81
tmax,2021,-1.39,-7,9.83,14.8,20.29,29.39,28.39,28.5,25.31,18.73,8.52,3.85
prec,2022,15.75,4.83,85.6,89.15,92.96,119.63,141.48,154.69,27.18,32,66.04,45.21
tmin,2022,-18.33,-14.94,-4.26,-0.31,9.87,14.57,16.99,15.8,11.28,1.99,-3.57,-11.54
tmax,2022,-5.72,-1.96,6.74,10.39,21.72,27.31,28.7,27.01,24.02,17.06,8.61,-2.22
prec,2023,51.05,58.42,41.4,67.56,64.77,63.25,90.93,39.62,81.28,86.36,7.37,33.27
tmin,2023,-8.92,-11.05,-5.05,2.17,9.52,14.26,15.38,15.56,12.39,5.2,-3.76,-3.37
tmax,2023,-0.82,1.13,5.56,15.54,23.33,28.35,28.41,28.83,25.57,17.54,9.24,5.23
prec,2024,46.48,8.38,56.13,108.46,227.58,165.61,138.68,82.55,20.83,45.21,99.06,0.25
tmin,2024,-10.34,-5.52,-3.28,3.22,9.95,15.48,16.18,15.81,11.52,5.04,-0.81,-11.81
tmax,2024,-3.14,8.58,10.43,14.98,22.63,27.41,27.47,28.06,26.54,21.39,8.98,0.07
