Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowanortheastclimatedivision,12.7,-2.42,-12.89
2015,Month_10,iowanortheastclimatedivision,50.04,17.8,4.33
2015,Month_11,iowanortheastclimatedivision,87.88,10.23,-0.52
2015,Month_12,iowanortheastclimatedivision,135.13,4.86,-2.9
2015,Month_2,iowanortheastclimatedivision,28.19,-6.13,-18.45
2015,Month_3,iowanortheastclimatedivision,24.38,7.26,-6.25
2015,Month_4,iowanortheastclimatedivision,85.85,16.54,2.76
2015,Month_5,iowanortheastclimatedivision,118.87,20.91,9.98
2015,Month_6,iowanortheastclimatedivision,158.5,26.05,14.37
2015,Month_7,iowanortheastclimatedivision,80.77,27.67,15.66
2015,Month_8,iowanortheastclimatedivision,90.93,26.46,14.3
2015,Month_9,iowanortheastclimatedivision,78.23,26.69,13.41
2016,Month_1,iowanortheastclimatedivision,19.3,-3.73,-12.78
2016,Month_10,iowanortheastclimatedivision,56.39,18.56,6.13
2016,Month_11,iowanortheastclimatedivision,40.13,13.31,0.72
2016,Month_12,iowanortheastclimatedivision,52.07,-2.05,-10.33
2016,Month_2,iowanortheastclimatedivision,20.83,0.86,-8.3
2016,Month_3,iowanortheastclimatedivision,93.22,9.93,-1.72
2016,Month_4,iowanortheastclimatedivision,40.89,14.67,2.8
2016,Month_5,iowanortheastclimatedivision,101.35,21.56,8.82
2016,Month_6,iowanortheastclimatedivision,174.5,28.07,15.31
2016,Month_7,iowanortheastclimatedivision,170.43,27.8,16.77
2016,Month_8,iowanortheastclimatedivision,182.63,27.82,16.38
2016,Month_9,iowanortheastclimatedivision,229.36,24.7,12.87
2017,Month_1,iowanortheastclimatedivision,61.47,-1.56,-9.78
2017,Month_10,iowanortheastclimatedivision,158.24,17.37,5.66
2017,Month_11,iowanortheastclimatedivision,13.72,6.97,-4.33
2017,Month_12,iowanortheastclimatedivision,9.65,-0.13,-10.61
2017,Month_2,iowanortheastclimatedivision,34.54,5.42,-6.07
2017,Month_3,iowanortheastclimatedivision,64.01,6.4,-4.12
2017,Month_4,iowanortheastclimatedivision,107.7,15.85,4.56
2017,Month_5,iowanortheastclimatedivision,115.06,19.82,7.92
2017,Month_6,iowanortheastclimatedivision,148.59,27.7,14.63
2017,Month_7,iowanortheastclimatedivision,151.64,28.39,16.52
2017,Month_8,iowanortheastclimatedivision,49.28,25.39,13.8
2017,Month_9,iowanortheastclimatedivision,39.12,25.8,11.38
2018,Month_1,iowanortheastclimatedivision,38.1,-3.24,-14.25
2018,Month_10,iowanortheastclimatedivision,154.18,14.1,2.51
2018,Month_11,iowanortheastclimatedivision,56.9,2.78,-6.03
2018,Month_12,iowanortheastclimatedivision,52.58,1.79,-6.76
2018,Month_2,iowanortheastclimatedivision,43.69,-1.88,-12.88
2018,Month_3,iowanortheastclimatedivision,45.97,5.89,-5.0
2018,Month_4,iowanortheastclimatedivision,62.48,8.67,-3.22
2018,Month_5,iowanortheastclimatedivision,173.23,25.04,12.46
2018,Month_6,iowanortheastclimatedivision,184.15,27.43,16.53
2018,Month_7,iowanortheastclimatedivision,123.44,28.48,16.5
2018,Month_8,iowanortheastclimatedivision,195.83,27.47,16.23
2018,Month_9,iowanortheastclimatedivision,282.7,24.13,12.07
2019,Month_1,iowanortheastclimatedivision,44.96,-4.07,-13.94
2019,Month_10,iowanortheastclimatedivision,164.08,13.46,2.62
2019,Month_11,iowanortheastclimatedivision,52.83,3.11,-5.41
2019,Month_12,iowanortheastclimatedivision,35.81,2.67,-7.24
2019,Month_2,iowanortheastclimatedivision,66.55,-4.07,-15.56
2019,Month_3,iowanortheastclimatedivision,34.54,3.26,-7.31
2019,Month_4,iowanortheastclimatedivision,89.92,14.19,1.93
2019,Month_5,iowanortheastclimatedivision,172.72,18.32,7.42
2019,Month_6,iowanortheastclimatedivision,127.0,25.54,14.18
2019,Month_7,iowanortheastclimatedivision,116.08,29.34,17.83
2019,Month_8,iowanortheastclimatedivision,70.36,26.07,14.3
2019,Month_9,iowanortheastclimatedivision,205.74,24.28,13.48
2020,Month_1,iowanortheastclimatedivision,33.27,-1.31,-9.5
2020,Month_10,iowanortheastclimatedivision,65.28,12.72,1.52
2020,Month_11,iowanortheastclimatedivision,47.5,11.3,-1.09
2020,Month_12,iowanortheastclimatedivision,20.83,1.51,-8.35
2020,Month_2,iowanortheastclimatedivision,17.78,-0.26,-11.13
2020,Month_3,iowanortheastclimatedivision,82.04,7.71,-1.52
2020,Month_4,iowanortheastclimatedivision,43.18,13.3,0.37
2020,Month_5,iowanortheastclimatedivision,124.46,19.25,7.97
2020,Month_6,iowanortheastclimatedivision,217.68,27.35,15.39
2020,Month_7,iowanortheastclimatedivision,85.6,29.46,17.93
2020,Month_8,iowanortheastclimatedivision,41.66,28.37,15.22
2020,Month_9,iowanortheastclimatedivision,162.05,21.67,9.72
2021,Month_1,iowanortheastclimatedivision,28.45,-1.39,-10.26
2021,Month_10,iowanortheastclimatedivision,96.77,18.73,7.35
2021,Month_11,iowanortheastclimatedivision,34.8,8.52,-3.07
2021,Month_12,iowanortheastclimatedivision,31.5,3.85,-6.81
2021,Month_2,iowanortheastclimatedivision,21.08,-7.0,-17.62
2021,Month_3,iowanortheastclimatedivision,57.66,9.83,-1.61
2021,Month_4,iowanortheastclimatedivision,22.1,14.8,2.72
2021,Month_5,iowanortheastclimatedivision,87.38,20.29,8.92
2021,Month_6,iowanortheastclimatedivision,94.74,29.39,16.32
2021,Month_7,iowanortheastclimatedivision,84.07,28.39,16.9
2021,Month_8,iowanortheastclimatedivision,208.79,28.5,15.8
2021,Month_9,iowanortheastclimatedivision,49.28,25.31,11.03
2022,Month_1,iowanortheastclimatedivision,15.75,-5.72,-18.33
2022,Month_10,iowanortheastclimatedivision,32.0,17.06,1.99
2022,Month_11,iowanortheastclimatedivision,66.04,8.61,-3.57
2022,Month_12,iowanortheastclimatedivision,45.21,-2.22,-11.54
2022,Month_2,iowanortheastclimatedivision,4.83,-1.96,-14.94
2022,Month_3,iowanortheastclimatedivision,85.6,6.74,-4.26
2022,Month_4,iowanortheastclimatedivision,89.15,10.39,-0.31
2022,Month_5,iowanortheastclimatedivision,92.96,21.72,9.87
2022,Month_6,iowanortheastclimatedivision,119.63,27.31,14.57
2022,Month_7,iowanortheastclimatedivision,141.48,28.7,16.99
2022,Month_8,iowanortheastclimatedivision,154.69,27.01,15.8
2022,Month_9,iowanortheastclimatedivision,27.18,24.02,11.28
2023,Month_1,iowanortheastclimatedivision,51.05,-0.82,-8.92
2023,Month_10,iowanortheastclimatedivision,86.36,17.54,5.2
2023,Month_11,iowanortheastclimatedivision,7.37,9.24,-3.76
2023,Month_12,iowanortheastclimatedivision,33.27,5.23,-3.37
2023,Month_2,iowanortheastclimatedivision,58.42,1.13,-11.05
2023,Month_3,iowanortheastclimatedivision,41.4,5.56,-5.05
2023,Month_4,iowanortheastclimatedivision,67.56,15.54,2.17
2023,Month_5,iowanortheastclimatedivision,64.77,23.33,9.52
2023,Month_6,iowanortheastclimatedivision,63.25,28.35,14.26
2023,Month_7,iowanortheastclimatedivision,90.93,28.41,15.38
2023,Month_8,iowanortheastclimatedivision,39.62,28.83,15.56
2023,Month_9,iowanortheastclimatedivision,81.28,25.57,12.39
2024,Month_1,iowanortheastclimatedivision,46.48,-3.14,-10.34
2024,Month_10,iowanortheastclimatedivision,45.21,21.39,5.04
2024,Month_11,iowanortheastclimatedivision,99.06,8.98,-0.81
2024,Month_12,iowanortheastclimatedivision,0.25,0.07,-11.81
2024,Month_2,iowanortheastclimatedivision,8.38,8.58,-5.52
2024,Month_3,iowanortheastclimatedivision,56.13,10.43,-3.28
2024,Month_4,iowanortheastclimatedivision,108.46,14.98,3.22
2024,Month_5,iowanortheastclimatedivision,227.58,22.63,9.95
2024,Month_6,iowanortheastclimatedivision,165.61,27.41,15.48
2024,Month_7,iowanortheastclimatedivision,138.68,27.47,16.18
2024,Month_8,iowanortheastclimatedivision,82.55,28.06,15.81
2024,Month_9,iowanortheastclimatedivision,20.83,26.54,11.52
