prec,2015,13.46,18.54,11.68,65.79,106.68,93.47,108.2,184.66,75.18,44.2,111.76,79.25
tmin,2015,-12.44,-16.35,-5.79,2.33,8.44,14.8,15.74,13.96,12.83,3.84,-1.95,-6.36
tmax,2015,-1.51,-4.11,10.5,17.37,20.73,26.94,28.5,26.42,26.17,18.55,9.37,1.72
prec,2016,11.94,29.72,55.63,118.87,137.67,83.06,97.54,91.69,188.21,69.85,41.4,34.8
tmin,2016,-13.64,-7.91,-2.01,2.72,8.58,15.81,16.29,15.43,11.69,4.18,-0.39,-12.15
tmax,2016,-3.87,0.94,10.65,15.43,21.68,29.54,28.84,27.99,25.19,18.21,12.69,-1.36
prec,2017,28.96,23.11,41.66,58.17,125.22,76.96,35.56,170.43,69.09,128.27,3.56,9.4
tmin,2017,-10.38,-6.77,-4.62,2.93,7.81,14.31,16.93,13.31,11.24,3.56,-5.28,-10.99
tmax,2017,-1.77,4.9,6.42,15.3,20.63,28.87,30.65,25.83,25.63,16.81,7.56,0.47
prec,2018,23.37,26.92,65.28,68.07,124.97,243.84,104.39,153.16,208.03,68.83,29.46,55.37
tmin,2018,-14.83,-15.79,-4.18,-3.85,11.65,17.17,16.42,15.07,12.05,0.97,-7.67,-8.46
tmax,2018,-3.63,-3.81,4.91,7.83,25.25,28.61,28.87,27.54,24,13.55,3.26,0.47
prec,2019,5.84,36.58,72.64,120.9,194.31,91.69,120.65,57.91,116.59,131.32,44.45,38.1
tmin,2019,-14.01,-17.58,-7.74,1.59,7.03,14.59,17.74,14.7,13.52,1.31,-5.8,-9.3
tmax,2019,-3.48,-6.83,2.8,14.26,17.71,26.59,28.71,26.31,24.78,12.94,4.28,0.3
prec,2020,24.13,5.59,67.06,23.88,95.76,94.49,49.53,33.02,34.8,37.08,36.58,12.19
tmin,2020,-11.49,-11.71,-2.67,-0.43,8.44,16.72,17.42,15.3,9.43,-0.09,-2.38,-9.41
tmax,2020,-2.85,-0.46,7.99,14.07,18.92,29.39,29.91,29.04,23.08,12.58,10.65,2.24
prec,2021,21.34,13.97,63.5,45.97,79.76,51.56,94.49,133.86,71.63,115.06,8.89,20.57
tmin,2021,-9.35,-16.75,-2.41,1.15,8.49,15.65,16.4,15.57,10.74,5.22,-3.35,-8.24
tmax,2021,-0.27,-7.06,10.4,15.09,20.88,30.77,29.29,28.98,26.3,18.94,9.41,3.75
prec,2022,11.68,5.33,35.31,38.35,85.09,47.24,81.28,83.82,23.11,10.41,25.4,51.82
tmin,2022,-17.78,-15.69,-5.65,-1.59,8.78,15.3,16.96,15.07,10.08,1.04,-5.15,-13.58
tmax,2022,-1.97,-0.32,7.53,12.43,21.95,28.7,29.83,28.46,26.4,18.21,7.87,-3.84
prec,2023,47.5,36.83,28.19,41.15,77.98,84.07,71.88,106.43,41.66,126.24,1.27,44.7
tmin,2023,-12.08,-13.17,-7.43,0.93,10.27,15.39,14.67,15.7,12,3.92,-4.54,-5.34
tmax,2023,-2.53,-1.05,2.89,14.91,24.44,29.04,28.04,28.87,26.44,17.46,10.46,5.54
prec,2024,22.61,5.33,64.26,123.44,185.93,231.14,73.91,62.48,11.94,19.3,71.12,1.02
tmin,2024,-12.54,-5.58,-5.09,2.85,9.7,15.24,16.47,15.14,11.34,4.46,-2.59,-12.57
tmax,2024,-4.48,7.6,10.43,16,22.96,27.61,28.28,27.29,27.74,21.95,8.64,0.76
