Year,Month,Stations,prec,tmax,tmin
2015,Month_1,iowanorthwestclimate,13.46,-1.51,-12.44
2015,Month_10,iowanorthwestclimate,44.2,18.55,3.84
2015,Month_11,iowanorthwestclimate,111.76,9.37,-1.95
2015,Month_12,iowanorthwestclimate,79.25,1.72,-6.36
2015,Month_2,iowanorthwestclimate,18.54,-4.11,-16.35
2015,Month_3,iowanorthwestclimate,11.68,10.5,-5.79
2015,Month_4,iowanorthwestclimate,65.79,17.37,2.33
2015,Month_5,iowanorthwestclimate,106.68,20.73,8.44
2015,Month_6,iowanorthwestclimate,93.47,26.94,14.8
2015,Month_7,iowanorthwestclimate,108.2,28.5,15.74
2015,Month_8,iowanorthwestclimate,184.66,26.42,13.96
2015,Month_9,iowanorthwestclimate,75.18,26.17,12.83
2016,Month_1,iowanorthwestclimate,11.94,-3.87,-13.64
2016,Month_10,iowanorthwestclimate,69.85,18.21,4.18
2016,Month_11,iowanorthwestclimate,41.4,12.69,-0.39
2016,Month_12,iowanorthwestclimate,34.8,-1.36,-12.15
2016,Month_2,iowanorthwestclimate,29.72,0.94,-7.91
2016,Month_3,iowanorthwestclimate,55.63,10.65,-2.01
2016,Month_4,iowanorthwestclimate,118.87,15.43,2.72
2016,Month_5,iowanorthwestclimate,137.67,21.68,8.58
2016,Month_6,iowanorthwestclimate,83.06,29.54,15.81
2016,Month_7,iowanorthwestclimate,97.54,28.84,16.29
2016,Month_8,iowanorthwestclimate,91.69,27.99,15.43
2016,Month_9,iowanorthwestclimate,188.21,25.19,11.69
2017,Month_1,iowanorthwestclimate,28.96,-1.77,-10.38
2017,Month_10,iowanorthwestclimate,128.27,16.81,3.56
2017,Month_11,iowanorthwestclimate,3.56,7.56,-5.28
2017,Month_12,iowanorthwestclimate,9.4,0.47,-10.99
2017,Month_2,iowanorthwestclimate,23.11,4.9,-6.77
2017,Month_3,iowanorthwestclimate,41.66,6.42,-4.62
2017,Month_4,iowanorthwestclimate,58.17,15.3,2.93
2017,Month_5,iowanorthwestclimate,125.22,20.63,7.81
2017,Month_6,iowanorthwestclimate,76.96,28.87,14.31
2017,Month_7,iowanorthwestclimate,35.56,30.65,16.93
2017,Month_8,iowanorthwestclimate,170.43,25.83,13.31
2017,Month_9,iowanorthwestclimate,69.09,25.63,11.24
2018,Month_1,iowanorthwestclimate,23.37,-3.63,-14.83
2018,Month_10,iowanorthwestclimate,68.83,13.55,0.97
2018,Month_11,iowanorthwestclimate,29.46,3.26,-7.67
2018,Month_12,iowanorthwestclimate,55.37,0.47,-8.46
2018,Month_2,iowanorthwestclimate,26.92,-3.81,-15.79
2018,Month_3,iowanorthwestclimate,65.28,4.91,-4.18
2018,Month_4,iowanorthwestclimate,68.07,7.83,-3.85
2018,Month_5,iowanorthwestclimate,124.97,25.25,11.65
2018,Month_6,iowanorthwestclimate,243.84,28.61,17.17
2018,Month_7,iowanorthwestclimate,104.39,28.87,16.42
2018,Month_8,iowanorthwestclimate,153.16,27.54,15.07
2018,Month_9,iowanorthwestclimate,208.03,24.0,12.05
2019,Month_1,iowanorthwestclimate,5.84,-3.48,-14.01
2019,Month_10,iowanorthwestclimate,131.32,12.94,1.31
2019,Month_11,iowanorthwestclimate,44.45,4.28,-5.8
2019,Month_12,iowanorthwestclimate,38.1,0.3,-9.3
2019,Month_2,iowanorthwestclimate,36.58,-6.83,-17.58
2019,Month_3,iowanorthwestclimate,72.64,2.8,-7.74
2019,Month_4,iowanorthwestclimate,120.9,14.26,1.59
2019,Month_5,iowanorthwestclimate,194.31,17.71,7.03
2019,Month_6,iowanorthwestclimate,91.69,26.59,14.59
2019,Month_7,iowanorthwestclimate,120.65,28.71,17.74
2019,Month_8,iowanorthwestclimate,57.91,26.31,14.7
2019,Month_9,iowanorthwestclimate,116.59,24.78,13.52
2020,Month_1,iowanorthwestclimate,24.13,-2.85,-11.49
2020,Month_10,iowanorthwestclimate,37.08,12.58,-0.09
2020,Month_11,iowanorthwestclimate,36.58,10.65,-2.38
2020,Month_12,iowanorthwestclimate,12.19,2.24,-9.41
2020,Month_2,iowanorthwestclimate,5.59,-0.46,-11.71
2020,Month_3,iowanorthwestclimate,67.06,7.99,-2.67
2020,Month_4,iowanorthwestclimate,23.88,14.07,-0.43
2020,Month_5,iowanorthwestclimate,95.76,18.92,8.44
2020,Month_6,iowanorthwestclimate,94.49,29.39,16.72
2020,Month_7,iowanorthwestclimate,49.53,29.91,17.42
2020,Month_8,iowanorthwestclimate,33.02,29.04,15.3
2020,Month_9,iowanorthwestclimate,34.8,23.08,9.43
2021,Month_1,iowanorthwestclimate,21.34,-0.27,-9.35
2021,Month_10,iowanorthwestclimate,115.06,18.94,5.22
2021,Month_11,iowanorthwestclimate,8.89,9.41,-3.35
2021,Month_12,iowanorthwestclimate,20.57,3.75,-8.24
2021,Month_2,iowanorthwestclimate,13.97,-7.06,-16.75
2021,Month_3,iowanorthwestclimate,63.5,10.4,-2.41
2021,Month_4,iowanorthwestclimate,45.97,15.09,1.15
2021,Month_5,iowanorthwestclimate,79.76,20.88,8.49
2021,Month_6,iowanorthwestclimate,51.56,30.77,15.65
2021,Month_7,iowanorthwestclimate,94.49,29.29,16.4
2021,Month_8,iowanorthwestclimate,133.86,28.98,15.57
2021,Month_9,iowanorthwestclimate,71.63,26.3,10.74
2022,Month_1,iowanorthwestclimate,11.68,-1.97,-17.78
2022,Month_10,iowanorthwestclimate,10.41,18.21,1.04
2022,Month_11,iowanorthwestclimate,25.4,7.87,-5.15
2022,Month_12,iowanorthwestclimate,51.82,-3.84,-13.58
2022,Month_2,iowanorthwestclimate,5.33,-0.32,-15.69
2022,Month_3,iowanorthwestclimate,35.31,7.53,-5.65
2022,Month_4,iowanorthwestclimate,38.35,12.43,-1.59
2022,Month_5,iowanorthwestclimate,85.09,21.95,8.78
2022,Month_6,iowanorthwestclimate,47.24,28.7,15.3
2022,Month_7,iowanorthwestclimate,81.28,29.83,16.96
2022,Month_8,iowanorthwestclimate,83.82,28.46,15.07
2022,Month_9,iowanorthwestclimate,23.11,26.4,10.08
2023,Month_1,iowanorthwestclimate,47.5,-2.53,-12.08
2023,Month_10,iowanorthwestclimate,126.24,17.46,3.92
2023,Month_11,iowanorthwestclimate,1.27,10.46,-4.54
2023,Month_12,iowanorthwestclimate,44.7,5.54,-5.34
2023,Month_2,iowanorthwestclimate,36.83,-1.05,-13.17
2023,Month_3,iowanorthwestclimate,28.19,2.89,-7.43
2023,Month_4,iowanorthwestclimate,41.15,14.91,0.93
2023,Month_5,iowanorthwestclimate,77.98,24.44,10.27
2023,Month_6,iowanorthwestclimate,84.07,29.04,15.39
2023,Month_7,iowanorthwestclimate,71.88,28.04,14.67
2023,Month_8,iowanorthwestclimate,106.43,28.87,15.7
2023,Month_9,iowanorthwestclimate,41.66,26.44,12.0
2024,Month_1,iowanorthwestclimate,22.61,-4.48,-12.54
2024,Month_10,iowanorthwestclimate,19.3,21.95,4.46
2024,Month_11,iowanorthwestclimate,71.12,8.64,-2.59
2024,Month_12,iowanorthwestclimate,1.02,0.76,-12.57
2024,Month_2,iowanorthwestclimate,5.33,7.6,-5.58
2024,Month_3,iowanorthwestclimate,64.26,10.43,-5.09
2024,Month_4,iowanorthwestclimate,123.44,16.0,2.85
2024,Month_5,iowanorthwestclimate,185.93,22.96,9.7
2024,Month_6,iowanorthwestclimate,231.14,27.61,15.24
2024,Month_7,iowanorthwestclimate,73.91,28.28,16.47
2024,Month_8,iowanorthwestclimate,62.48,27.29,15.14
2024,Month_9,iowanorthwestclimate,11.94,27.74,11.34
