Year,Month,Stations,prec,tmax,tmin
2015,Month_1,jefferson,8.13,-0.63,-11.7
2015,Month_10,jefferson,43.18,18.07,4.92
2015,Month_11,jefferson,93.22,10.92,0.38
2015,Month_12,jefferson,153.43,3.35,-4.09
2015,Month_2,jefferson,28.97,-4.42,-15.81
2015,Month_3,jefferson,3.56,10.61,-4.57
2015,Month_4,jefferson,125.99,17.56,3.63
2015,Month_5,jefferson,164.08,20.85,9.63
2015,Month_6,jefferson,220.47,26.11,15.31
2015,Month_7,jefferson,102.11,27.29,16.58
2015,Month_8,jefferson,176.53,25.43,14.94
2015,Month_9,jefferson,137.41,25.96,13.57
2016,Month_1,jefferson,13.47,-3.78,-11.93
2016,Month_10,jefferson,26.42,19.19,6.02
2016,Month_11,jefferson,31.75,13.44,0.35
2016,Month_12,jefferson,38.61,-0.48,-10.09
2016,Month_2,jefferson,30.23,1.39,-6.94
2016,Month_3,jefferson,34.04,11.85,-0.73
2016,Month_4,jefferson,76.2,16.24,3.57
2016,Month_5,jefferson,136.91,21.25,8.8
2016,Month_6,jefferson,76.71,29.78,16.43
2016,Month_7,jefferson,157.23,28.05,17.17
2016,Month_8,jefferson,123.19,27.59,16.54
2016,Month_9,jefferson,136.66,25.56,13.33
2017,Month_1,jefferson,35.06,-1.04,-8.51
2017,Month_10,jefferson,158.24,17.51,5.72
2017,Month_11,jefferson,4.06,8.39,-3.98
2017,Month_12,jefferson,9.91,1.56,-9.89
2017,Month_2,jefferson,35.31,6.9,-5.4
2017,Month_3,jefferson,78.75,8.14,-2.69
2017,Month_4,jefferson,77.98,15.96,4.19
2017,Month_5,jefferson,150.63,20.99,8.33
2017,Month_6,jefferson,58.17,28.72,14.67
2017,Month_7,jefferson,64.01,30.52,17.95
2017,Month_8,jefferson,79.5,26.31,13.89
2017,Month_9,jefferson,58.93,26.32,12.49
2018,Month_1,jefferson,27.18,-3.28,-13.8
2018,Month_10,jefferson,129.03,14.39,2.51
2018,Month_11,jefferson,32.26,3.54,-6.39
2018,Month_12,jefferson,55.88,1.33,-7.31
2018,Month_2,jefferson,38.61,-1.85,-12.8
2018,Month_3,jefferson,70.36,6.45,-2.97
2018,Month_4,jefferson,65.53,10.17,-2.62
2018,Month_5,jefferson,110.74,25.7,12.89
2018,Month_6,jefferson,205.49,28.24,17.24
2018,Month_7,jefferson,56.64,28.75,16.75
2018,Month_8,jefferson,186.94,27.78,15.91
2018,Month_9,jefferson,176.53,24.44,13.04
2019,Month_1,jefferson,14.22,-2.3,-12.39
2019,Month_10,jefferson,174.75,14.25,2.54
2019,Month_11,jefferson,32.27,5.33,-5.31
2019,Month_12,jefferson,21.85,4.07,-6.93
2019,Month_2,jefferson,55.63,-5.3,-16.05
2019,Month_3,jefferson,56.13,3.85,-6.43
2019,Month_4,jefferson,36.58,16.09,2.59
2019,Month_5,jefferson,180.09,19.0,7.96
2019,Month_6,jefferson,118.62,26.78,14.91
2019,Month_7,jefferson,138.94,29.27,18.28
2019,Month_8,jefferson,85.34,25.54,15.43
2019,Month_9,jefferson,135.89,25.24,14.78
2020,Month_1,jefferson,34.05,-1.23,-10.46
2020,Month_10,jefferson,29.47,13.91,1.47
2020,Month_11,jefferson,54.61,12.66,-1.38
2020,Month_12,jefferson,25.15,2.63,-8.09
2020,Month_2,jefferson,17.79,1.97,-9.66
2020,Month_3,jefferson,69.1,10.26,-1.63
2020,Month_4,jefferson,22.11,15.46,0.7
2020,Month_5,jefferson,102.89,19.23,9.25
2020,Month_6,jefferson,75.19,28.24,17.36
2020,Month_7,jefferson,30.48,29.77,18.33
2020,Month_8,jefferson,51.83,28.72,15.61
2020,Month_9,jefferson,75.96,22.8,9.98
2021,Month_1,jefferson,28.96,-0.07,-8.41
2021,Month_10,jefferson,149.11,18.96,6.47
2021,Month_11,jefferson,22.1,10.39,-2.09
2021,Month_12,jefferson,9.91,5.83,-5.81
2021,Month_2,jefferson,23.88,-7.0,-15.48
2021,Month_3,jefferson,79.0,11.2,-0.43
2021,Month_4,jefferson,22.87,16.11,2.83
2021,Month_5,jefferson,104.66,20.38,9.34
2021,Month_6,jefferson,65.03,29.39,16.69
2021,Month_7,jefferson,120.4,28.65,16.85
2021,Month_8,jefferson,81.03,28.57,16.94
2021,Month_9,jefferson,36.84,26.49,11.88
2022,Month_1,jefferson,24.4,-2.76,-16.77
2022,Month_10,jefferson,16.26,18.49,2.24
2022,Month_11,jefferson,29.98,8.98,-3.76
2022,Month_12,jefferson,53.09,-1.67,-11.17
2022,Month_2,jefferson,4.83,0.81,-13.41
2022,Month_3,jefferson,76.21,8.73,-3.85
2022,Month_4,jefferson,97.54,12.93,-0.69
2022,Month_5,jefferson,152.66,21.95,10.05
2022,Month_6,jefferson,116.85,28.14,15.94
2022,Month_7,jefferson,77.22,29.05,17.89
2022,Month_8,jefferson,56.65,28.02,15.83
2022,Month_9,jefferson,27.44,25.0,11.24
2023,Month_1,jefferson,56.65,-0.45,-9.46
2023,Month_10,jefferson,37.85,18.14,5.47
2023,Month_11,jefferson,3.82,11.33,-3.56
2023,Month_12,jefferson,51.06,6.29,-3.69
2023,Month_2,jefferson,58.68,2.54,-10.02
2023,Month_3,jefferson,43.44,5.45,-4.86
2023,Month_4,jefferson,49.28,16.91,2.04
2023,Month_5,jefferson,96.78,23.71,10.29
2023,Month_6,jefferson,73.91,27.3,15.48
2023,Month_7,jefferson,132.08,27.09,16.35
2023,Month_8,jefferson,68.33,27.95,16.51
2023,Month_9,jefferson,70.62,26.25,12.28
2024,Month_1,jefferson,40.14,-3.66,-10.75
2024,Month_10,jefferson,39.88,23.22,5.43
2024,Month_11,jefferson,88.39,9.18,-0.82
2024,Month_12,jefferson,0.76,2.01,-11.04
2024,Month_2,jefferson,5.34,9.77,-4.81
2024,Month_3,jefferson,119.9,11.29,-3.35
2024,Month_4,jefferson,64.26,16.8,3.46
2024,Month_5,jefferson,188.47,22.35,9.5
2024,Month_6,jefferson,79.76,28.31,16.19
2024,Month_7,jefferson,85.6,27.52,16.48
2024,Month_8,jefferson,67.56,27.08,15.86
2024,Month_9,jefferson,18.54,27.43,10.87
