Year,Month,Stations,prec,tmax,tmin
2015,Month_1,keokuk,21.84,0.61,-8.24
2015,Month_10,keokuk,48.26,18.79,7.82
2015,Month_11,keokuk,159.51,13.15,2.72
2015,Month_12,keokuk,114.81,8.58,0.33
2015,Month_2,keokuk,48.77,-1.41,-12.58
2015,Month_3,keokuk,14.48,9.32,-2.65
2015,Month_4,keokuk,56.13,19.23,6.55
2015,Month_5,keokuk,131.57,23.28,12.46
2015,Month_6,keokuk,232.16,27.04,17.24
2015,Month_7,keokuk,180.09,28.46,18.89
2015,Month_8,keokuk,56.39,27.78,17.26
2015,Month_9,keokuk,36.83,28.09,16.19
2016,Month_1,keokuk,12.95,0.66,-8.55
2016,Month_10,keokuk,122.17,20.7,10.52
2016,Month_11,keokuk,32.51,14.6,4.0
2016,Month_12,keokuk,34.8,1.67,-6.2
2016,Month_2,keokuk,21.59,4.75,-4.84
2016,Month_3,keokuk,66.55,13.26,2.6
2016,Month_4,keokuk,101.35,17.39,6.3
2016,Month_5,keokuk,88.39,22.24,11.36
2016,Month_6,keokuk,34.8,30.44,18.33
2016,Month_7,keokuk,143.0,28.89,19.43
2016,Month_8,keokuk,126.49,28.85,19.83
2016,Month_9,keokuk,54.1,27.14,15.79
2017,Month_1,keokuk,37.08,2.57,-5.06
2017,Month_10,keokuk,117.6,18.93,9.08
2017,Month_11,keokuk,27.69,9.94,-0.08
2017,Month_12,keokuk,18.8,3.87,-5.88
2017,Month_2,keokuk,8.38,10.44,-1.69
2017,Month_3,keokuk,85.34,10.86,0.63
2017,Month_4,keokuk,128.27,18.56,7.48
2017,Month_5,keokuk,80.52,22.02,10.56
2017,Month_6,keokuk,51.56,28.89,16.8
2017,Month_7,keokuk,47.75,31.04,19.35
2017,Month_8,keokuk,107.95,26.98,16.19
2017,Month_9,keokuk,3.56,26.76,13.93
2018,Month_1,keokuk,33.02,0.39,-9.78
2018,Month_10,keokuk,181.86,16.85,6.5
2018,Month_11,keokuk,93.73,5.3,-2.35
2018,Month_12,keokuk,36.07,4.9,-3.47
2018,Month_2,keokuk,107.7,3.45,-7.08
2018,Month_3,keokuk,99.82,8.35,-0.54
2018,Month_4,keokuk,26.42,12.59,0.72
2018,Month_5,keokuk,46.23,27.96,16.02
2018,Month_6,keokuk,132.59,29.6,19.43
2018,Month_7,keokuk,76.71,29.48,19.56
2018,Month_8,keokuk,175.51,29.75,19.91
2018,Month_9,keokuk,156.21,26.19,16.19
2019,Month_1,keokuk,85.09,0.39,-8.41
2019,Month_10,keokuk,92.2,16.4,6.22
2019,Month_11,keokuk,37.34,7.44,-2.48
2019,Month_12,keokuk,45.47,7.2,-2.92
2019,Month_2,keokuk,41.4,0.71,-8.67
2019,Month_3,keokuk,134.62,7.37,-2.57
2019,Month_4,keokuk,50.04,17.64,5.48
2019,Month_5,keokuk,334.52,21.02,11.34
2019,Month_6,keokuk,203.2,26.8,17.03
2019,Month_7,keokuk,61.98,31.13,20.98
2019,Month_8,keokuk,133.6,28.07,18.33
2019,Month_9,keokuk,177.29,27.22,17.26
2020,Month_1,keokuk,57.66,2.06,-5.59
2020,Month_10,keokuk,40.64,16.16,5.32
2020,Month_11,keokuk,67.06,14.0,2.85
2020,Month_12,keokuk,52.07,4.46,-4.83
2020,Month_2,keokuk,22.1,3.39,-5.86
2020,Month_3,keokuk,96.01,10.97,1.79
2020,Month_4,keokuk,92.71,16.13,3.26
2020,Month_5,keokuk,85.09,20.59,10.73
