Year,Month,Stations,prec,tmax,tmin
2015,Month_1,keosauqua,3.82,0.68,-11.59
2015,Month_10,keosauqua,54.1,19.39,6.31
2015,Month_11,keosauqua,113.04,14.37,1.31
2015,Month_12,keosauqua,69.86,7.94,-1.4
2015,Month_2,keosauqua,63.51,-2.5,-14.15
2015,Month_3,keosauqua,15.25,10.11,-5.13
2015,Month_4,keosauqua,63.25,19.5,4.81
2015,Month_5,keosauqua,139.46,22.22,11.26
2015,Month_6,keosauqua,168.41,26.94,17.06
2015,Month_7,keosauqua,246.13,28.78,18.15
2015,Month_8,keosauqua,28.97,27.74,15.85
2015,Month_9,keosauqua,98.05,27.95,14.43
2016,Month_1,keosauqua,11.44,0.81,-8.87
2016,Month_10,keosauqua,29.97,21.13,8.13
2016,Month_11,keosauqua,45.47,15.31,2.5
2016,Month_12,keosauqua,24.9,1.24,-7.4
2016,Month_2,keosauqua,41.91,4.66,-4.67
2016,Month_3,keosauqua,65.8,13.6,1.34
2016,Month_4,keosauqua,29.72,18.35,5.0
2016,Month_5,keosauqua,116.34,21.7,9.59
2016,Month_6,keosauqua,22.87,30.45,16.65
2016,Month_7,keosauqua,176.28,28.57,19.19
2016,Month_8,keosauqua,167.64,29.0,15.61
2016,Month_9,keosauqua,76.2,27.76,12.76
2017,Month_1,keosauqua,39.38,1.85,-6.4
2017,Month_10,keosauqua,148.6,18.92,7.15
2017,Month_11,keosauqua,26.16,9.96,-2.13
2017,Month_12,keosauqua,7.37,2.46,-8.85
2017,Month_2,keosauqua,11.43,10.4,-3.19
2017,Month_3,keosauqua,73.67,10.97,-0.65
2017,Month_4,keosauqua,161.29,17.95,6.25
2017,Month_5,keosauqua,95.51,21.89,9.74
2017,Month_6,keosauqua,34.81,29.19,15.41
2017,Month_7,keosauqua,30.74,32.43,18.28
2017,Month_8,keosauqua,65.54,28.35,14.54
2017,Month_9,keosauqua,44.97,28.2,11.74
2018,Month_1,keosauqua,8.39,-0.48,-12.03
2018,Month_10,keosauqua,131.58,16.49,4.68
2018,Month_11,keosauqua,58.68,4.77,-4.33
2018,Month_12,keosauqua,38.62,3.83,-5.4
2018,Month_2,keosauqua,65.04,2.34,-9.03
2018,Month_3,keosauqua,102.37,8.06,-2.81
2018,Month_4,keosauqua,7.11,11.99,-1.7
2018,Month_5,keosauqua,92.46,27.72,14.03
2018,Month_6,keosauqua,104.15,29.44,18.35
2018,Month_7,keosauqua,102.36,30.04,17.03
2018,Month_8,keosauqua,152.41,29.94,17.37
2018,Month_9,keosauqua,149.86,25.7,13.56
2019,Month_1,keosauqua,73.67,-0.32,-10.7
2019,Month_10,keosauqua,44.46,15.56,3.57
2019,Month_11,keosauqua,39.12,7.07,-3.54
2019,Month_12,keosauqua,50.81,6.43,-4.39
2019,Month_2,keosauqua,61.98,-0.39,-11.01
2019,Month_3,keosauqua,90.69,7.17,-4.39
2019,Month_4,keosauqua,69.61,17.57,3.89
2019,Month_5,keosauqua,332.24,20.56,9.35
2019,Month_6,keosauqua,133.35,26.76,15.65
2019,Month_7,keosauqua,39.88,30.83,19.46
2019,Month_8,keosauqua,85.35,28.18,16.02
2019,Month_9,keosauqua,227.33,26.9,15.21
2020,Month_1,keosauqua,40.91,1.15,-7.35
2020,Month_10,keosauqua,29.22,15.38,3.62
2020,Month_11,keosauqua,90.68,13.87,0.57
2020,Month_12,keosauqua,68.33,4.0,-6.65
2020,Month_2,keosauqua,13.98,3.45,-7.38
2020,Month_3,keosauqua,99.06,11.02,0.67
2020,Month_4,keosauqua,42.93,15.52,2.15
2020,Month_5,keosauqua,147.07,20.81,10.54
2020,Month_6,keosauqua,173.74,28.16,16.62
2020,Month_7,keosauqua,96.77,30.09,19.81
2020,Month_8,keosauqua,8.13,29.14,16.51
2020,Month_9,keosauqua,127.0,23.33,11.57
2021,Month_1,keosauqua,49.02,0.46,-7.81
2021,Month_10,keosauqua,102.12,19.64,9.03
2021,Month_11,keosauqua,11.68,10.93,-1.11
2021,Month_12,keosauqua,22.35,8.81,-3.33
2021,Month_2,keosauqua,18.04,-4.76,-13.81
2021,Month_3,keosauqua,68.07,13.35,1.56
2021,Month_4,keosauqua,90.93,15.84,4.25
2021,Month_5,keosauqua,153.93,20.67,10.37
2021,Month_6,keosauqua,227.08,28.52,17.35
2021,Month_7,keosauqua,226.31,28.68,18.85
2021,Month_8,keosauqua,108.46,29.21,18.26
2021,Month_9,keosauqua,68.07,27.35,13.39
2022,Month_1,keosauqua,29.97,-2.94,-14.89
2022,Month_10,keosauqua,38.36,18.5,3.06
2022,Month_11,keosauqua,58.42,10.76,-2.13
2022,Month_12,keosauqua,28.45,1.67,-8.3
2022,Month_2,keosauqua,14.48,2.7,-10.76
2022,Month_3,keosauqua,96.01,10.54,-1.81
2022,Month_4,keosauqua,86.87,14.04,2.41
2022,Month_5,keosauqua,62.23,23.32,11.95
2022,Month_6,keosauqua,88.9,28.78,16.93
2022,Month_7,keosauqua,49.78,29.57,18.19
2022,Month_8,keosauqua,22.86,30.15,17.54
2022,Month_9,keosauqua,124.97,26.43,12.74
2023,Month_1,keosauqua,65.79,2.51,-5.93
2023,Month_10,keosauqua,59.18,19.66,7.15
2023,Month_11,keosauqua,11.94,11.34,-2.32
2023,Month_12,keosauqua,77.22,7.83,-0.77
2023,Month_2,keosauqua,99.57,6.29,-7.04
2023,Month_3,keosauqua,101.09,8.19,-2.26
2023,Month_4,keosauqua,31.5,18.47,3.72
2023,Month_5,keosauqua,44.96,24.41,10.43
2023,Month_6,keosauqua,42.42,29.35,15.61
2023,Month_7,keosauqua,113.28,29.7,18.3
2023,Month_8,keosauqua,111.51,29.2,17.93
2023,Month_9,keosauqua,30.48,27.16,13.17
2024,Month_1,keosauqua,82.8,-2.03,-8.87
2024,Month_10,keosauqua,58.93,22.63,5.46
2024,Month_11,keosauqua,47.25,11.22,1.41
2024,Month_12,keosauqua,0.51,1.46,-9.79
2024,Month_2,keosauqua,1.78,11.77,-3.41
2024,Month_3,keosauqua,66.55,13.06,-0.02
2024,Month_4,keosauqua,180.85,17.56,5.13
2024,Month_5,keosauqua,74.93,24.44,11.76
