prec,2015,21.59,34.29,8.64,42.93,89.92,86.11,154.18,307.09,72.14,39.62,105.16,84.08
tmin,2015,-12.13,-15.08,-4.67,3.31,8.98,15.26,16.54,14.57,13.22,5.19,-1.78,-5.98
tmax,2015,-1.44,-2.61,11.96,18.26,21.58,27.35,28.26,26.25,26.03,19.11,9.54,2.07
prec,2016,14.73,34.04,64.77,127.76,189.99,81.03,51.82,77.22,102.87,55.37,43.69,129.79
tmin,2016,-12.76,-7.28,-1.79,2.41,8.81,16.22,16.15,15.46,11.94,4.67,-0.07,-12.13
tmax,2016,-3.74,1.46,11.56,15.79,22.37,29.57,28.93,28.03,25.24,18.48,12.89,-1.43
prec,2017,39.62,18.54,35.06,52.83,119.13,36.07,38.1,152.91,72.39,137.41,0,10.16
tmin,2017,-10.43,-5.84,-3.87,3.01,7.42,14.21,17.15,13.54,11.39,3.66,-5.04,-10.22
tmax,2017,-1.44,5.86,8.17,15.82,21.27,29.48,30.84,25.46,25.37,17.42,8.3,0.54
prec,2018,26.69,20.07,60.46,32.01,95,200.41,85.6,110.74,149.1,87.63,38.61,46.75
tmin,2018,-14.71,-15.2,-3.41,-3.59,11.97,17.46,16.55,15.02,12.67,1.88,-7.28,-8.3
tmax,2018,-3.58,-4.35,6.19,9.22,25.25,28.83,28.98,27.09,24.61,14.01,4,0.3
prec,2019,2.29,36.83,59.18,113.03,181.36,61.72,108.97,94.24,102.37,122.68,68.58,52.08
tmin,2019,-12.94,-17.38,-6.44,1.26,7.04,14.67,17.47,14.39,13.33,0.77,-6.91,-9.04
tmax,2019,-2.22,-6.05,4.61,15.06,19.1,28.06,28.8,26.65,25.57,13.41,5.41,0.43
prec,2020,25.66,4.32,71.13,22.1,72.14,54.61,53.34,50.29,26.67,37.85,39.12,17.78
tmin,2020,-11.47,-10.28,-2.57,-0.09,8.89,17.39,17.56,15.91,9.91,-0.14,-2.19,-8.76
tmax,2020,-2.13,1.51,8.91,14.76,19.54,30.67,30.7,29.59,24.3,13.57,11.2,3.15
prec,2021,28.71,8.39,71.12,46.23,77.47,50.8,72.64,109.73,31.75,98.81,3.56,15.5
tmin,2021,-7.61,-15.95,-1.24,1.83,8.82,15.93,17.09,16.09,11.61,5.9,-3,-7.69
tmax,2021,-0.07,-6.67,11.44,15.72,21.18,31.3,29.46,29.65,26.78,18.96,9.77,4.41
prec,2022,3.82,3.81,37.08,56.64,64.52,68.83,96.27,49.53,19.56,11.43,47.76,47.25
tmin,2022,-16.72,-14.01,-4.86,-1.41,9.18,15.76,17.48,15.28,10.61,2.39,-4.89,-12.69
tmax,2022,-1.19,1.47,8.85,14.04,22.44,29.85,30.65,29.54,27.48,19.22,8.2,-4.27
prec,2023,36.83,33.54,51.58,58.18,100.34,39.9,79.25,123.45,46.49,137.93,2.8,42.43
tmin,2023,-10.81,-11.32,-6.25,1.78,11.49,16.39,15.61,16.78,13.14,4.52,-3.3,-4.09
tmax,2023,-3,-1.11,3.89,16.26,24.64,29.17,27.94,28.98,26.76,17.54,10.63,4.83
prec,2024,36.83,6.86,61.47,156.46,167.64,141.99,104.14,64.77,0.77,15.75,64.01,0.76
tmin,2024,-12.63,-4.52,-4.33,3.02,10.11,15.87,16.81,16.17,11.81,4.84,-2.66,-10.56
tmax,2024,-4.96,7.64,10.02,16.28,22.91,27.65,28.19,26.98,27.46,21.81,8.29,0.35
