Year,Month,Stations,prec,tmax,tmin
2015,Month_1,lemars,21.59,-1.44,-12.13
2015,Month_10,lemars,39.62,19.11,5.19
2015,Month_11,lemars,105.16,9.54,-1.78
2015,Month_12,lemars,84.08,2.07,-5.98
2015,Month_2,lemars,34.29,-2.61,-15.08
2015,Month_3,lemars,8.64,11.96,-4.67
2015,Month_4,lemars,42.93,18.26,3.31
2015,Month_5,lemars,89.92,21.58,8.98
2015,Month_6,lemars,86.11,27.35,15.26
2015,Month_7,lemars,154.18,28.26,16.54
2015,Month_8,lemars,307.09,26.25,14.57
2015,Month_9,lemars,72.14,26.03,13.22
2016,Month_1,lemars,14.73,-3.74,-12.76
2016,Month_10,lemars,55.37,18.48,4.67
2016,Month_11,lemars,43.69,12.89,-0.07
2016,Month_12,lemars,129.79,-1.43,-12.13
2016,Month_2,lemars,34.04,1.46,-7.28
2016,Month_3,lemars,64.77,11.56,-1.79
2016,Month_4,lemars,127.76,15.79,2.41
2016,Month_5,lemars,189.99,22.37,8.81
2016,Month_6,lemars,81.03,29.57,16.22
2016,Month_7,lemars,51.82,28.93,16.15
2016,Month_8,lemars,77.22,28.03,15.46
2016,Month_9,lemars,102.87,25.24,11.94
2017,Month_1,lemars,39.62,-1.44,-10.43
2017,Month_10,lemars,137.41,17.42,3.66
2017,Month_11,lemars,0.0,8.3,-5.04
2017,Month_12,lemars,10.16,0.54,-10.22
2017,Month_2,lemars,18.54,5.86,-5.84
2017,Month_3,lemars,35.06,8.17,-3.87
2017,Month_4,lemars,52.83,15.82,3.01
2017,Month_5,lemars,119.13,21.27,7.42
2017,Month_6,lemars,36.07,29.48,14.21
2017,Month_7,lemars,38.1,30.84,17.15
2017,Month_8,lemars,152.91,25.46,13.54
2017,Month_9,lemars,72.39,25.37,11.39
2018,Month_1,lemars,26.69,-3.58,-14.71
2018,Month_10,lemars,87.63,14.01,1.88
2018,Month_11,lemars,38.61,4.0,-7.28
2018,Month_12,lemars,46.75,0.3,-8.3
2018,Month_2,lemars,20.07,-4.35,-15.2
2018,Month_3,lemars,60.46,6.19,-3.41
2018,Month_4,lemars,32.01,9.22,-3.59
2018,Month_5,lemars,95.0,25.25,11.97
2018,Month_6,lemars,200.41,28.83,17.46
2018,Month_7,lemars,85.6,28.98,16.55
2018,Month_8,lemars,110.74,27.09,15.02
2018,Month_9,lemars,149.1,24.61,12.67
2019,Month_1,lemars,2.29,-2.22,-12.94
2019,Month_10,lemars,122.68,13.41,0.77
2019,Month_11,lemars,68.58,5.41,-6.91
2019,Month_12,lemars,52.08,0.43,-9.04
2019,Month_2,lemars,36.83,-6.05,-17.38
2019,Month_3,lemars,59.18,4.61,-6.44
2019,Month_4,lemars,113.03,15.06,1.26
2019,Month_5,lemars,181.36,19.1,7.04
2019,Month_6,lemars,61.72,28.06,14.67
2019,Month_7,lemars,108.97,28.8,17.47
2019,Month_8,lemars,94.24,26.65,14.39
2019,Month_9,lemars,102.37,25.57,13.33
