prec,2015,8.39,34.31,3.82,103.39,148.34,120.91,180.6,156.22,233.94,46.23,88.14,148.09
tmin,2015,-12.2,-15.67,-6,2.81,8.96,14.57,16.31,14.64,13.39,5.04,-1.15,-5.39
tmax,2015,1.18,-2.3,13.06,17.96,21.67,27.85,29.3,27.63,26.8,19.34,11.46,3.15
prec,2016,21.85,38.87,58.94,148.34,142.76,49.03,159.51,141.23,259.08,50.55,50.29,48.01
tmin,2016,-11.99,-6.78,-1.47,3.3,7.49,15.86,16.9,15.78,12.84,4.76,-0.61,-11.09
tmax,2016,-2.57,3.14,13.85,17.72,22.1,31.8,29.69,28.46,25.96,19.67,13.7,0.3
prec,2017,34.04,31.5,60.21,98.81,197.62,97.79,179.83,210.83,140.46,121.17,6.87,13.73
tmin,2017,-8.49,-5.95,-2.28,3.19,7.78,14.21,18.23,13.54,11.17,4.62,-5.23,-10.59
tmax,2017,-0.23,7.1,10.41,16.63,22.46,30.36,31.63,26.51,25.95,18.05,9.52,2.56
prec,2018,35.06,32.77,70.87,23.89,223.01,221.49,144.79,159.77,177.8,94.49,39.38,74.68
tmin,2018,-14.29,-15.4,-2.85,-4.81,12.38,17.28,16.37,14.83,12.44,2.04,-7.35,-8.8
tmax,2018,-3.41,-2.86,7.22,10.72,25.58,29.56,29.05,27.74,24.66,14.19,4.46,0.5
prec,2019,7.63,56.91,123.45,43.96,261.88,89.16,66.29,90.44,320.8,106.18,49.03,54.63
tmin,2019,-11.08,-17.26,-7.74,1.48,7.33,14.59,18.14,15.16,14.46,1.07,-6.04,-7.67
tmax,2019,-1.83,-5.97,4.04,16.83,19.28,28,30.59,27.85,26.67,14.48,6.94,2.69
prec,2020,32.27,9.4,86.36,40.39,102.62,114.05,81.79,43.94,76.71,58.68,60.97,25.15
tmin,2020,-10.02,-9.77,-1.96,-1.13,8.59,16.72,16.78,14.39,8.14,0.06,-2.83,-9.98
tmax,2020,-0.98,2.59,10.15,16.44,19.8,31.04,30.67,30.36,25.13,15.17,14.04,3.66
prec,2021,49.79,44.98,133.1,56.9,191.27,138.95,161.8,108.46,70.62,95.76,11.68,24.64
tmin,2021,-8.04,-17.26,-0.52,1.72,8.78,16.01,16.94,15.48,10.8,5.02,-2.7,-5.81
tmax,2021,0.78,-6.89,13.41,17.13,21.61,31.43,30.11,30.36,27.57,19.89,12.13,7.56
prec,2022,9.66,6.86,36.83,62.75,161.3,60.45,84.33,95,92.46,5.09,22.37,55.38
tmin,2022,-15.52,-13.08,-5.09,-1.5,9.91,15.44,16.13,14.87,9.86,0.23,-6.63,-12.54
tmax,2022,-0.23,4.53,10.93,16.02,22.67,29.7,30.93,30.73,28.06,20.99,10.11,-0.9
prec,2023,61.99,36.58,58.17,61.22,111.25,117.61,164.85,243.59,76.46,116.34,7.37,57.92
tmin,2023,-9.48,-9.51,-5.77,0.44,9.55,14.74,15.5,15.5,11.75,4.61,-4.58,-5.31
tmax,2023,-0.24,2.55,6.9,18.46,25.61,29.76,29.01,29.78,28.31,19.61,11.61,6.67
prec,2024,36.84,5.34,42.67,170.18,294.39,147.83,84.34,38.1,2.8,29.97,105.16,1.27
tmin,2024,-12.35,-5.73,-4.67,2.33,9.25,16.19,15.94,15.71,10.52,4.86,-1.89,-11.25
tmax,2024,-4.28,10.1,11.91,19.17,24.01,29.58,29.37,29,29.17,24.07,10.33,2.57
