Year,Month,Stations,prec,tmax,tmin
2015,Month_1,little sioux 2nw,8.39,1.18,-12.2
2015,Month_10,little sioux 2nw,46.23,19.34,5.04
2015,Month_11,little sioux 2nw,88.14,11.46,-1.15
2015,Month_12,little sioux 2nw,148.09,3.15,-5.39
2015,Month_2,little sioux 2nw,34.31,-2.3,-15.67
2015,Month_3,little sioux 2nw,3.82,13.06,-6.0
2015,Month_4,little sioux 2nw,103.39,17.96,2.81
2015,Month_5,little sioux 2nw,148.34,21.67,8.96
2015,Month_6,little sioux 2nw,120.91,27.85,14.57
2015,Month_7,little sioux 2nw,180.6,29.3,16.31
2015,Month_8,little sioux 2nw,156.22,27.63,14.64
2015,Month_9,little sioux 2nw,233.94,26.8,13.39
2016,Month_1,little sioux 2nw,21.85,-2.57,-11.99
2016,Month_10,little sioux 2nw,50.55,19.67,4.76
2016,Month_11,little sioux 2nw,50.29,13.7,-0.61
2016,Month_12,little sioux 2nw,48.01,0.3,-11.09
2016,Month_2,little sioux 2nw,38.87,3.14,-6.78
2016,Month_3,little sioux 2nw,58.94,13.85,-1.47
2016,Month_4,little sioux 2nw,148.34,17.72,3.3
2016,Month_5,little sioux 2nw,142.76,22.1,7.49
2016,Month_6,little sioux 2nw,49.03,31.8,15.86
2016,Month_7,little sioux 2nw,159.51,29.69,16.9
2016,Month_8,little sioux 2nw,141.23,28.46,15.78
2016,Month_9,little sioux 2nw,259.08,25.96,12.84
2017,Month_1,little sioux 2nw,34.04,-0.23,-8.49
2017,Month_10,little sioux 2nw,121.17,18.05,4.62
2017,Month_11,little sioux 2nw,6.87,9.52,-5.23
2017,Month_12,little sioux 2nw,13.73,2.56,-10.59
2017,Month_2,little sioux 2nw,31.5,7.1,-5.95
2017,Month_3,little sioux 2nw,60.21,10.41,-2.28
2017,Month_4,little sioux 2nw,98.81,16.63,3.19
2017,Month_5,little sioux 2nw,197.62,22.46,7.78
2017,Month_6,little sioux 2nw,97.79,30.36,14.21
2017,Month_7,little sioux 2nw,179.83,31.63,18.23
2017,Month_8,little sioux 2nw,210.83,26.51,13.54
2017,Month_9,little sioux 2nw,140.46,25.95,11.17
2018,Month_1,little sioux 2nw,35.06,-3.41,-14.29
2018,Month_10,little sioux 2nw,94.49,14.19,2.04
2018,Month_11,little sioux 2nw,39.38,4.46,-7.35
2018,Month_12,little sioux 2nw,74.68,0.5,-8.8
2018,Month_2,little sioux 2nw,32.77,-2.86,-15.4
2018,Month_3,little sioux 2nw,70.87,7.22,-2.85
2018,Month_4,little sioux 2nw,23.89,10.72,-4.81
2018,Month_5,little sioux 2nw,223.01,25.58,12.38
2018,Month_6,little sioux 2nw,221.49,29.56,17.28
2018,Month_7,little sioux 2nw,144.79,29.05,16.37
2018,Month_8,little sioux 2nw,159.77,27.74,14.83
2018,Month_9,little sioux 2nw,177.8,24.66,12.44
2019,Month_1,little sioux 2nw,7.63,-1.83,-11.08
2019,Month_10,little sioux 2nw,106.18,14.48,1.07
