Year,Month,Stations,prec,tmax,tmin
2015,Month_1,lowden,32.27,-1.16,-11.33
2015,Month_10,lowden,78.24,18.48,5.65
2015,Month_11,lowden,140.72,11.59,0.28
2015,Month_12,lowden,106.18,6.26,-1.13
2015,Month_2,lowden,30.0,-5.3,-17.6
2015,Month_3,lowden,20.32,8.98,-5.25
2015,Month_4,lowden,60.96,18.3,2.07
2015,Month_5,lowden,173.74,22.56,10.38
2015,Month_6,lowden,245.87,26.79,15.19
2015,Month_7,lowden,50.05,28.22,16.11
2015,Month_8,lowden,90.18,27.39,14.28
2015,Month_9,lowden,90.17,27.28,13.41
2016,Month_1,lowden,12.46,-1.44,-9.96
2016,Month_10,lowden,70.87,20.48,7.63
2016,Month_11,lowden,36.58,13.51,1.33
2016,Month_12,lowden,41.41,-0.46,-8.41
2016,Month_2,lowden,13.98,3.24,-5.34
2016,Month_3,lowden,59.44,11.86,0.47
2016,Month_4,lowden,80.27,15.65,3.17
2016,Month_5,lowden,86.62,22.94,9.31
2016,Month_6,lowden,117.6,29.28,16.0
2016,Month_7,lowden,226.58,28.65,17.85
2016,Month_8,lowden,251.72,28.91,17.5
2016,Month_9,lowden,130.3,26.56,14.3
2017,Month_1,lowden,40.41,0.47,-6.92
2017,Month_10,lowden,96.03,18.52,6.57
2017,Month_11,lowden,18.04,8.98,-3.3
2017,Month_12,lowden,21.1,1.18,-9.44
2017,Month_2,lowden,28.7,8.97,-4.36
2017,Month_3,lowden,89.16,8.8,-2.08
2017,Month_4,lowden,143.51,17.69,5.07
2017,Month_5,lowden,96.53,21.56,8.75
2017,Month_6,lowden,81.54,29.13,15.07
2017,Month_7,lowden,133.61,29.74,16.43
2017,Month_8,lowden,45.98,26.48,12.62
2017,Month_9,lowden,57.16,27.11,10.19
2018,Month_1,lowden,11.19,-0.66,-11.76
2018,Month_10,lowden,215.14,16.11,3.48
2018,Month_11,lowden,69.09,3.52,-4.44
2018,Month_12,lowden,66.05,3.5,-5.56
2018,Month_2,lowden,91.45,1.65,-10.75
2018,Month_3,lowden,88.14,7.13,-4.06
2018,Month_4,lowden,32.52,10.94,-2.09
2018,Month_5,lowden,99.58,27.26,13.73
2018,Month_6,lowden,130.82,29.07,17.0
2018,Month_7,lowden,40.64,29.52,15.65
2018,Month_8,lowden,136.92,29.24,16.33
2018,Month_9,lowden,230.12,25.77,12.51
2019,Month_1,lowden,71.64,-3.48,-13.24
2019,Month_10,lowden,71.89,15.09,2.28
2019,Month_11,lowden,50.04,5.35,-5.06
2019,Month_12,lowden,34.05,5.13,-5.93
2019,Month_2,lowden,99.58,-1.77,-12.44
2019,Month_3,lowden,56.66,6.11,-4.8
2019,Month_4,lowden,148.6,16.13,3.46
2019,Month_5,lowden,177.05,20.79,8.82
2019,Month_6,lowden,116.59,27.13,15.28
2019,Month_7,lowden,76.21,31.45,18.76
2019,Month_8,lowden,100.08,27.88,14.9
2019,Month_9,lowden,166.62,26.28,14.65
2020,Month_1,lowden,58.19,0.23,-7.28
2020,Month_10,lowden,63.0,15.41,2.01
2020,Month_11,lowden,56.64,13.1,-0.04
2020,Month_12,lowden,69.1,2.89,-7.24
2020,Month_2,lowden,13.98,1.95,-7.72
2020,Month_3,lowden,116.34,10.36,0.04
2020,Month_4,lowden,75.96,15.7,1.78
2020,Month_5,lowden,111.78,20.52,8.76
2020,Month_6,lowden,114.56,29.24,16.2
2020,Month_7,lowden,185.43,31.0,17.9
2020,Month_8,lowden,36.59,29.85,15.15
2020,Month_9,lowden,200.66,23.45,9.92
2021,Month_1,lowden,57.41,-0.63,-8.98
2021,Month_10,lowden,112.27,19.55,7.99
2021,Month_11,lowden,19.82,10.07,-2.81
2021,Month_12,lowden,52.34,6.13,-5.07
2021,Month_2,lowden,31.51,-5.38,-16.75
2021,Month_3,lowden,59.7,10.5,-0.56
2021,Month_4,lowden,90.43,16.93,3.78
2021,Month_5,lowden,106.69,21.13,9.77
2021,Month_6,lowden,103.13,30.46,17.03
2021,Month_7,lowden,77.48,28.96,17.58
2021,Month_8,lowden,39.38,30.65,15.8
2021,Month_9,lowden,29.98,28.31,11.35
2022,Month_1,lowden,26.17,-3.66,-15.84
2022,Month_10,lowden,21.85,18.51,1.33
2022,Month_11,lowden,80.02,10.3,-2.72
2022,Month_12,lowden,58.69,0.72,-8.92
2022,Month_2,lowden,19.57,0.87,-11.47
2022,Month_3,lowden,72.66,8.8,-2.6
2022,Month_4,lowden,98.56,13.33,1.07
2022,Month_5,lowden,85.86,23.63,11.13
2022,Month_6,lowden,170.18,28.91,15.1
2022,Month_7,lowden,78.75,29.35,16.63
2022,Month_8,lowden,113.54,28.21,15.84
2022,Month_9,lowden,45.73,24.81,10.84
2023,Month_1,lowden,53.35,0.5,-7.04
2023,Month_10,lowden,113.8,18.23,5.79
2023,Month_11,lowden,18.04,10.94,-2.56
2023,Month_12,lowden,61.99,6.0,-2.2
2023,Month_2,lowden,95.26,4.28,-7.51
2023,Month_3,lowden,76.97,7.89,-2.37
2023,Month_4,lowden,36.07,17.63,1.59
2023,Month_5,lowden,50.55,25.84,9.43
2023,Month_6,lowden,87.89,29.62,13.52
2023,Month_7,lowden,58.93,30.13,15.7
2023,Month_8,lowden,42.17,29.78,15.31
2023,Month_9,lowden,29.98,27.28,12.03
2024,Month_1,lowden,91.2,-2.31,-8.8
2024,Month_10,lowden,49.54,22.51,4.08
2024,Month_11,lowden,87.13,10.39,0.69
2024,Month_12,lowden,0.76,3.33,-10.21
2024,Month_2,lowden,6.1,10.4,-4.23
2024,Month_3,lowden,89.17,12.4,-0.2
2024,Month_4,lowden,153.68,17.43,4.67
2024,Month_5,lowden,125.23,25.31,11.37
2024,Month_6,lowden,186.7,29.04,16.8
2024,Month_7,lowden,264.68,28.71,16.9
2024,Month_8,lowden,113.04,28.8,15.99
2024,Month_9,lowden,1.79,28.01,10.92
