Year,Month,Stations,prec,tmax,tmin
2015,Month_1,manchester2,17.02,-2.85,-12.97
2015,Month_10,manchester2,63.25,17.13,3.91
2015,Month_11,manchester2,105.41,9.94,-0.81
2015,Month_12,manchester2,127.03,4.91,-2.35
2015,Month_2,manchester2,36.34,-6.61,-18.33
2015,Month_3,manchester2,22.62,6.88,-7.1
2015,Month_4,manchester2,57.66,16.55,1.88
2015,Month_5,manchester2,133.86,20.54,9.86
2015,Month_6,manchester2,181.11,25.19,13.98
2015,Month_7,manchester2,59.95,26.81,15.54
2015,Month_8,manchester2,77.73,25.41,13.37
2015,Month_9,manchester2,94.24,26.05,12.61
2016,Month_1,manchester2,16.27,-4.18,-12.63
2016,Month_10,manchester2,51.33,18.22,5.81
2016,Month_11,manchester2,54.11,12.66,-0.48
2016,Month_12,manchester2,53.35,-2.71,-9.68
2016,Month_2,manchester2,21.35,0.71,-7.62
2016,Month_3,manchester2,94.25,9.59,-1.81
2016,Month_4,manchester2,45.98,14.43,2.61
2016,Month_5,manchester2,87.89,20.86,7.96
2016,Month_6,manchester2,170.44,27.22,14.57
2016,Month_7,manchester2,120.91,26.74,16.7
2016,Month_8,manchester2,74.68,27.22,15.79
2016,Month_9,manchester2,242.83,24.37,12.3
2017,Month_1,manchester2,55.39,-1.38,-8.75
2017,Month_10,manchester2,169.68,16.95,5.29
2017,Month_11,manchester2,19.57,6.59,-4.41
2017,Month_12,manchester2,11.19,-0.41,-11.22
2017,Month_2,manchester2,22.36,6.17,-6.11
2017,Month_3,manchester2,68.09,6.56,-3.64
2017,Month_4,manchester2,87.89,15.46,3.72
2017,Month_5,manchester2,88.66,19.34,7.4
2017,Month_6,manchester2,165.36,27.39,13.74
2017,Month_7,manchester2,118.37,27.57,16.26
2017,Month_8,manchester2,27.69,24.92,12.57
2017,Month_9,manchester2,16.52,25.87,10.06
2018,Month_1,manchester2,27.19,-3.22,-14.39
2018,Month_10,manchester2,184.67,13.92,2.83
2018,Month_11,manchester2,52.85,2.09,-6.07
2018,Month_12,manchester2,39.89,1.72,-6.74
2018,Month_2,manchester2,58.17,-2.08,-13.27
2018,Month_3,manchester2,56.65,5.63,-5.63
2018,Month_4,manchester2,40.14,8.67,-4.28
2018,Month_5,manchester2,143.01,24.78,11.92
2018,Month_6,manchester2,193.81,26.81,16.13
2018,Month_7,manchester2,56.64,27.85,15.75
2018,Month_8,manchester2,217.43,26.63,15.38
2018,Month_9,manchester2,270.26,23.74,11.39
2019,Month_1,manchester2,65.29,-4.53,-14.3
2019,Month_10,manchester2,194.57,13.37,1.99
2019,Month_11,manchester2,51.07,3.02,-6.15
2019,Month_12,manchester2,47.51,3.48,-6.77
2019,Month_2,manchester2,78.24,-3.85,-15.46
2019,Month_3,manchester2,38.1,3.39,-7.29
