Year,Month,Stations,prec,tmax,tmin
2015,Month_1,mapleton no. 2,8.14,-0.37,-11.63
2015,Month_10,mapleton no. 2,28.96,18.43,4.61
2015,Month_11,mapleton no. 2,104.39,10.5,-0.74
2015,Month_12,mapleton no. 2,111.51,2.74,-5.11
2015,Month_2,mapleton no. 2,24.4,-3.1,-15.26
2015,Month_3,mapleton no. 2,7.63,11.76,-5.41
2015,Month_4,mapleton no. 2,126.49,16.65,2.61
2015,Month_5,mapleton no. 2,143.0,20.23,8.49
2015,Month_6,mapleton no. 2,104.9,26.56,14.31
2015,Month_7,mapleton no. 2,185.68,27.7,15.87
2015,Month_8,mapleton no. 2,141.99,26.38,14.1
2015,Month_9,mapleton no. 2,111.0,25.88,13.17
2016,Month_1,mapleton no. 2,13.47,-3.0,-11.65
2016,Month_10,mapleton no. 2,30.49,18.74,4.39
2016,Month_11,mapleton no. 2,50.81,12.82,-0.9
2016,Month_12,mapleton no. 2,36.84,-0.41,-10.89
2016,Month_2,mapleton no. 2,22.87,2.67,-6.09
2016,Month_3,mapleton no. 2,53.09,11.95,-1.47
2016,Month_4,mapleton no. 2,124.97,15.8,2.85
2016,Month_5,mapleton no. 2,137.67,21.31,7.6
2016,Month_6,mapleton no. 2,30.23,29.8,15.97
2016,Month_7,mapleton no. 2,109.98,28.58,16.02
2016,Month_8,mapleton no. 2,85.1,28.0,15.13
2016,Month_9,mapleton no. 2,114.05,25.46,12.26
2017,Month_1,mapleton no. 2,21.09,-1.27,-9.3
2017,Month_10,mapleton no. 2,130.56,17.1,4.55
2017,Month_11,mapleton no. 2,1.78,8.39,-4.83
2017,Month_12,mapleton no. 2,11.94,1.11,-10.22
2017,Month_2,mapleton no. 2,27.95,6.69,-6.48
2017,Month_3,mapleton no. 2,53.85,8.55,-3.1
2017,Month_4,mapleton no. 2,67.31,15.5,2.78
2017,Month_5,mapleton no. 2,172.22,20.93,6.86
2017,Month_6,mapleton no. 2,69.34,29.11,13.69
2017,Month_7,mapleton no. 2,39.63,30.98,17.2
2017,Month_8,mapleton no. 2,264.93,25.85,13.24
2017,Month_9,mapleton no. 2,86.11,25.29,10.96
2018,Month_1,mapleton no. 2,26.43,-3.15,-14.44
2018,Month_10,mapleton no. 2,59.95,14.07,1.94
2018,Month_11,mapleton no. 2,22.87,4.11,-6.93
2018,Month_12,mapleton no. 2,60.71,1.95,-7.9
2018,Month_2,mapleton no. 2,23.38,-2.35,-13.21
2018,Month_3,mapleton no. 2,81.28,6.86,-2.78
2018,Month_4,mapleton no. 2,18.55,10.0,-3.26
2018,Month_5,mapleton no. 2,102.37,25.14,12.01
2018,Month_6,mapleton no. 2,139.71,28.52,16.8
2018,Month_7,mapleton no. 2,91.19,28.95,15.9
2018,Month_8,mapleton no. 2,193.04,27.28,14.82
2018,Month_9,mapleton no. 2,115.58,24.22,12.67
2019,Month_1,mapleton no. 2,0.02,-1.52,-11.57
2019,Month_10,mapleton no. 2,85.86,14.05,1.68
2019,Month_11,mapleton no. 2,47.76,5.96,-5.56
2019,Month_12,mapleton no. 2,35.06,2.9,-7.85
2019,Month_2,mapleton no. 2,49.54,-5.18,-15.93
2019,Month_3,mapleton no. 2,79.77,4.48,-6.67
2019,Month_4,mapleton no. 2,43.7,15.59,1.8
2019,Month_5,mapleton no. 2,141.99,18.49,7.2
2019,Month_6,mapleton no. 2,54.61,26.91,14.33
2019,Month_7,mapleton no. 2,69.1,29.19,17.44
2019,Month_8,mapleton no. 2,61.22,26.54,14.59
2019,Month_9,mapleton no. 2,146.31,25.81,13.85
2020,Month_1,mapleton no. 2,32.01,-0.88,-10.19
2020,Month_10,mapleton no. 2,51.57,13.84,0.29
2020,Month_11,mapleton no. 2,47.76,12.2,-2.13
2020,Month_12,mapleton no. 2,11.94,3.23,-8.76
2020,Month_2,mapleton no. 2,4.33,2.28,-10.36
2020,Month_3,mapleton no. 2,82.8,9.82,-1.99
2020,Month_4,mapleton no. 2,19.31,15.28,0.2
2020,Month_5,mapleton no. 2,69.87,18.48,8.52
2020,Month_6,mapleton no. 2,98.3,29.77,16.97
2020,Month_7,mapleton no. 2,92.2,30.69,17.06
2020,Month_8,mapleton no. 2,30.99,29.44,14.38
2020,Month_9,mapleton no. 2,52.07,23.89,9.12
2021,Month_1,mapleton no. 2,29.72,0.86,-8.14
2021,Month_10,mapleton no. 2,87.64,19.12,5.41
2021,Month_11,mapleton no. 2,6.61,10.75,-2.36
2021,Month_12,mapleton no. 2,22.1,5.9,-6.54
2021,Month_2,mapleton no. 2,29.21,-6.63,-17.18
2021,Month_3,mapleton no. 2,85.85,11.86,-1.4
2021,Month_4,mapleton no. 2,28.21,15.65,2.02
2021,Month_5,mapleton no. 2,140.22,20.75,8.39
2021,Month_6,mapleton no. 2,74.68,30.09,15.26
2021,Month_7,mapleton no. 2,70.36,29.22,16.54
