Year,Month,Stations,prec,tmax,tmin
2015,Month_1,maquioketa2w,14.74,-2.74,-11.9
2015,Month_10,maquioketa2w,61.22,17.38,4.89
2015,Month_11,maquioketa2w,111.51,10.33,-0.94
2015,Month_12,maquioketa2w,106.19,5.5,-1.88
2015,Month_2,maquioketa2w,41.16,-6.31,-17.86
2015,Month_3,maquioketa2w,18.55,6.58,-6.79
2015,Month_4,maquioketa2w,48.27,17.59,1.63
2015,Month_5,maquioketa2w,156.48,21.39,10.31
2015,Month_6,maquioketa2w,157.23,25.79,14.66
2015,Month_7,maquioketa2w,67.31,26.86,15.65
2015,Month_8,maquioketa2w,124.21,26.11,14.06
2015,Month_9,maquioketa2w,126.24,26.53,13.47
2016,Month_1,maquioketa2w,7.88,-3.6,-11.83
2016,Month_10,maquioketa2w,75.44,19.01,6.85
2016,Month_11,maquioketa2w,48.78,12.98,0.28
2016,Month_12,maquioketa2w,42.93,-2.15,-9.12
2016,Month_2,maquioketa2w,9.16,1.43,-6.67
2016,Month_3,maquioketa2w,68.33,10.02,-1.24
2016,Month_4,maquioketa2w,51.82,14.5,1.84
2016,Month_5,maquioketa2w,74.69,21.81,8.35
2016,Month_6,maquioketa2w,144.02,28.3,15.2
2016,Month_7,maquioketa2w,151.65,27.39,16.72
2016,Month_8,maquioketa2w,146.57,28.16,16.72
2016,Month_9,maquioketa2w,59.45,26.17,13.21
2017,Month_1,maquioketa2w,37.1,-0.7,-8.14
2017,Month_10,maquioketa2w,65.53,17.89,5.94
2017,Month_11,maquioketa2w,17.27,7.41,-3.76
2017,Month_12,maquioketa2w,7.89,0.27,-10.25
2017,Month_2,maquioketa2w,24.13,6.83,-5.49
2017,Month_3,maquioketa2w,69.6,7.72,-3.41
2017,Month_4,maquioketa2w,106.17,16.46,3.98
2017,Month_5,maquioketa2w,95.25,19.89,8.03
2017,Month_6,maquioketa2w,116.59,27.93,14.35
2017,Month_7,maquioketa2w,121.17,28.31,16.36
2017,Month_8,maquioketa2w,94.24,25.11,12.85
2017,Month_9,maquioketa2w,40.64,25.71,10.52
2018,Month_1,maquioketa2w,10.43,-2.5,-13.22
2018,Month_10,maquioketa2w,195.33,15.09,3.57
2018,Month_11,maquioketa2w,45.72,4.32,-3.52
2018,Month_12,maquioketa2w,47.0,3.35,-5.56
2018,Month_2,maquioketa2w,85.86,-1.67,-11.41
2018,Month_3,maquioketa2w,66.3,5.95,-4.98
2018,Month_4,maquioketa2w,19.06,9.69,-3.24
2018,Month_5,maquioketa2w,157.49,25.93,12.4
2018,Month_6,maquioketa2w,179.08,27.28,16.46
2018,Month_7,maquioketa2w,54.61,28.31,15.89
2018,Month_8,maquioketa2w,182.12,27.69,16.17
2018,Month_9,maquioketa2w,186.19,25.29,12.22
2019,Month_1,maquioketa2w,77.74,-2.96,-12.47
2019,Month_10,maquioketa2w,85.6,15.09,3.48
2019,Month_11,maquioketa2w,43.7,4.31,-4.74
2019,Month_12,maquioketa2w,23.37,4.59,-5.5
2019,Month_2,maquioketa2w,91.96,-2.0,-13.57
2019,Month_3,maquioketa2w,52.33,4.96,-5.54
2019,Month_4,maquioketa2w,134.11,15.04,2.94
2019,Month_5,maquioketa2w,164.08,19.39,8.82
2019,Month_6,maquioketa2w,84.84,26.19,14.87
2019,Month_7,maquioketa2w,76.45,30.57,18.74
2019,Month_8,maquioketa2w,89.92,27.39,15.09
2019,Month_9,maquioketa2w,241.05,25.2,14.3
2020,Month_1,maquioketa2w,37.34,0.85,-7.28
2020,Month_10,maquioketa2w,76.45,14.66,2.46
2020,Month_11,maquioketa2w,57.15,12.93,0.07
2020,Month_12,maquioketa2w,62.23,2.44,-7.57
2020,Month_2,maquioketa2w,19.05,1.17,-8.26
2020,Month_3,maquioketa2w,91.44,9.18,-0.52
2020,Month_4,maquioketa2w,43.18,14.43,1.44
2020,Month_5,maquioketa2w,156.97,19.66,8.71
2020,Month_6,maquioketa2w,58.93,28.07,15.73
2020,Month_7,maquioketa2w,85.09,30.33,18.57
2020,Month_8,maquioketa2w,72.14,29.09,15.52
2020,Month_9,maquioketa2w,221.23,22.67,10.11
2021,Month_1,maquioketa2w,33.53,-0.85,-9.69
2021,Month_10,maquioketa2w,154.94,19.61,8.07
2021,Month_11,maquioketa2w,11.94,8.77,-2.7
2021,Month_12,maquioketa2w,55.12,6.11,-5.16
2021,Month_2,maquioketa2w,21.1,-5.63,-16.85
2021,Month_3,maquioketa2w,48.51,10.86,-1.0
2021,Month_4,maquioketa2w,77.47,15.5,3.13
2021,Month_5,maquioketa2w,95.0,20.3,8.76
2021,Month_6,maquioketa2w,72.9,29.02,16.43
2021,Month_7,maquioketa2w,125.98,28.13,17.36
2021,Month_8,maquioketa2w,84.58,29.66,16.46
2021,Month_9,maquioketa2w,29.21,26.69,11.11
2022,Month_1,maquioketa2w,16.26,-4.77,-17.26
2022,Month_10,maquioketa2w,14.22,17.69,1.37
2022,Month_11,maquioketa2w,62.99,10.61,-3.33
2022,Month_12,maquioketa2w,64.77,0.13,-9.15
2022,Month_2,maquioketa2w,13.21,0.18,-12.64
2022,Month_3,maquioketa2w,65.79,8.17,-2.94
2022,Month_4,maquioketa2w,144.02,11.96,0.91
2022,Month_5,maquioketa2w,87.38,23.28,10.59
2022,Month_6,maquioketa2w,91.19,28.2,14.76
2022,Month_7,maquioketa2w,152.4,28.82,17.04
2022,Month_8,maquioketa2w,143.51,27.38,15.73
2022,Month_9,maquioketa2w,35.81,24.23,11.15
2023,Month_1,maquioketa2w,58.42,0.99,-6.67
2023,Month_10,maquioketa2w,132.08,18.69,6.2
2023,Month_11,maquioketa2w,19.56,9.27,-3.56
2023,Month_12,maquioketa2w,54.36,5.73,-2.71
2023,Month_2,maquioketa2w,65.53,2.84,-9.21
2023,Month_3,maquioketa2w,42.16,7.06,-3.04
2023,Month_4,maquioketa2w,45.98,17.2,1.4
2023,Month_5,maquioketa2w,61.47,23.95,8.31
2023,Month_6,maquioketa2w,36.58,29.48,13.52
2023,Month_7,maquioketa2w,84.33,29.69,15.89
2023,Month_8,maquioketa2w,29.21,30.04,15.59
2023,Month_9,maquioketa2w,69.34,26.0,12.28
2024,Month_1,maquioketa2w,42.93,-2.56,-8.94
2024,Month_10,maquioketa2w,47.75,21.99,4.16
2024,Month_11,maquioketa2w,78.23,10.63,0.28
2024,Month_12,maquioketa2w,0.26,1.51,-10.79
2024,Month_2,maquioketa2w,7.62,9.82,-4.88
2024,Month_3,maquioketa2w,78.23,11.99,-0.86
2024,Month_4,maquioketa2w,151.64,16.44,4.15
2024,Month_5,maquioketa2w,153.16,24.23,10.75
2024,Month_6,maquioketa2w,140.98,28.91,16.57
2024,Month_7,maquioketa2w,182.12,27.89,16.33
2024,Month_8,maquioketa2w,76.71,28.12,15.84
2024,Month_9,maquioketa2w,1.53,26.87,11.15
