Year,Month,Stations,prec,tmax,tmin
2015,Month_1,marshalltown municipal ap,21.87,-0.45,-10.73
2015,Month_10,marshalltown municipal ap,44.46,17.54,5.46
2015,Month_11,marshalltown municipal ap,72.14,10.74,0.15
2015,Month_12,marshalltown municipal ap,114.57,4.68,-2.47
2015,Month_2,marshalltown municipal ap,3.58,-5.66,-16.69
2015,Month_3,marshalltown municipal ap,12.45,9.71,-4.14
2015,Month_4,marshalltown municipal ap,135.64,17.11,3.52
2015,Month_5,marshalltown municipal ap,115.07,21.43,10.81
2015,Month_6,marshalltown municipal ap,166.88,26.05,15.36
2015,Month_7,marshalltown municipal ap,196.85,27.63,17.17
2015,Month_8,marshalltown municipal ap,184.67,25.48,14.96
2015,Month_9,marshalltown municipal ap,65.28,26.49,14.54
2016,Month_1,marshalltown municipal ap,14.5,-3.1,-10.34
2016,Month_10,marshalltown municipal ap,30.99,19.44,7.54
2016,Month_11,marshalltown municipal ap,24.14,12.93,0.52
2016,Month_12,marshalltown municipal ap,23.64,-0.89,-8.98
2016,Month_2,marshalltown municipal ap,8.92,2.01,-6.38
2016,Month_3,marshalltown municipal ap,61.73,11.15,-0.22
2016,Month_4,marshalltown municipal ap,64.01,16.13,3.96
2016,Month_5,marshalltown municipal ap,66.3,21.94,9.1
2016,Month_6,marshalltown municipal ap,96.78,29.52,15.96
2016,Month_7,marshalltown municipal ap,87.89,27.99,17.44
2016,Month_8,marshalltown municipal ap,205.5,27.65,16.85
2016,Month_9,marshalltown municipal ap,201.43,25.54,13.8
2017,Month_1,marshalltown municipal ap,49.04,-0.88,-7.58
2017,Month_10,marshalltown municipal ap,150.13,17.31,6.27
2017,Month_11,marshalltown municipal ap,14.49,8.26,-3.51
2017,Month_12,marshalltown municipal ap,6.37,0.41,-10.05
2017,Month_2,marshalltown municipal ap,7.38,7.68,-4.86
2017,Month_3,marshalltown municipal ap,36.84,7.33,-2.58
2017,Month_4,marshalltown municipal ap,62.75,16.59,5.09
2017,Month_5,marshalltown municipal ap,122.95,21.52,8.55
2017,Month_6,marshalltown municipal ap,90.43,28.62,15.34
2017,Month_7,marshalltown municipal ap,31.76,29.82,17.42
2017,Month_8,marshalltown municipal ap,69.11,25.85,13.61
2017,Month_9,marshalltown municipal ap,33.53,26.46,12.41
2018,Month_1,marshalltown municipal ap,31.26,-2.2,-13.24
2018,Month_10,marshalltown municipal ap,80.78,14.93,3.23
2018,Month_11,marshalltown municipal ap,49.29,3.11,-5.13
2018,Month_12,marshalltown municipal ap,58.94,2.81,-6.51
2018,Month_2,marshalltown municipal ap,39.37,-0.89,-10.99
2018,Month_3,marshalltown municipal ap,77.47,6.13,-3.64
2018,Month_4,marshalltown municipal ap,36.84,10.96,-2.24
2018,Month_5,marshalltown municipal ap,109.73,26.18,13.69
2018,Month_6,marshalltown municipal ap,192.8,28.56,17.28
2018,Month_7,marshalltown municipal ap,109.48,28.44,16.63
2018,Month_8,marshalltown municipal ap,153.93,27.64,16.49
2018,Month_9,marshalltown municipal ap,245.37,24.02,12.93
2019,Month_1,marshalltown municipal ap,31.51,-3.55,-13.53
2019,Month_10,marshalltown municipal ap,124.72,12.96,1.99
2019,Month_11,marshalltown municipal ap,39.88,4.52,-5.31
2019,Month_12,marshalltown municipal ap,21.86,3.76,-6.7
2019,Month_2,marshalltown municipal ap,59.7,-3.59,-14.25
2019,Month_3,marshalltown municipal ap,24.39,4.44,-5.56
2019,Month_4,marshalltown municipal ap,72.65,16.5,3.19
2019,Month_5,marshalltown municipal ap,190.5,19.78,8.23
2019,Month_6,marshalltown municipal ap,137.43,26.24,14.81
2019,Month_7,marshalltown municipal ap,65.8,29.26,17.91
2019,Month_8,marshalltown municipal ap,64.53,26.17,14.6
2019,Month_9,marshalltown municipal ap,126.24,25.37,14.24
2020,Month_1,marshalltown municipal ap,34.04,-1.36,-9.46
2020,Month_10,marshalltown municipal ap,32.52,13.57,1.65
2020,Month_11,marshalltown municipal ap,37.85,11.35,-1.87
2020,Month_12,marshalltown municipal ap,30.48,1.79,-9.23
2020,Month_2,marshalltown municipal ap,12.45,0.33,-9.39
2020,Month_3,marshalltown municipal ap,83.83,9.98,-0.45
2020,Month_4,marshalltown municipal ap,74.18,14.74,0.89
2020,Month_5,marshalltown municipal ap,115.07,19.34,8.28
2020,Month_6,marshalltown municipal ap,185.94,27.78,16.67
