Year,Month,Stations,prec,tmax,tmin
2015,Month_1,mount-pleasant,24.13,-0.02,-11.06
2015,Month_10,mount-pleasant,52.07,18.31,5.15
2015,Month_11,mount-pleasant,120.65,12.52,0.72
2015,Month_12,mount-pleasant,119.38,7.08,-0.99
2015,Month_2,mount-pleasant,25.4,-2.8,-14.61
2015,Month_3,mount-pleasant,5.59,9.77,-4.8
2015,Month_4,mount-pleasant,87.63,18.69,3.8
2015,Month_5,mount-pleasant,139.7,22.99,9.68
2015,Month_6,mount-pleasant,181.61,26.94,15.09
2015,Month_7,mount-pleasant,201.93,28.31,17.09
2015,Month_8,mount-pleasant,86.36,26.52,14.63
2015,Month_9,mount-pleasant,68.58,27.2,14.67
2016,Month_1,mount-pleasant,10.92,-1.02,-11.06
2016,Month_10,mount-pleasant,29.21,20.41,7.54
2016,Month_11,mount-pleasant,24.64,14.86,1.29
2016,Month_12,mount-pleasant,29.72,0.31,-8.56
2016,Month_2,mount-pleasant,29.72,3.75,-6.55
2016,Month_3,mount-pleasant,88.9,11.81,-0.8
2016,Month_4,mount-pleasant,44.7,16.98,3.6
2016,Month_5,mount-pleasant,105.41,21.61,8.83
2016,Month_6,mount-pleasant,7.62,30.36,14.8
2016,Month_7,mount-pleasant,210.82,27.83,16.79
2016,Month_8,mount-pleasant,214.63,28.16,17.76
2016,Month_9,mount-pleasant,68.58,26.51,13.89
2017,Month_1,mount-pleasant,45.72,1.3,-8.22
2017,Month_10,mount-pleasant,77.47,18.76,6.83
2017,Month_11,mount-pleasant,29.72,9.3,-3.83
2017,Month_12,mount-pleasant,10.16,2.76,-9.27
2017,Month_2,mount-pleasant,17.78,9.98,-4.58
2017,Month_3,mount-pleasant,84.07,10.3,-2.03
2017,Month_4,mount-pleasant,125.73,17.65,4.28
2017,Month_5,mount-pleasant,91.95,21.38,8.2
2017,Month_6,mount-pleasant,35.56,29.39,13.5
2017,Month_7,mount-pleasant,142.24,31.96,16.71
2017,Month_8,mount-pleasant,36.83,27.39,13.2
2017,Month_9,mount-pleasant,101.6,27.45,11.38
2018,Month_1,mount-pleasant,9.65,-0.25,-13.01
2018,Month_10,mount-pleasant,110.49,15.84,4.48
2018,Month_11,mount-pleasant,64.77,3.93,-5.19
2018,Month_12,mount-pleasant,26.16,3.33,-5.95
2018,Month_2,mount-pleasant,61.47,1.92,-9.56
2018,Month_3,mount-pleasant,72.9,8.44,-4.09
2018,Month_4,mount-pleasant,7.62,12.51,-1.99
2018,Month_5,mount-pleasant,102.62,27.47,13.01
2018,Month_6,mount-pleasant,176.53,29.46,17.11
2018,Month_7,mount-pleasant,40.64,30.02,16.37
2018,Month_8,mount-pleasant,216.15,30.44,16.84
2018,Month_9,mount-pleasant,131.57,26.23,13.14
2019,Month_1,mount-pleasant,74.42,-1.42,-11.13
2019,Month_10,mount-pleasant,76.96,15.8,3.66
2019,Month_11,mount-pleasant,43.44,6.83,-4.98
2019,Month_12,mount-pleasant,35.56,6.15,-5.63
2019,Month_2,mount-pleasant,77.22,-0.78,-11.69
2019,Month_3,mount-pleasant,72.14,5.7,-5.15
2019,Month_4,mount-pleasant,82.55,16.53,2.97
2019,Month_5,mount-pleasant,347.73,20.54,8.76
2019,Month_6,mount-pleasant,128.78,26.95,15.08
2019,Month_7,mount-pleasant,39.62,30.78,19.22
2019,Month_8,mount-pleasant,77.98,27.65,15.59
2019,Month_9,mount-pleasant,220.22,26.42,14.75
2020,Month_1,mount-pleasant,44.2,1.08,-8.58
2020,Month_10,mount-pleasant,31.5,15.43,2.9
2020,Month_11,mount-pleasant,62.48,13.72,1.13
2020,Month_12,mount-pleasant,65.53,3.76,-6.13
2020,Month_2,mount-pleasant,8.64,3.62,-7.74
2020,Month_3,mount-pleasant,71.88,10.83,-0.15
2020,Month_4,mount-pleasant,52.58,15.59,3.24
2020,Month_5,mount-pleasant,77.72,20.22,10.16
2020,Month_6,mount-pleasant,136.65,28.49,17.11
2020,Month_7,mount-pleasant,112.27,30.15,18.89
2020,Month_8,mount-pleasant,4.06,29.12,16.11
2020,Month_9,mount-pleasant,169.16,23.28,10.57
2021,Month_1,mount-pleasant,55.63,0.45,-7.17
2021,Month_10,mount-pleasant,117.09,19.8,9.35
2021,Month_11,mount-pleasant,13.46,11.04,-1.04
2021,Month_12,mount-pleasant,40.64,8.64,-3.75
2021,Month_2,mount-pleasant,25.15,-4.62,-13.19
2021,Month_3,mount-pleasant,88.9,12.91,1.57
2021,Month_4,mount-pleasant,69.09,16.55,4.73
2021,Month_5,mount-pleasant,171.96,20.48,10.38
2021,Month_6,mount-pleasant,169.93,28.15,16.92
2021,Month_7,mount-pleasant,153.92,28.46,18.51
2021,Month_8,mount-pleasant,25.91,29.2,18.12
2021,Month_9,mount-pleasant,83.57,27.04,13.1
2022,Month_1,mount-pleasant,14.73,-2.85,-15.16
2022,Month_10,mount-pleasant,27.94,18.93,3.67
2022,Month_11,mount-pleasant,81.03,11.19,-1.02
2022,Month_12,mount-pleasant,31.75,1.85,-9.19
2022,Month_2,mount-pleasant,20.32,2.64,-11.03
2022,Month_3,mount-pleasant,94.49,10.66,-2.04
2022,Month_4,mount-pleasant,89.66,14.0,1.85
2022,Month_5,mount-pleasant,51.31,23.24,12.01
2022,Month_6,mount-pleasant,59.69,28.67,16.69
2022,Month_7,mount-pleasant,49.53,29.8,18.07
2022,Month_8,mount-pleasant,44.7,29.0,17.45
2022,Month_9,mount-pleasant,91.19,25.93,12.57
2023,Month_1,mount-pleasant,62.99,2.81,-5.25
2023,Month_10,mount-pleasant,73.41,19.5,7.15
2023,Month_11,mount-pleasant,16.76,11.03,-2.07
2023,Month_12,mount-pleasant,89.41,7.78,-0.56
2023,Month_2,mount-pleasant,90.93,5.97,-6.61
2023,Month_3,mount-pleasant,66.04,8.55,-1.9
2023,Month_4,mount-pleasant,39.37,18.67,3.46
2023,Month_5,mount-pleasant,55.12,24.34,8.01
2023,Month_6,mount-pleasant,14.73,29.04,15.17
2023,Month_7,mount-pleasant,75.44,29.69,17.53
2023,Month_8,mount-pleasant,66.8,28.96,17.35
2023,Month_9,mount-pleasant,52.07,26.73,13.47
2024,Month_1,mount-pleasant,73.41,-2.08,-8.53
2024,Month_10,mount-pleasant,65.53,22.71,6.25
2024,Month_11,mount-pleasant,59.94,11.44,1.84
2024,Month_12,mount-pleasant,0.76,1.53,-9.93
2024,Month_2,mount-pleasant,2.54,11.49,-3.26
2024,Month_3,mount-pleasant,86.61,13.08,0.57
2024,Month_4,mount-pleasant,192.28,17.63,5.35
2024,Month_5,mount-pleasant,64.01,24.52,11.9
2024,Month_6,mount-pleasant,98.3,29.13,17.35
2024,Month_7,mount-pleasant,221.74,28.15,17.78
2024,Month_8,mount-pleasant,56.9,27.78,16.95
2024,Month_9,mount-pleasant,12.7,26.69,12.69
