Year,Month,Stations,prec,tmax,tmin
2015,Month_1,newhampton,18.29,-3.87,-12.81
2015,Month_10,newhampton,45.22,16.46,3.14
2015,Month_11,newhampton,79.25,8.3,-1.57
2015,Month_12,newhampton,133.35,2.78,-3.81
2015,Month_2,newhampton,27.18,-7.9,-18.55
2015,Month_3,newhampton,26.16,5.77,-6.63
2015,Month_4,newhampton,99.83,15.19,1.63
2015,Month_5,newhampton,117.86,19.3,9.0
2015,Month_6,newhampton,108.71,24.92,13.95
2015,Month_7,newhampton,72.14,26.2,14.89
2015,Month_8,newhampton,79.25,24.66,12.72
2015,Month_9,newhampton,83.82,25.57,12.43
2016,Month_1,newhampton,24.38,-5.82,-13.41
2016,Month_10,newhampton,72.9,17.65,4.87
2016,Month_11,newhampton,35.56,12.16,0.1
2016,Month_12,newhampton,66.8,-3.39,-12.08
2016,Month_2,newhampton,21.35,-0.84,-9.29
2016,Month_3,newhampton,110.74,8.55,-2.13
2016,Month_4,newhampton,41.15,13.45,1.95
2016,Month_5,newhampton,87.12,20.63,7.76
2016,Month_6,newhampton,177.04,26.59,14.37
2016,Month_7,newhampton,271.78,26.32,16.15
2016,Month_8,newhampton,257.56,26.69,15.91
2016,Month_9,newhampton,283.72,23.87,12.46
2017,Month_1,newhampton,70.11,-3.33,-11.2
2017,Month_10,newhampton,160.79,16.2,5.04
2017,Month_11,newhampton,7.63,5.35,-4.98
2017,Month_12,newhampton,6.36,-1.68,-11.79
2017,Month_2,newhampton,57.66,3.31,-6.65
2017,Month_3,newhampton,79.25,4.55,-4.93
2017,Month_4,newhampton,93.47,14.61,2.94
2017,Month_5,newhampton,145.29,18.69,7.42
2017,Month_6,newhampton,242.83,26.7,13.91
2017,Month_7,newhampton,226.57,27.39,16.24
2017,Month_8,newhampton,41.15,23.94,13.08
2017,Month_9,newhampton,45.47,25.29,10.98
2018,Month_1,newhampton,63.25,-4.73,-14.75
2018,Month_10,newhampton,121.42,12.51,1.76
2018,Month_11,newhampton,58.17,0.76,-7.15
2018,Month_12,newhampton,80.52,0.13,-6.96
2018,Month_2,newhampton,44.7,-3.97,-13.93
