prec,2015,12.71,26.93,9.16,64.27,65.53,223.52,133.6,160.53,120.91,42.93,71.38,113.03
tmin,2015,-10.54,-15.71,-4.1,4.38,10.11,15.46,17.13,15.54,13.95,5.87,0.56,-2.26
tmax,2015,-0.84,-4.98,9.73,17.86,21.74,26.44,28.01,26.34,27.12,17.72,11.06,4.93
prec,2016,11.18,10.93,61.22,53.86,97.8,54.61,141.23,143.26,118.37,23.63,34.29,48.78
tmin,2016,-11.11,-6.53,-0.57,3.78,9.7,16.3,17.66,17.32,14.48,6.95,1.3,-8.94
tmax,2016,-3.09,2.22,11.7,16.67,21.74,30,28.37,28.28,26.44,19.18,13.64,-0.65
prec,2017,38.36,12.95,68.59,66.55,101.86,36.58,46.74,126.24,30.99,134.37,5.09,5.09
tmin,2017,-7.07,-4.81,-2.56,4.94,9.32,15.5,18.41,14.46,12.39,6.67,-3.65,-9.37
tmax,2017,0.23,7.54,8.6,16.8,21.25,29.56,30.75,26.52,26.89,17.81,8.09,1.09
prec,2018,26.93,35.06,57.41,21.6,97.54,195.84,99.06,116.85,341.38,107.96,51.57,51.32
tmin,2018,-13.05,-11.41,-3.57,-2.19,14.5,17.7,17.34,16.6,13.46,3.76,-4.77,-6.28
tmax,2018,-3.05,-1.19,6.51,10.8,26.63,28.98,29.29,28.64,25,14.87,3.77,2.91
prec,2019,26.93,50.3,58.17,69.35,205.75,76.72,36.83,129.79,109.73,187.45,31,35.82
tmin,2019,-12.15,-14.03,-5.7,3.24,8.15,15.1,18.83,16.09,14.94,2.8,-4.09,-6.18
tmax,2019,-2.71,-3.97,4.57,16.72,19.48,26.9,30.67,27.3,26.07,14.13,5.4,4.34
prec,2020,38.36,4.84,75.46,39.14,88.16,143.01,55.37,25.16,113.79,83.83,68.07,41.91
tmin,2020,-8.98,-9.25,-0.59,1.94,9.34,17.22,19.12,16.09,10.85,2.81,-0.72,-7.67
tmax,2020,-0.79,0.98,10.39,14.91,20.02,28.65,30.34,29.5,23.41,13.96,12.37,2.2
prec,2021,29.73,19.31,76.46,20.07,104.15,102.37,104.14,28.46,24.89,134.12,33.02,29.72
tmin,2021,-9.56,-15.54,0.07,3.61,9.75,16.83,18.43,17.67,12.48,7.94,-1.74,-5.2
tmax,2021,-1.11,-7.28,11.15,16.3,20.95,30.07,29,30.06,27.3,19.01,9.72,6.17
prec,2022,28.71,6.61,65.54,66.05,58.68,52.84,78.49,86.87,63.76,33.53,69.1,46.24
tmin,2022,-16.49,-13.45,-3.17,0.54,10.97,15.98,18.28,16.74,12.24,2.69,-3.31,-10.22
tmax,2022,-3.98,0.22,8.78,12.47,22.54,29.15,30.2,29.22,25.59,17.97,9.11,-1.02
prec,2023,41.66,54.61,35.82,78.49,76.45,99.57,65.53,107.45,57.66,66.81,9.41,39.64
tmin,2023,-8.19,-9.25,-4.52,2.68,10.66,15.6,16.72,16.51,12.53,5.5,-2.98,-2.65
tmax,2023,0.15,3.47,6.79,17.95,24.41,28.25,28.72,29,26.87,17.78,10.54,6.33
prec,2024,53.6,7.88,38.36,105.66,230.12,145.54,202.44,81.79,29.72,60.96,83.82,1.02
tmin,2024,-10.07,-4.96,-2.26,4.3,11.31,17.15,17.28,16.81,13.06,5.71,-0.07,-11.46
tmax,2024,-3.15,10.13,11.42,17.11,23.85,29.37,28.31,28.83,27.64,23.3,10.69,2.08
