Year,Month,Stations,prec,tmax,tmin
2015,Month_1,newton,12.71,-0.84,-10.54
2015,Month_10,newton,42.93,17.72,5.87
2015,Month_11,newton,71.38,11.06,0.56
2015,Month_12,newton,113.03,4.93,-2.26
2015,Month_2,newton,26.93,-4.98,-15.71
2015,Month_3,newton,9.16,9.73,-4.1
2015,Month_4,newton,64.27,17.86,4.38
2015,Month_5,newton,65.53,21.74,10.11
2015,Month_6,newton,223.52,26.44,15.46
2015,Month_7,newton,133.6,28.01,17.13
2015,Month_8,newton,160.53,26.34,15.54
2015,Month_9,newton,120.91,27.12,13.95
2016,Month_1,newton,11.18,-3.09,-11.11
2016,Month_10,newton,23.63,19.18,6.95
2016,Month_11,newton,34.29,13.64,1.3
2016,Month_12,newton,48.78,-0.65,-8.94
2016,Month_2,newton,10.93,2.22,-6.53
2016,Month_3,newton,61.22,11.7,-0.57
2016,Month_4,newton,53.86,16.67,3.78
2016,Month_5,newton,97.8,21.74,9.7
2016,Month_6,newton,54.61,30.0,16.3
2016,Month_7,newton,141.23,28.37,17.66
2016,Month_8,newton,143.26,28.28,17.32
2016,Month_9,newton,118.37,26.44,14.48
2017,Month_1,newton,38.36,0.23,-7.07
2017,Month_10,newton,134.37,17.81,6.67
2017,Month_11,newton,5.09,8.09,-3.65
2017,Month_12,newton,5.09,1.09,-9.37
2017,Month_2,newton,12.95,7.54,-4.81
2017,Month_3,newton,68.59,8.6,-2.56
2017,Month_4,newton,66.55,16.8,4.94
2017,Month_5,newton,101.86,21.25,9.32
2017,Month_6,newton,36.58,29.56,15.5
2017,Month_7,newton,46.74,30.75,18.41
2017,Month_8,newton,126.24,26.52,14.46
2017,Month_9,newton,30.99,26.89,12.39
2018,Month_1,newton,26.93,-3.05,-13.05
2018,Month_10,newton,107.96,14.87,3.76
2018,Month_11,newton,51.57,3.77,-4.77
2018,Month_12,newton,51.32,2.91,-6.28
2018,Month_2,newton,35.06,-1.19,-11.41
2018,Month_3,newton,57.41,6.51,-3.57
2018,Month_4,newton,21.6,10.8,-2.19
2018,Month_5,newton,97.54,26.63,14.5
2018,Month_6,newton,195.84,28.98,17.7
2018,Month_7,newton,99.06,29.29,17.34
2018,Month_8,newton,116.85,28.64,16.6
2018,Month_9,newton,341.38,25.0,13.46
2019,Month_1,newton,26.93,-2.71,-12.15
2019,Month_10,newton,187.45,14.13,2.8
2019,Month_11,newton,31.0,5.4,-4.09
2019,Month_12,newton,35.82,4.34,-6.18
2019,Month_2,newton,50.3,-3.97,-14.03
2019,Month_3,newton,58.17,4.57,-5.7
2019,Month_4,newton,69.35,16.72,3.24
2019,Month_5,newton,205.75,19.48,8.15
2019,Month_6,newton,76.72,26.9,15.1
2019,Month_7,newton,36.83,30.67,18.83
2019,Month_8,newton,129.79,27.3,16.09
2019,Month_9,newton,109.73,26.07,14.94
2020,Month_1,newton,38.36,-0.79,-8.98
2020,Month_10,newton,83.83,13.96,2.81
2020,Month_11,newton,68.07,12.37,-0.72
2020,Month_12,newton,41.91,2.2,-7.67
2020,Month_2,newton,4.84,0.98,-9.25
2020,Month_3,newton,75.46,10.39,-0.59
2020,Month_4,newton,39.14,14.91,1.94
2020,Month_5,newton,88.16,20.02,9.34
2020,Month_6,newton,143.01,28.65,17.22
2020,Month_7,newton,55.37,30.34,19.12
2020,Month_8,newton,25.16,29.5,16.09
2020,Month_9,newton,113.79,23.41,10.85
2021,Month_1,newton,29.73,-1.11,-9.56
2021,Month_10,newton,134.12,19.01,7.94
2021,Month_11,newton,33.02,9.72,-1.74
2021,Month_12,newton,29.72,6.17,-5.2
2021,Month_2,newton,19.31,-7.28,-15.54
2021,Month_3,newton,76.46,11.15,0.07
2021,Month_4,newton,20.07,16.3,3.61
2021,Month_5,newton,104.15,20.95,9.75
2021,Month_6,newton,102.37,30.07,16.83
2021,Month_7,newton,104.14,29.0,18.43
2021,Month_8,newton,28.46,30.06,17.67
2021,Month_9,newton,24.89,27.3,12.48
2022,Month_1,newton,28.71,-3.98,-16.49
2022,Month_10,newton,33.53,17.97,2.69
2022,Month_11,newton,69.1,9.11,-3.31
2022,Month_12,newton,46.24,-1.02,-10.22
2022,Month_2,newton,6.61,0.22,-13.45
2022,Month_3,newton,65.54,8.78,-3.17
2022,Month_4,newton,66.05,12.47,0.54
2022,Month_5,newton,58.68,22.54,10.97
2022,Month_6,newton,52.84,29.15,15.98
2022,Month_7,newton,78.49,30.2,18.28
2022,Month_8,newton,86.87,29.22,16.74
2022,Month_9,newton,63.76,25.59,12.24
2023,Month_1,newton,41.66,0.15,-8.19
2023,Month_10,newton,66.81,17.78,5.5
2023,Month_11,newton,9.41,10.54,-2.98
2023,Month_12,newton,39.64,6.33,-2.65
2023,Month_2,newton,54.61,3.47,-9.25
2023,Month_3,newton,35.82,6.79,-4.52
2023,Month_4,newton,78.49,17.95,2.68
2023,Month_5,newton,76.45,24.41,10.66
2023,Month_6,newton,99.57,28.25,15.6
2023,Month_7,newton,65.53,28.72,16.72
2023,Month_8,newton,107.45,29.0,16.51
2023,Month_9,newton,57.66,26.87,12.53
2024,Month_1,newton,53.6,-3.15,-10.07
2024,Month_10,newton,60.96,23.3,5.71
2024,Month_11,newton,83.82,10.69,-0.07
2024,Month_12,newton,1.02,2.08,-11.46
2024,Month_2,newton,7.88,10.13,-4.96
2024,Month_3,newton,38.36,11.42,-2.26
2024,Month_4,newton,105.66,17.11,4.3
2024,Month_5,newton,230.12,23.85,11.31
2024,Month_6,newton,145.54,29.37,17.15
2024,Month_7,newton,202.44,28.31,17.28
2024,Month_8,newton,81.79,28.83,16.81
2024,Month_9,newton,29.72,27.64,13.06
