Year,Month,Stations,prec,tmax,tmin
2015,Month_1,oakland-2-e,2.3,2.2,-10.32
2015,Month_10,oakland-2-e,37.09,19.2,5.83
2015,Month_11,oakland-2-e,90.43,11.84,0.86
2015,Month_12,oakland-2-e,158.51,4.1,-4.32
2015,Month_2,oakland-2-e,28.96,-2.66,-14.03
2015,Month_3,oakland-2-e,12.45,12.13,-3.53
2015,Month_4,oakland-2-e,111.77,17.3,4.5
2015,Month_5,oakland-2-e,123.96,21.06,9.82
2015,Month_6,oakland-2-e,130.57,26.87,16.11
2015,Month_7,oakland-2-e,85.1,28.39,17.17
2015,Month_8,oakland-2-e,136.66,27.02,15.56
2015,Month_9,oakland-2-e,161.8,26.72,14.41
2016,Month_1,oakland-2-e,17.03,-2.62,-10.65
2016,Month_10,oakland-2-e,60.45,20.02,7.28
2016,Month_11,oakland-2-e,34.81,13.91,1.76
2016,Month_12,oakland-2-e,29.22,0.28,-9.65
2016,Month_2,oakland-2-e,26.17,4.52,-5.06
2016,Month_3,oakland-2-e,23.88,13.92,0.11
2016,Month_4,oakland-2-e,120.15,17.37,4.04
2016,Month_5,oakland-2-e,132.6,21.59,9.67
2016,Month_6,oakland-2-e,69.85,30.4,17.57
2016,Month_7,oakland-2-e,171.71,28.52,17.67
2016,Month_8,oakland-2-e,132.85,28.59,16.96
2016,Month_9,oakland-2-e,150.88,26.34,14.25
2017,Month_1,oakland-2-e,32.01,-0.36,-7.96
2017,Month_10,oakland-2-e,144.28,18.05,6.36
2017,Month_11,oakland-2-e,8.13,9.17,-2.76
2017,Month_12,oakland-2-e,8.14,2.28,-8.7
2017,Month_2,oakland-2-e,22.35,7.62,-4.37
2017,Month_3,oakland-2-e,71.89,10.14,-1.38
2017,Month_4,oakland-2-e,84.84,16.83,4.83
2017,Month_5,oakland-2-e,178.32,21.74,9.07
2017,Month_6,oakland-2-e,95.76,28.97,15.79
2017,Month_7,oakland-2-e,38.11,30.61,18.56
2017,Month_8,oakland-2-e,98.3,26.81,14.67
2017,Month_9,oakland-2-e,62.24,26.74,13.43
2018,Month_1,oakland-2-e,21.08,-2.9,-12.74
2018,Month_10,oakland-2-e,106.18,14.74,3.74
2018,Month_11,oakland-2-e,22.1,4.11,-6.11
2018,Month_12,oakland-2-e,71.13,0.84,-7.03
2018,Month_2,oakland-2-e,20.08,-1.17,-11.27
2018,Month_3,oakland-2-e,45.49,7.78,-1.88
2018,Month_4,oakland-2-e,39.39,11.94,-1.39
2018,Month_5,oakland-2-e,63.76,26.82,13.98
2018,Month_6,oakland-2-e,267.48,29.17,17.7
2018,Month_7,oakland-2-e,84.58,28.99,17.35
2018,Month_8,oakland-2-e,294.9,28.15,16.65
2018,Month_9,oakland-2-e,119.89,25.3,13.69
2019,Month_1,oakland-2-e,12.71,-1.33,-10.72
2019,Month_10,oakland-2-e,113.04,14.7,3.06
2019,Month_11,oakland-2-e,17.27,6.45,-4.5
2019,Month_12,oakland-2-e,21.6,4.05,-6.15
2019,Month_2,oakland-2-e,40.65,-4.66,-14.74
2019,Month_3,oakland-2-e,69.34,4.78,-5.36
2019,Month_4,oakland-2-e,35.32,17.48,3.41
2019,Month_5,oakland-2-e,200.15,19.71,8.8
2019,Month_6,oakland-2-e,74.69,27.37,16.02
2019,Month_7,oakland-2-e,36.34,29.81,18.39
2019,Month_8,oakland-2-e,137.93,27.22,16.65
2019,Month_9,oakland-2-e,153.93,26.9,14.77
2020,Month_1,oakland-2-e,22.1,-0.43,-9.35
2020,Month_10,oakland-2-e,25.15,14.37,2.06
2020,Month_11,oakland-2-e,42.17,12.85,-0.24
2020,Month_12,oakland-2-e,20.84,2.72,-7.69
2020,Month_2,oakland-2-e,2.55,3.45,-8.74
2020,Month_3,oakland-2-e,54.62,10.91,-1.13
2020,Month_4,oakland-2-e,32.02,16.56,1.41
2020,Month_5,oakland-2-e,150.89,19.59,9.5
2020,Month_6,oakland-2-e,47.0,29.96,17.72
2020,Month_7,oakland-2-e,80.01,30.11,18.31
2020,Month_8,oakland-2-e,35.31,29.19,16.24
2020,Month_9,oakland-2-e,79.0,23.72,10.72
2021,Month_1,oakland-2-e,39.12,-0.17,-7.26
2021,Month_10,oakland-2-e,95.01,19.09,7.24
2021,Month_11,oakland-2-e,18.8,11.46,-1.38
2021,Month_12,oakland-2-e,6.1,6.94,-5.05
2021,Month_2,oakland-2-e,25.42,-6.45,-14.46
2021,Month_3,oakland-2-e,103.64,12.28,0.57
2021,Month_4,oakland-2-e,31.25,16.72,3.03
2021,Month_5,oakland-2-e,81.29,21.15,10.18
2021,Month_6,oakland-2-e,102.88,29.94,16.86
2021,Month_7,oakland-2-e,150.88,29.18,17.47
2021,Month_8,oakland-2-e,73.66,29.57,17.48
2021,Month_9,oakland-2-e,57.92,26.86,13.12
2022,Month_1,oakland-2-e,13.72,-1.9,-14.77
2022,Month_10,oakland-2-e,18.04,18.7,3.22
2022,Month_11,oakland-2-e,29.98,8.93,-3.2
2022,Month_12,oakland-2-e,23.37,-0.84,-11.06
2022,Month_2,oakland-2-e,5.09,3.13,-11.94
2022,Month_3,oakland-2-e,86.37,10.04,-3.65
2022,Month_4,oakland-2-e,72.91,14.78,0.5
2022,Month_5,oakland-2-e,134.11,22.15,10.36
2022,Month_6,oakland-2-e,84.33,28.98,16.46
2022,Month_7,oakland-2-e,52.33,29.77,18.05
2022,Month_8,oakland-2-e,45.22,29.63,16.7
2022,Month_9,oakland-2-e,88.91,26.34,11.95
2023,Month_1,oakland-2-e,32.77,0.2,-7.54
2023,Month_10,oakland-2-e,44.7,18.3,6.2
2023,Month_11,oakland-2-e,14.48,10.98,-2.66
2023,Month_12,oakland-2-e,37.85,6.13,-3.28
2023,Month_2,oakland-2-e,56.14,3.63,-8.89
2023,Month_3,oakland-2-e,23.89,7.04,-4.65
2023,Month_4,oakland-2-e,76.22,18.35,2.28
2023,Month_5,oakland-2-e,19.31,24.74,10.91
2023,Month_6,oakland-2-e,68.84,29.42,15.94
2023,Month_7,oakland-2-e,86.11,28.17,16.91
2023,Month_8,oakland-2-e,179.58,28.44,16.67
2023,Month_9,oakland-2-e,21.6,27.37,12.57
2024,Month_1,oakland-2-e,26.68,-4.23,-11.15
2024,Month_10,oakland-2-e,59.95,22.81,7.11
2024,Month_11,oakland-2-e,82.3,10.17,-0.37
2024,Month_12,oakland-2-e,0.01,2.7,-10.4
2024,Month_2,oakland-2-e,1.53,10.46,-4.15
2024,Month_3,oakland-2-e,75.95,11.95,-2.47
2024,Month_4,oakland-2-e,65.03,18.06,3.87
2024,Month_5,oakland-2-e,196.85,23.53,10.27
2024,Month_6,oakland-2-e,81.03,28.97,16.9
2024,Month_7,oakland-2-e,109.99,28.43,17.15
2024,Month_8,oakland-2-e,74.93,28.09,16.28
2024,Month_9,oakland-2-e,21.34,27.97,12.89
