prec,2015,18.81,20.09,12.2,83.32,97.54,130.82,88.66,82.3,79.51,28.2,54.36,142.51
tmin,2015,-12.62,-18.21,-6.44,2.57,9.44,14.14,15.56,14.07,13.2,4.03,-1,-3.44
tmax,2015,-3.08,-7.3,6.19,16.26,20.72,25.71,26.47,24.81,26.11,17.8,9.64,4.26
prec,2016,24.15,25.17,76.73,30.49,119.9,140.21,160.78,126.5,192.54,24.9,11.19,54.63
tmin,2016,-12.71,-9.31,-1.58,2.96,8.94,15.33,17.05,16.93,13.33,6.49,1.06,-10.54
tmax,2016,-4.82,-0.36,9.44,15.31,21.59,27.87,26.8,27.35,24.5,18.73,13,-2.96
prec,2017,55.9,16.77,44.97,77.74,73.16,158.5,163.83,27.19,22.61,143.26,11.7,7.4
tmin,2017,-9.39,-5.22,-3.89,4.26,8.46,14.15,16.39,14.19,12.41,6.25,-3.52,-10.48
tmax,2017,-2.83,5.1,6.52,15.61,20.16,27.94,27.93,25.29,26.33,17.54,7.06,-0.02
prec,2018,17.79,34.3,43.69,32.01,122.95,105.16,84.84,216.42,232.16,153.68,35.83,24.65
tmin,2018,-14.39,-13.31,-4,-2.78,12.46,17.09,17.38,16.78,12.65,3.26,-5.67,-5.98
tmax,2018,-3.78,-2.72,5.96,9.41,25.39,27.83,28.75,27.24,25.02,14.63,2.89,2.18
prec,2019,16.77,101.36,29.98,45.73,97.81,109.23,82.05,82.81,161.05,134.63,42.17,17.29
tmin,2019,-13.07,-16.91,-7.11,3.23,8.32,14.9,18.33,15.43,14.24,3.17,-5.59,-6.61
tmax,2019,-4.52,-3.72,3.35,15.69,19.14,26.23,29.61,26.56,25.07,14.24,3.67,3.58
prec,2020,41.92,14.49,60.21,30,115.58,319.03,65.03,37.85,135.9,58.69,32.01,18.81
tmin,2020,-10.11,-11.73,-1.08,0.54,8.64,16,18.65,15.73,10.57,2.59,-1.34,-7.07
tmax,2020,-1.27,-1.33,8.87,14.89,20.13,28.2,29.8,29.51,22.64,14.28,11.89,2.26
prec,2021,17.79,12.97,34.3,18.3,43.95,102.11,90.68,159.26,40.14,106.95,33.03,20.59
tmin,2021,-9.58,-17.14,-0.63,3.26,9.74,17.52,17.86,17.2,12.7,8.03,-2.37,-6.2
tmax,2021,-1.25,-6.98,10.32,16.54,21.54,30.07,28.27,29.16,25.94,18.82,8.93,4.23
prec,2022,3.06,2.05,88.91,50.56,33.81,160.54,128.78,192.03,18.81,47.75,51.84,37.11
tmin,2022,-18.14,-14.88,-3.73,-0.06,11.22,15.35,17.87,17.2,14,1.18,-3.72,-12.06
tmax,2022,-6.58,-2.2,7.17,11.15,23.28,28.17,29.01,27.95,25.76,16.68,8.2,-3.07
prec,2023,59.2,56.65,21.35,73.92,38.35,71.13,100.34,16.27,52.83,67.57,3.06,33.54
tmin,2023,-9.3,-10.93,-5.65,0.94,8.42,13.41,14.86,15.56,12.04,5.3,-4.33,-3.58
tmax,2023,-1.65,0.67,4.77,15.44,23.05,27.52,28.15,28.39,25.67,17.35,8.81,4.57
prec,2024,54.62,0.52,37.09,78.24,217.94,215.14,125.48,37.85,1.79,26.42,62.74,0.51
tmin,2024,-10.73,-5.71,-3.41,2.61,9,14.96,17.3,15.57,11.39,3.59,-0.67,-12.36
tmax,2024,-3.91,8.85,10.11,15.07,22.44,27.16,27.34,27.83,26.29,20.91,8.46,-0.28
