Year,Month,Stations,prec,tmax,tmin
2015,Month_1,oelwein1e,18.81,-3.08,-12.62
2015,Month_10,oelwein1e,28.2,17.8,4.03
2015,Month_11,oelwein1e,54.36,9.64,-1.0
2015,Month_12,oelwein1e,142.51,4.26,-3.44
2015,Month_2,oelwein1e,20.09,-7.3,-18.21
2015,Month_3,oelwein1e,12.2,6.19,-6.44
2015,Month_4,oelwein1e,83.32,16.26,2.57
2015,Month_5,oelwein1e,97.54,20.72,9.44
2015,Month_6,oelwein1e,130.82,25.71,14.14
2015,Month_7,oelwein1e,88.66,26.47,15.56
2015,Month_8,oelwein1e,82.3,24.81,14.07
2015,Month_9,oelwein1e,79.51,26.11,13.2
2016,Month_1,oelwein1e,24.15,-4.82,-12.71
2016,Month_10,oelwein1e,24.9,18.73,6.49
2016,Month_11,oelwein1e,11.19,13.0,1.06
2016,Month_12,oelwein1e,54.63,-2.96,-10.54
2016,Month_2,oelwein1e,25.17,-0.36,-9.31
2016,Month_3,oelwein1e,76.73,9.44,-1.58
2016,Month_4,oelwein1e,30.49,15.31,2.96
2016,Month_5,oelwein1e,119.9,21.59,8.94
2016,Month_6,oelwein1e,140.21,27.87,15.33
2016,Month_7,oelwein1e,160.78,26.8,17.05
2016,Month_8,oelwein1e,126.5,27.35,16.93
2016,Month_9,oelwein1e,192.54,24.5,13.33
2017,Month_1,oelwein1e,55.9,-2.83,-9.39
2017,Month_10,oelwein1e,143.26,17.54,6.25
2017,Month_11,oelwein1e,11.7,7.06,-3.52
2017,Month_12,oelwein1e,7.4,-0.02,-10.48
2017,Month_2,oelwein1e,16.77,5.1,-5.22
2017,Month_3,oelwein1e,44.97,6.52,-3.89
2017,Month_4,oelwein1e,77.74,15.61,4.26
2017,Month_5,oelwein1e,73.16,20.16,8.46
2017,Month_6,oelwein1e,158.5,27.94,14.15
2017,Month_7,oelwein1e,163.83,27.93,16.39
2017,Month_8,oelwein1e,27.19,25.29,14.19
2017,Month_9,oelwein1e,22.61,26.33,12.41
2018,Month_1,oelwein1e,17.79,-3.78,-14.39
2018,Month_10,oelwein1e,153.68,14.63,3.26
2018,Month_11,oelwein1e,35.83,2.89,-5.67
2018,Month_12,oelwein1e,24.65,2.18,-5.98
2018,Month_2,oelwein1e,34.3,-2.72,-13.31
2018,Month_3,oelwein1e,43.69,5.96,-4.0
2018,Month_4,oelwein1e,32.01,9.41,-2.78
2018,Month_5,oelwein1e,122.95,25.39,12.46
2018,Month_6,oelwein1e,105.16,27.83,17.09
2018,Month_7,oelwein1e,84.84,28.75,17.38
2018,Month_8,oelwein1e,216.42,27.24,16.78
2018,Month_9,oelwein1e,232.16,25.02,12.65
2019,Month_1,oelwein1e,16.77,-4.52,-13.07
2019,Month_10,oelwein1e,134.63,14.24,3.17
2019,Month_11,oelwein1e,42.17,3.67,-5.59
2019,Month_12,oelwein1e,17.29,3.58,-6.61
2019,Month_2,oelwein1e,101.36,-3.72,-16.91
2019,Month_3,oelwein1e,29.98,3.35,-7.11
2019,Month_4,oelwein1e,45.73,15.69,3.23
2019,Month_5,oelwein1e,97.81,19.14,8.32
2019,Month_6,oelwein1e,109.23,26.23,14.9
2019,Month_7,oelwein1e,82.05,29.61,18.33
2019,Month_8,oelwein1e,82.81,26.56,15.43
2019,Month_9,oelwein1e,161.05,25.07,14.24
2020,Month_1,oelwein1e,41.92,-1.27,-10.11
2020,Month_10,oelwein1e,58.69,14.28,2.59
2020,Month_11,oelwein1e,32.01,11.89,-1.34
2020,Month_12,oelwein1e,18.81,2.26,-7.07
2020,Month_2,oelwein1e,14.49,-1.33,-11.73
2020,Month_3,oelwein1e,60.21,8.87,-1.08
2020,Month_4,oelwein1e,30.0,14.89,0.54
2020,Month_5,oelwein1e,115.58,20.13,8.64
2020,Month_6,oelwein1e,319.03,28.2,16.0
2020,Month_7,oelwein1e,65.03,29.8,18.65
2020,Month_8,oelwein1e,37.85,29.51,15.73
2020,Month_9,oelwein1e,135.9,22.64,10.57
2021,Month_1,oelwein1e,17.79,-1.25,-9.58
2021,Month_10,oelwein1e,106.95,18.82,8.03
2021,Month_11,oelwein1e,33.03,8.93,-2.37
2021,Month_12,oelwein1e,20.59,4.23,-6.2
2021,Month_2,oelwein1e,12.97,-6.98,-17.14
