Year,Month,Stations,prec,tmax,tmin
2015,Month_1,oelweinarea,18.97,-2.58,-12.62
2015,Month_10,oelweinarea,28.2,17.8,4.03
2015,Month_11,oelweinarea,54.36,9.64,-1.0
2015,Month_12,oelweinarea,142.51,4.26,-3.44
2015,Month_2,oelweinarea,20.27,-7.3,-18.21
2015,Month_3,oelweinarea,12.27,6.19,-6.44
2015,Month_4,oelweinarea,83.36,16.24,2.57
2015,Month_5,oelweinarea,97.59,20.72,9.44
2015,Month_6,oelweinarea,130.91,25.71,14.14
2015,Month_7,oelweinarea,88.75,26.67,15.56
2015,Month_8,oelweinarea,82.37,24.81,14.07
2015,Month_9,oelweinarea,79.55,26.11,13.14
2016,Month_1,oelweinarea,24.15,-4.64,-12.71
2016,Month_10,oelweinarea,24.9,19.12,6.49
2016,Month_11,oelweinarea,11.19,13.06,1.06
2016,Month_12,oelweinarea,60.22,-2.96,-10.54
2016,Month_2,oelweinarea,25.17,-0.36,-9.31
2016,Month_3,oelweinarea,76.73,9.44,-1.58
2016,Month_4,oelweinarea,30.49,15.31,2.96
2016,Month_5,oelweinarea,141.49,21.58,8.94
2016,Month_6,oelweinarea,140.21,27.87,15.33
2016,Month_7,oelweinarea,160.78,26.88,16.7
2016,Month_8,oelweinarea,126.5,27.35,16.7
2016,Month_9,oelweinarea,192.54,24.78,13.33
2017,Month_1,oelweinarea,55.9,-2.83,-9.39
2017,Month_10,oelweinarea,143.26,17.69,6.25
2017,Month_11,oelweinarea,11.7,7.06,-3.52
2017,Month_12,oelweinarea,7.4,-0.02,-10.5
2017,Month_2,oelweinarea,16.77,5.1,-5.22
2017,Month_3,oelweinarea,44.97,6.61,-3.89
2017,Month_4,oelweinarea,77.74,15.61,4.26
2017,Month_5,oelweinarea,77.73,20.23,8.46
2017,Month_6,oelweinarea,158.5,26.85,14.15
2017,Month_7,oelweinarea,163.83,27.93,16.39
2017,Month_8,oelweinarea,27.19,25.45,14.19
2017,Month_9,oelweinarea,22.61,26.35,12.41
2018,Month_1,oelweinarea,16.77,-3.94,-14.57
2018,Month_10,oelweinarea,153.68,14.63,3.26
2018,Month_11,oelweinarea,35.83,3.08,-5.69
2018,Month_12,oelweinarea,24.65,2.2,-5.98
2018,Month_2,oelweinarea,34.3,-2.48,-13.31
2018,Month_3,oelweinarea,33.79,6.26,-4.0
2018,Month_4,oelweinarea,32.01,9.41,-2.78
2018,Month_5,oelweinarea,122.95,25.47,12.46
2018,Month_6,oelweinarea,105.16,27.83,17.09
2018,Month_7,oelweinarea,84.84,28.75,17.3
2018,Month_8,oelweinarea,216.42,27.61,16.78
2018,Month_9,oelweinarea,232.16,25.02,12.65
2019,Month_1,oelweinarea,16.76,-4.33,-13.07
2019,Month_10,oelweinarea,134.62,14.52,3.17
2019,Month_11,oelweinarea,42.16,3.67,-5.59
2019,Month_12,oelweinarea,17.27,3.91,-6.61
2019,Month_2,oelweinarea,101.35,-3.72,-16.91
