Year,Month,Stations,prec,tmax,tmin
2015,Month_1,osceola-3-wsw,6.35,2.04,-11.86
2015,Month_10,osceola-3-wsw,37.08,19.77,4.5
2015,Month_11,osceola-3-wsw,101.86,12.96,0.35
2015,Month_12,osceola-3-wsw,106.43,5.65,-2.61
2015,Month_2,osceola-3-wsw,33.27,-2.06,-15.4
2015,Month_3,osceola-3-wsw,18.54,12.17,-4.5
2015,Month_4,osceola-3-wsw,78.75,18.68,2.95
2015,Month_5,osceola-3-wsw,146.57,21.79,10.57
2015,Month_6,osceola-3-wsw,166.88,27.43,16.15
2015,Month_7,osceola-3-wsw,217.42,29.62,17.58
2015,Month_8,osceola-3-wsw,76.46,28.05,15.19
2015,Month_9,osceola-3-wsw,129.54,28.12,14.2
2016,Month_1,osceola-3-wsw,19.82,-0.41,-10.24
2016,Month_10,osceola-3-wsw,21.08,21.15,7.0
2016,Month_11,osceola-3-wsw,25.4,15.04,0.2
2016,Month_12,osceola-3-wsw,34.04,1.5,-9.3
2016,Month_2,osceola-3-wsw,28.97,4.94,-6.37
2016,Month_3,osceola-3-wsw,98.81,14.04,-0.15
2016,Month_4,osceola-3-wsw,66.29,17.5,4.3
2016,Month_5,osceola-3-wsw,101.6,21.85,8.73
2016,Month_6,osceola-3-wsw,71.88,30.77,16.84
2016,Month_7,osceola-3-wsw,168.15,28.06,17.02
2016,Month_8,osceola-3-wsw,79.76,29.22,17.83
2016,Month_9,osceola-3-wsw,139.45,27.15,14.44
2017,Month_1,osceola-3-wsw,23.88,1.16,-7.13
2017,Month_10,osceola-3-wsw,170.44,18.82,7.04
2017,Month_11,osceola-3-wsw,8.38,10.14,-3.79
2017,Month_12,osceola-3-wsw,8.64,2.83,-9.44
2017,Month_2,osceola-3-wsw,8.13,9.84,-4.62
2017,Month_3,osceola-3-wsw,81.04,11.52,-2.13
2017,Month_4,osceola-3-wsw,124.46,17.87,5.23
2017,Month_5,osceola-3-wsw,104.15,22.28,8.6
2017,Month_6,osceola-3-wsw,42.42,30.35,13.94
2017,Month_7,osceola-3-wsw,23.63,32.61,19.06
2017,Month_8,osceola-3-wsw,64.26,28.62,14.12
2017,Month_9,osceola-3-wsw,81.53,28.08,12.98
2018,Month_1,osceola-3-wsw,25.65,-0.93,-12.56
2018,Month_10,osceola-3-wsw,163.58,16.04,3.39
2018,Month_11,osceola-3-wsw,43.44,5.06,-5.99
2018,Month_12,osceola-3-wsw,67.32,4.25,-6.27
2018,Month_2,osceola-3-wsw,25.4,1.13,-10.62
2018,Month_3,osceola-3-wsw,57.42,8.05,-2.06
2018,Month_4,osceola-3-wsw,16.77,12.13,-2.15
2018,Month_5,osceola-3-wsw,93.73,27.6,13.87
2018,Month_6,osceola-3-wsw,242.83,29.72,18.17
2018,Month_7,osceola-3-wsw,66.04,30.81,17.59
2018,Month_8,osceola-3-wsw,93.98,30.71,17.11
2018,Month_9,osceola-3-wsw,202.44,25.57,13.63
2019,Month_1,osceola-3-wsw,43.44,-1.0,-11.76
2019,Month_10,osceola-3-wsw,88.65,15.5,2.69
2019,Month_11,osceola-3-wsw,23.11,7.26,-4.57
2019,Month_12,osceola-3-wsw,23.89,6.09,-5.36
2019,Month_2,osceola-3-wsw,50.05,-2.9,-14.52
