Year,Month,Stations,prec,tmax,tmin
2015,Month_1,oskaloosa,18.3,0.96,-10.92
2015,Month_10,oskaloosa,57.66,18.75,5.91
2015,Month_11,oskaloosa,132.08,11.92,1.26
2015,Month_12,oskaloosa,144.02,6.63,-1.34
2015,Month_2,oskaloosa,44.46,-2.18,-14.72
2015,Month_3,oskaloosa,8.38,10.91,-4.07
2015,Month_4,oskaloosa,99.07,18.67,4.61
2015,Month_5,oskaloosa,118.11,22.09,10.73
2015,Month_6,oskaloosa,149.61,26.59,16.3
2015,Month_7,oskaloosa,205.49,28.66,17.69
2015,Month_8,oskaloosa,69.09,27.17,15.69
2015,Month_9,oskaloosa,105.92,27.54,14.82
2016,Month_1,oskaloosa,12.71,-1.19,-10.44
2016,Month_10,oskaloosa,49.53,20.28,7.93
2016,Month_11,oskaloosa,26.93,14.83,1.67
2016,Month_12,oskaloosa,36.58,0.9,-7.51
2016,Month_2,oskaloosa,23.37,3.51,-5.73
2016,Month_3,oskaloosa,34.04,12.52,0.61
2016,Month_4,oskaloosa,76.46,16.67,4.56
2016,Month_5,oskaloosa,83.06,22.08,10.13
2016,Month_6,oskaloosa,29.72,30.17,16.88
2016,Month_7,oskaloosa,218.7,28.81,17.81
2016,Month_8,oskaloosa,156.72,29.06,18.22
2016,Month_9,oskaloosa,70.61,27.24,14.84
2017,Month_1,oskaloosa,37.34,0.87,-7.52
2017,Month_10,oskaloosa,123.45,19.06,5.96
2017,Month_11,oskaloosa,29.72,9.06,-3.72
2017,Month_12,oskaloosa,13.98,2.03,-9.41
2017,Month_2,oskaloosa,21.34,9.33,-4.68
2017,Month_3,oskaloosa,77.98,9.98,-1.77
2017,Month_4,oskaloosa,84.33,17.44,5.35
2017,Month_5,oskaloosa,113.28,21.54,9.07
2017,Month_6,oskaloosa,26.42,29.31,15.25
2017,Month_7,oskaloosa,26.42,31.6,17.7
2017,Month_8,oskaloosa,52.07,28.11,14.13
2017,Month_9,oskaloosa,56.9,28.02,12.59
2018,Month_1,oskaloosa,17.78,-1.27,-13.57
2018,Month_10,oskaloosa,162.31,16.31,4.09
2018,Month_11,oskaloosa,70.61,4.69,-5.38
2018,Month_12,oskaloosa,42.16,3.91,-6.45
2018,Month_2,oskaloosa,43.43,1.31,-10.32
2018,Month_3,oskaloosa,32.26,7.81,-3.35
2018,Month_4,oskaloosa,14.73,11.78,-1.95
2018,Month_5,oskaloosa,67.82,27.35,14.12
2018,Month_6,oskaloosa,205.23,28.91,17.62
2018,Month_7,oskaloosa,114.3,29.8,17.26
2018,Month_8,oskaloosa,92.71,29.8,16.65
2018,Month_9,oskaloosa,246.13,25.67,13.52
2019,Month_1,oskaloosa,72.14,-0.9,-11.22
2019,Month_10,oskaloosa,93.47,15.36,3.12
2019,Month_11,oskaloosa,37.34,6.85,-4.67
2019,Month_12,oskaloosa,24.13,6.34,-5.69
2019,Month_2,oskaloosa,74.42,-1.96,-14.58
2019,Month_3,oskaloosa,66.8,6.74,-4.91
2019,Month_4,oskaloosa,52.07,17.94,3.04
2019,Month_5,oskaloosa,254.76,20.43,8.71
2019,Month_6,oskaloosa,106.17,27.32,15.71
2019,Month_7,oskaloosa,88.39,31.05,18.79
2019,Month_8,oskaloosa,105.41,27.87,15.5
2019,Month_9,oskaloosa,116.33,27.41,14.61
2020,Month_1,oskaloosa,54.1,0.65,-8.62
2020,Month_10,oskaloosa,60.45,15.29,2.97
2020,Month_11,oskaloosa,72.9,13.83,0.15
2020,Month_12,oskaloosa,41.15,3.81,-7.96
2020,Month_2,oskaloosa,6.86,2.18,-9.37
2020,Month_3,oskaloosa,84.08,11.7,-0.5
2020,Month_4,oskaloosa,44.45,15.48,1.69
2020,Month_5,oskaloosa,136.91,20.32,8.98
2020,Month_6,oskaloosa,131.57,28.46,17.02
2020,Month_7,oskaloosa,48.26,30.27,19.03
2020,Month_8,oskaloosa,9.91,30.29,15.39
2020,Month_9,oskaloosa,107.44,24.2,10.94
2021,Month_1,oskaloosa,43.94,0.13,-9.16
2021,Month_10,oskaloosa,163.32,19.72,7.41
2021,Month_11,oskaloosa,35.81,11.22,-1.7
2021,Month_12,oskaloosa,24.64,7.94,-4.66
2021,Month_2,oskaloosa,18.29,-5.34,-16.05
2021,Month_3,oskaloosa,65.03,13.17,0.0
2021,Month_4,oskaloosa,35.56,16.37,3.35
2021,Month_5,oskaloosa,129.8,21.26,9.56
2021,Month_6,oskaloosa,73.15,29.92,17.18
2021,Month_7,oskaloosa,94.74,29.32,18.27
2021,Month_8,oskaloosa,87.89,30.29,17.86
2021,Month_9,oskaloosa,41.91,27.68,12.05
2022,Month_1,oskaloosa,26.42,-2.4,-16.99
2022,Month_10,oskaloosa,34.55,18.8,2.01
2022,Month_11,oskaloosa,77.48,10.38,-2.51
2022,Month_12,oskaloosa,44.46,0.06,-9.74
2022,Month_2,oskaloosa,7.37,2.32,-13.17
2022,Month_3,oskaloosa,88.15,10.39,-3.26
2022,Month_4,oskaloosa,93.98,13.76,0.3
2022,Month_5,oskaloosa,50.8,22.8,10.06
2022,Month_6,oskaloosa,84.84,28.98,15.89
2022,Month_7,oskaloosa,59.19,30.23,17.74
2022,Month_8,oskaloosa,74.42,30.25,16.28
2022,Month_9,oskaloosa,112.01,26.69,12.39
2023,Month_1,oskaloosa,33.03,1.47,-7.78
2023,Month_10,oskaloosa,53.85,19.25,6.31
2023,Month_11,oskaloosa,10.67,10.66,-2.96
2023,Month_12,oskaloosa,45.98,7.11,-2.15
2023,Month_2,oskaloosa,64.01,5.06,-10.06
2023,Month_3,oskaloosa,29.72,8.33,-3.96
2023,Month_4,oskaloosa,40.13,18.52,2.5
2023,Month_5,oskaloosa,53.34,25.13,9.62
2023,Month_6,oskaloosa,80.77,28.79,14.67
2023,Month_7,oskaloosa,68.83,29.46,16.35
2023,Month_8,oskaloosa,57.66,29.89,16.43
2023,Month_9,oskaloosa,50.29,27.08,12.49
2024,Month_1,oskaloosa,70.61,-2.84,-9.98
2024,Month_10,oskaloosa,77.22,23.29,5.79
2024,Month_11,oskaloosa,129.29,11.65,-0.13
2024,Month_12,oskaloosa,0.76,4.13,-10.63
2024,Month_2,oskaloosa,2.79,11.21,-4.52
2024,Month_3,oskaloosa,53.85,12.78,-0.72
