prec,2015,22.35,30.74,18.54,108.2,101.09,135.13,57.92,250.7,83.32,48.01,135.89,116.59
tmin,2015,-12.19,-15.77,-4.46,3.87,9.55,15.79,16.54,14.62,13.31,4.07,-0.98,-5.3
tmax,2015,-2.48,-5.34,9.43,16.94,20.63,26.49,28.33,25.97,26.03,18.13,9.46,1.81
prec,2016,13.72,34.3,55.63,102.36,92.21,22.61,180.85,112.78,179.33,67.56,38.1,42.93
tmin,2016,-13.31,-7.28,-1.24,3.48,9.35,16.57,16.99,15.86,12.67,5.09,0.24,-11.49
tmax,2016,-4.74,0.48,10.16,15.35,21.72,30.02,28.58,27.16,25.37,18.31,12.83,-1.81
prec,2017,42.68,47.5,50.3,78.49,136.41,49.02,10.41,146.05,69.09,161.29,2.03,11.18
tmin,2017,-9.48,-5.89,-4.03,4.09,8.58,15.19,17.13,13.91,11.88,5.09,-4.59,-11.22
tmax,2017,-2.22,4.88,6.08,15.02,20.79,29.11,30.68,25.93,25.71,16.77,7.17,0.34
prec,2018,24.89,39.37,89.41,96.01,112.27,306.32,156.46,147.07,159.77,79.76,45.21,71.63
tmin,2018,-14.98,-15.38,-3.28,-3.41,12.37,17.7,17.5,15.94,12.83,1.76,-6.76,-7.48
tmax,2018,-4.87,-3.93,4.26,7.32,25.66,28.44,29.15,27.55,24.44,13.87,2.8,0.06
prec,2019,5.09,56.39,64.52,63.51,216.16,74.42,77.72,44.2,108.2,116.08,45.21,54.36
tmin,2019,-14.56,-17.64,-7.04,2.22,7.8,15.07,18.14,14.68,13.56,1.76,-5.19,-8.6
tmax,2019,-3.93,-6.67,2.74,14.39,18.15,26.8,29.08,26.43,25.33,13.82,4.87,1.38
prec,2020,43.19,15.5,80.28,33.8,114.06,78.24,34.29,35.57,56.65,42.68,55.89,11.69
tmin,2020,-11.43,-12.28,-2.81,0.67,9.23,16.97,17.74,15.59,9.78,0.11,-2.2,-9.95
tmax,2020,-2.17,-0.69,8.17,14.48,19.46,29.23,30.34,29.32,23.7,13.05,11.13,2.37
prec,2021,27.44,22.35,84.58,23.37,82.81,65.28,93.98,115.32,67.31,125.74,13.21,22.86
tmin,2021,-10.39,-17.61,-1.2,2.02,9.03,16.15,16.6,15.76,11.28,5.88,-2.99,-7.65
tmax,2021,-0.93,-8.29,10.37,15.46,20.7,30.74,28.25,28.52,26.41,18.3,8.89,3.96
prec,2022,23.13,5.85,27.69,80.27,91.19,34.8,89.92,51.31,40.64,12.45,13.48,53.35
tmin,2022,-18.98,-15.99,-4.89,-1.85,9.39,15.48,16.59,15.35,10.07,1.52,-5,-13.26
tmax,2022,-3.69,-1.45,7.48,11.46,21.61,28.15,28.85,27.87,24.76,17.61,7.61,-4.12
prec,2023,61.99,51.56,30.48,41.91,105.41,84.33,69.85,68.07,41.92,140.72,2.03,48.78
tmin,2023,-12.04,-13.19,-6.3,0.81,9.7,15.04,15.19,15.75,11.72,4.82,-4.29,-4.62
tmax,2023,-2.85,-1.5,2.87,14.8,23.37,28.31,28.13,28.26,25.86,17.42,10.2,5.52
prec,2024,21.34,4.83,86.37,86.61,230.12,83.31,60.71,80.01,23.62,18.8,98.81,1.02
tmin,2024,-11.56,-5.29,-4.33,3.24,10.16,16.26,16.61,15.75,11.44,4.8,-1.65,-12.85
tmax,2024,-4.43,8.37,10.89,16.55,22.92,28.62,28.52,27.58,27.41,22.15,8.54,-0.14
