Year,Month,Stations,prec,tmax,tmin
2015,Month_1,pocahontas,22.35,-2.48,-12.19
2015,Month_10,pocahontas,48.01,18.13,4.07
2015,Month_11,pocahontas,135.89,9.46,-0.98
2015,Month_12,pocahontas,116.59,1.81,-5.3
2015,Month_2,pocahontas,30.74,-5.34,-15.77
2015,Month_3,pocahontas,18.54,9.43,-4.46
2015,Month_4,pocahontas,108.2,16.94,3.87
2015,Month_5,pocahontas,101.09,20.63,9.55
2015,Month_6,pocahontas,135.13,26.49,15.79
2015,Month_7,pocahontas,57.92,28.33,16.54
2015,Month_8,pocahontas,250.7,25.97,14.62
2015,Month_9,pocahontas,83.32,26.03,13.31
2016,Month_1,pocahontas,13.72,-4.74,-13.31
2016,Month_10,pocahontas,67.56,18.31,5.09
2016,Month_11,pocahontas,38.1,12.83,0.24
2016,Month_12,pocahontas,42.93,-1.81,-11.49
2016,Month_2,pocahontas,34.3,0.48,-7.28
2016,Month_3,pocahontas,55.63,10.16,-1.24
2016,Month_4,pocahontas,102.36,15.35,3.48
2016,Month_5,pocahontas,92.21,21.72,9.35
2016,Month_6,pocahontas,22.61,30.02,16.57
2016,Month_7,pocahontas,180.85,28.58,16.99
2016,Month_8,pocahontas,112.78,27.16,15.86
2016,Month_9,pocahontas,179.33,25.37,12.67
2017,Month_1,pocahontas,42.68,-2.22,-9.48
2017,Month_10,pocahontas,161.29,16.77,5.09
2017,Month_11,pocahontas,2.03,7.17,-4.59
2017,Month_12,pocahontas,11.18,0.34,-11.22
2017,Month_2,pocahontas,47.5,4.88,-5.89
2017,Month_3,pocahontas,50.3,6.08,-4.03
2017,Month_4,pocahontas,78.49,15.02,4.09
2017,Month_5,pocahontas,136.41,20.79,8.58
2017,Month_6,pocahontas,49.02,29.11,15.19
2017,Month_7,pocahontas,10.41,30.68,17.13
2017,Month_8,pocahontas,146.05,25.93,13.91
2017,Month_9,pocahontas,69.09,25.71,11.88
2018,Month_1,pocahontas,24.89,-4.87,-14.98
2018,Month_10,pocahontas,79.76,13.87,1.76
2018,Month_11,pocahontas,45.21,2.8,-6.76
2018,Month_12,pocahontas,71.63,0.06,-7.48
2018,Month_2,pocahontas,39.37,-3.93,-15.38
2018,Month_3,pocahontas,89.41,4.26,-3.28
2018,Month_4,pocahontas,96.01,7.32,-3.41
2018,Month_5,pocahontas,112.27,25.66,12.37
2018,Month_6,pocahontas,306.32,28.44,17.7
2018,Month_7,pocahontas,156.46,29.15,17.5
2018,Month_8,pocahontas,147.07,27.55,15.94
2018,Month_9,pocahontas,159.77,24.44,12.83
2019,Month_1,pocahontas,5.09,-3.93,-14.56
2019,Month_10,pocahontas,116.08,13.82,1.76
2019,Month_11,pocahontas,45.21,4.87,-5.19
2019,Month_12,pocahontas,54.36,1.38,-8.6
2019,Month_2,pocahontas,56.39,-6.67,-17.64
2019,Month_3,pocahontas,64.52,2.74,-7.04
2019,Month_4,pocahontas,63.51,14.39,2.22
2019,Month_5,pocahontas,216.16,18.15,7.8
2019,Month_6,pocahontas,74.42,26.8,15.07
2019,Month_7,pocahontas,77.72,29.08,18.14
2019,Month_8,pocahontas,44.2,26.43,14.68
2019,Month_9,pocahontas,108.2,25.33,13.56
2020,Month_1,pocahontas,43.19,-2.17,-11.43
2020,Month_10,pocahontas,42.68,13.05,0.11
2020,Month_11,pocahontas,55.89,11.13,-2.2
2020,Month_12,pocahontas,11.69,2.37,-9.95
2020,Month_2,pocahontas,15.5,-0.69,-12.28
2020,Month_3,pocahontas,80.28,8.17,-2.81
2020,Month_4,pocahontas,33.8,14.48,0.67
2020,Month_5,pocahontas,114.06,19.46,9.23
2020,Month_6,pocahontas,78.24,29.23,16.97
2020,Month_7,pocahontas,34.29,30.34,17.74
2020,Month_8,pocahontas,35.57,29.32,15.59
2020,Month_9,pocahontas,56.65,23.7,9.78
2021,Month_1,pocahontas,27.44,-0.93,-10.39
2021,Month_10,pocahontas,125.74,18.3,5.88
2021,Month_11,pocahontas,13.21,8.89,-2.99
2021,Month_12,pocahontas,22.86,3.96,-7.65
2021,Month_2,pocahontas,22.35,-8.29,-17.61
2021,Month_3,pocahontas,84.58,10.37,-1.2
2021,Month_4,pocahontas,23.37,15.46,2.02
2021,Month_5,pocahontas,82.81,20.7,9.03
2021,Month_6,pocahontas,65.28,30.74,16.15
2021,Month_7,pocahontas,93.98,28.25,16.6
2021,Month_8,pocahontas,115.32,28.52,15.76
2021,Month_9,pocahontas,67.31,26.41,11.28
2022,Month_1,pocahontas,23.13,-3.69,-18.98
2022,Month_10,pocahontas,12.45,17.61,1.52
2022,Month_11,pocahontas,13.48,7.61,-5.0
2022,Month_12,pocahontas,53.35,-4.12,-13.26
2022,Month_2,pocahontas,5.85,-1.45,-15.99
2022,Month_3,pocahontas,27.69,7.48,-4.89
2022,Month_4,pocahontas,80.27,11.46,-1.85
2022,Month_5,pocahontas,91.19,21.61,9.39
2022,Month_6,pocahontas,34.8,28.15,15.48
2022,Month_7,pocahontas,89.92,28.85,16.59
2022,Month_8,pocahontas,51.31,27.87,15.35
2022,Month_9,pocahontas,40.64,24.76,10.07
