Year,Month,Stations,prec,tmax,tmin
2015,Month_1,postville,8.4,-2.9,-13.08
2015,Month_10,postville,54.36,16.92,4.0
2015,Month_11,postville,96.01,9.27,-0.25
2015,Month_12,postville,167.67,3.85,-3.48
2015,Month_2,postville,33.54,-6.79,-18.35
2015,Month_3,postville,36.33,5.88,-6.63
2015,Month_4,postville,93.47,15.89,1.76
2015,Month_5,postville,108.97,20.43,9.62
2015,Month_6,postville,146.05,25.09,14.06
2015,Month_7,postville,44.2,26.92,15.09
2015,Month_8,postville,82.3,25.91,13.76
2015,Month_9,postville,79.25,25.78,12.81
2016,Month_1,postville,12.97,-4.35,-12.9
2016,Month_10,postville,66.81,17.13,5.28
2016,Month_11,postville,45.98,12.52,0.69
2016,Month_12,postville,56.4,-3.03,-11.56
2016,Month_2,postville,25.68,-0.34,-9.56
2016,Month_3,postville,81.04,9.03,-2.51
2016,Month_4,postville,28.97,14.24,1.63
2016,Month_5,postville,145.54,20.81,8.84
2016,Month_6,postville,189.99,27.07,14.5
2016,Month_7,postville,192.02,27.63,16.58
2016,Month_8,postville,214.63,26.93,16.04
2016,Month_9,postville,273.81,23.72,12.37
2017,Month_1,postville,58.18,-2.94,-10.63
2017,Month_10,postville,166.38,16.52,5.74
2017,Month_11,postville,7.89,6.34,-4.1
2017,Month_12,postville,6.11,-1.22,-11.04
2017,Month_2,postville,37.09,3.73,-6.63
2017,Month_3,postville,88.15,5.63,-4.86
2017,Month_4,postville,114.31,15.2,4.31
2017,Month_5,postville,120.65,19.21,7.01
2017,Month_6,postville,149.86,27.28,14.35
2017,Month_7,postville,103.13,27.78,16.05
2017,Month_8,postville,52.84,25.07,13.0
2017,Month_9,postville,25.66,25.5,11.15
2018,Month_1,postville,36.84,-3.82,-14.48
2018,Month_10,postville,114.05,13.92,2.29
2018,Month_11,postville,64.52,2.0,-6.56
2018,Month_12,postville,48.27,0.91,-6.36
2018,Month_2,postville,43.19,-2.38,-13.97
2018,Month_3,postville,26.68,5.88,-5.08
2018,Month_4,postville,86.62,8.2,-4.0
2018,Month_5,postville,227.84,23.89,12.02
2018,Month_6,postville,188.72,26.63,16.76
2018,Month_7,postville,95.51,28.57,15.75
2018,Month_8,postville,150.62,27.65,15.41
2018,Month_9,postville,310.9,23.65,11.2
2019,Month_1,postville,51.33,-4.77,-14.23
2019,Month_10,postville,150.89,13.19,2.49
2019,Month_11,postville,62.75,2.62,-5.46
2019,Month_12,postville,48.53,2.67,-7.06
