prec,2015,14.22,15.75,10.92,70.36,93.98,62.99,87.88,168.91,78.74,48.01,149.1,61.47
tmin,2015,-10.81,-14.4,-2.89,4.39,9.98,16.09,17.35,15.86,15.06,6.79,0.27,-4.71
tmax,2015,-1.61,-2.72,11.63,18.28,22.15,27.8,29.26,26.36,26.09,19.01,9.62,1.63
prec,2016,9.4,25.65,61.72,113.03,117.09,97.79,89.92,62.99,224.79,70.36,42.16,47.75
tmin,2016,-12.02,-5.62,0.14,4.06,9.87,17.34,17.99,17.74,14.07,6.67,1.63,-10.98
tmax,2016,-4.13,1.26,11.76,16.23,22.42,29.54,28.6,27.83,25.14,18.26,13.41,-1.65
prec,2017,33.02,26.16,39.37,97.03,93.98,182.37,38.35,138.68,73.15,127.51,0,11.68
tmin,2017,-9.37,-4.5,-2.83,4.7,9.07,16.7,18.27,15.17,13.56,6.16,-2.63,-10.04
tmax,2017,-1.95,6.05,7.26,16.06,21.7,29.77,30.91,25.46,26.07,17.31,8.59,0.09
prec,2018,27.18,36.32,85.09,103.38,125.22,226.57,91.95,92.96,295.4,62.48,19.81,55.63
tmin,2018,-13.76,-13.95,-3.39,-2.01,13.17,18.07,17.91,17.09,13.73,3.51,-5.98,-7.35
tmax,2018,-2.42,-3.31,5.65,8.97,25.94,29.12,28.74,27.29,24.07,14.95,3.46,0
prec,2019,3.05,40.13,76.96,136.14,187.96,42.67,143.26,51.31,92.46,146.56,90.68,31.75
tmin,2019,-13.24,-17,-6.15,3.22,7.85,15.71,18.45,15.59,15.27,2.51,-4.89,-8.22
tmax,2019,-2.81,-6.45,4.35,15.63,19.27,26.95,28.95,26.76,26.19,13.58,5.29,0.61
prec,2020,30.23,12.95,48.77,49.78,93.73,104.9,73.66,22.35,30.73,28.7,21.59,7.62
tmin,2020,-11.28,-10.15,-1.32,1.26,9.91,17.58,18.83,16.8,11.05,1.57,-0.93,-8.44
tmax,2020,-2.48,0.42,9.44,16.39,20.16,31.23,30.33,29.54,23.91,13.28,11.43,2.89
prec,2021,41.91,65.53,74.17,59.44,100.33,41.4,118.11,113.54,61.47,114.55,3.05,33.27
tmin,2021,-8.05,-15.87,-0.11,2.99,9.91,17.7,18.39,17.7,13.67,7.37,-1.17,-6.59
tmax,2021,-0.34,-7.3,11.72,16.48,21.46,31,29.6,28.5,26.37,18.44,10.35,5.2
prec,2022,11.68,9.14,51.31,40.13,82.55,108.97,107.44,49.78,19.56,13.97,38.36,62.99
tmin,2022,-15.05,-14.16,-3.46,0.74,10.34,16.57,18.37,17.19,12.02,3.76,-3.3,-12.4
tmax,2022,-0.32,1.01,8.35,13.11,23.64,29.04,29.89,28.87,26.74,18.84,7.5,-4.03
prec,2023,60.2,40.89,43.18,50.55,55.37,98.81,87.38,127.25,30.73,164.85,3.81,52.32
tmin,2023,-11.45,-10.1,-5.7,2.89,11.65,16.58,16.47,17.56,14.21,5.79,-1.76,-3.66
tmax,2023,-3.73,-0.04,3.54,16.09,25.27,28.91,28.03,28.92,26.74,17.26,11.19,5.75
prec,2024,36.83,9.65,60.96,118.36,241.81,305.31,69.6,67.56,7.37,27.43,78.74,2.03
tmin,2024,-12.17,-3.83,-2.89,4.5,11.16,16.59,17.85,16.52,13.57,6.46,-0.57,-10.56
tmax,2024,-4.5,8.29,11.3,16.76,23.57,27.43,28.31,27.39,27.41,21.72,8.83,2.43
