Year,Month,Stations,prec,tmax,tmin
2015,Month_1,primghar,14.22,-1.61,-10.81
2015,Month_10,primghar,48.01,19.01,6.79
2015,Month_11,primghar,149.1,9.62,0.27
2015,Month_12,primghar,61.47,1.63,-4.71
2015,Month_2,primghar,15.75,-2.72,-14.4
2015,Month_3,primghar,10.92,11.63,-2.89
2015,Month_4,primghar,70.36,18.28,4.39
2015,Month_5,primghar,93.98,22.15,9.98
2015,Month_6,primghar,62.99,27.8,16.09
2015,Month_7,primghar,87.88,29.26,17.35
2015,Month_8,primghar,168.91,26.36,15.86
2015,Month_9,primghar,78.74,26.09,15.06
2016,Month_1,primghar,9.4,-4.13,-12.02
2016,Month_10,primghar,70.36,18.26,6.67
2016,Month_11,primghar,42.16,13.41,1.63
2016,Month_12,primghar,47.75,-1.65,-10.98
2016,Month_2,primghar,25.65,1.26,-5.62
2016,Month_3,primghar,61.72,11.76,0.14
2016,Month_4,primghar,113.03,16.23,4.06
2016,Month_5,primghar,117.09,22.42,9.87
2016,Month_6,primghar,97.79,29.54,17.34
2016,Month_7,primghar,89.92,28.6,17.99
2016,Month_8,primghar,62.99,27.83,17.74
2016,Month_9,primghar,224.79,25.14,14.07
2017,Month_1,primghar,33.02,-1.95,-9.37
2017,Month_10,primghar,127.51,17.31,6.16
2017,Month_11,primghar,0.0,8.59,-2.63
2017,Month_12,primghar,11.68,0.09,-10.04
2017,Month_2,primghar,26.16,6.05,-4.5
2017,Month_3,primghar,39.37,7.26,-2.83
2017,Month_4,primghar,97.03,16.06,4.7
2017,Month_5,primghar,93.98,21.7,9.07
2017,Month_6,primghar,182.37,29.77,16.7
2017,Month_7,primghar,38.35,30.91,18.27
2017,Month_8,primghar,138.68,25.46,15.17
2017,Month_9,primghar,73.15,26.07,13.56
2018,Month_1,primghar,27.18,-2.42,-13.76
2018,Month_10,primghar,62.48,14.95,3.51
2018,Month_11,primghar,19.81,3.46,-5.98
2018,Month_12,primghar,55.63,0.0,-7.35
2018,Month_2,primghar,36.32,-3.31,-13.95
2018,Month_3,primghar,85.09,5.65,-3.39
2018,Month_4,primghar,103.38,8.97,-2.01
2018,Month_5,primghar,125.22,25.94,13.17
2018,Month_6,primghar,226.57,29.12,18.07
2018,Month_7,primghar,91.95,28.74,17.91
2018,Month_8,primghar,92.96,27.29,17.09
2018,Month_9,primghar,295.4,24.07,13.73
2019,Month_1,primghar,3.05,-2.81,-13.24
2019,Month_10,primghar,146.56,13.58,2.51
2019,Month_11,primghar,90.68,5.29,-4.89
2019,Month_12,primghar,31.75,0.61,-8.22
2019,Month_2,primghar,40.13,-6.45,-17.0
2019,Month_3,primghar,76.96,4.35,-6.15
2019,Month_4,primghar,136.14,15.63,3.22
2019,Month_5,primghar,187.96,19.27,7.85
2019,Month_6,primghar,42.67,26.95,15.71
2019,Month_7,primghar,143.26,28.95,18.45
2019,Month_8,primghar,51.31,26.76,15.59
2019,Month_9,primghar,92.46,26.19,15.27
2020,Month_1,primghar,30.23,-2.48,-11.28
2020,Month_10,primghar,28.7,13.28,1.57
2020,Month_11,primghar,21.59,11.43,-0.93
2020,Month_12,primghar,7.62,2.89,-8.44
2020,Month_2,primghar,12.95,0.42,-10.15
2020,Month_3,primghar,48.77,9.44,-1.32
2020,Month_4,primghar,49.78,16.39,1.26
2020,Month_5,primghar,93.73,20.16,9.91
2020,Month_6,primghar,104.9,31.23,17.58
2020,Month_7,primghar,73.66,30.33,18.83
2020,Month_8,primghar,22.35,29.54,16.8
2020,Month_9,primghar,30.73,23.91,11.05
2021,Month_1,primghar,41.91,-0.34,-8.05
2021,Month_10,primghar,114.55,18.44,7.37
2021,Month_11,primghar,3.05,10.35,-1.17
2021,Month_12,primghar,33.27,5.2,-6.59
2021,Month_2,primghar,65.53,-7.3,-15.87
2021,Month_3,primghar,74.17,11.72,-0.11
2021,Month_4,primghar,59.44,16.48,2.99
2021,Month_5,primghar,100.33,21.46,9.91
2021,Month_6,primghar,41.4,31.0,17.7
2021,Month_7,primghar,118.11,29.6,18.39
2021,Month_8,primghar,113.54,28.5,17.7
2021,Month_9,primghar,61.47,26.37,13.67
2022,Month_1,primghar,11.68,-0.32,-15.05
2022,Month_10,primghar,13.97,18.84,3.76
2022,Month_11,primghar,38.36,7.5,-3.3
2022,Month_12,primghar,62.99,-4.03,-12.4
2022,Month_2,primghar,9.14,1.01,-14.16
2022,Month_3,primghar,51.31,8.35,-3.46
2022,Month_4,primghar,40.13,13.11,0.74
2022,Month_5,primghar,82.55,23.64,10.34
2022,Month_6,primghar,108.97,29.04,16.57
2022,Month_7,primghar,107.44,29.89,18.37
2022,Month_8,primghar,49.78,28.87,17.19
