prec,2015,14.73,33.28,7.11,73.67,134.11,300.48,290.07,46.23,169.42,41.91,142.24,115.83
tmin,2015,-10.94,-14.34,-3.46,4.74,11.25,16.59,18.22,16.07,14.7,6.06,0.67,-2.11
tmax,2015,1.02,-1.73,11,18.67,21.43,26.32,28.09,26.63,26.57,18.35,12.65,6.63
prec,2016,13.72,37.34,58.43,66.55,83.83,57.15,129.29,143.51,23.12,26.16,15.75,33.53
tmin,2016,-10.05,-6.21,0.88,4.78,10.04,17.42,18.48,18.8,14.73,7.69,1.57,-8.3
tmax,2016,0.04,4.43,13.12,16.98,21.47,29.84,28.53,28.35,26.72,20.75,15.44,1.54
prec,2017,38.61,10.92,73.66,123.44,104.65,82.8,78.99,104.14,84.84,173.99,14.74,13.46
tmin,2017,-7.71,-4.05,-1.81,5.48,9.64,15.46,18.93,14.59,13.54,7.1,-2.89,-8.57
tmax,2017,1.54,10.42,10.54,17.36,21.67,28.78,31.2,27.33,26.95,19.25,10.09,3.35
prec,2018,22.35,40.39,64.78,12.95,90.42,120.65,74.68,100.08,119.89,172.73,63.75,52.58
tmin,2018,-12.15,-9.94,-2.38,-1.24,14.59,18.57,18.41,18.11,14.06,4.83,-4.56,-5.87
tmax,2018,0.46,2.3,7.69,12.78,27.47,29.54,30.23,30.57,25.5,16.7,5.2,4.15
prec,2019,63.75,63.5,75.69,66.29,285.75,118.62,136.14,179.32,246.63,81.28,26.42,24.64
tmin,2019,-10.56,-13.56,-4.01,3.87,9.27,16.26,19.39,16.72,15.35,3.55,-4.06,-4.85
tmax,2019,-0.41,-1.38,7.01,17.94,20,27.05,30.39,27.72,27.31,15.32,7.85,6.51
prec,2020,53.09,6.1,77.72,66.3,156.98,101.85,69.6,12.7,147.07,50.55,85.34,34.29
tmin,2020,-8.41,-8.98,-0.15,2.8,9.96,17.3,20,17,11.35,3.2,0.24,-7.03
tmax,2020,1.3,2.97,12.22,15.44,20.14,28.37,30.23,29.76,23.87,15.28,14.76,4.46
prec,2021,54.36,17.78,76.21,100.85,95.25,154.94,228.6,64.01,29.46,184.66,35.31,17.27
tmin,2021,-8.19,-14.4,1.2,3.72,10.56,17.04,18.92,18.93,13.48,7.9,-1.39,-3.63
tmax,2021,0.81,-4.21,13.37,15.71,20.35,28.65,28.75,29.33,26.62,19.86,11.52,8.96
prec,2022,29.97,8.13,81.54,86.11,70.87,122.43,60.45,35.57,87.13,45.21,113.55,41.16
tmin,2022,-15.52,-12.54,-3.39,1.2,11.81,16.59,18.49,17.72,13.17,2.44,-2.46,-9.28
tmax,2022,-1.22,3.43,10.97,13.87,22.53,28.49,29.67,30.22,26.26,19.19,10.74,0.83
prec,2023,49.28,60.71,33.53,60.96,51.05,45.72,65.53,80.77,63.75,77.47,12.7,68.58
tmin,2023,-7.22,-9.27,-3.07,3.48,11.17,15.7,18.07,18.08,13.52,6.65,-2.65,-1.22
tmax,2023,3.03,6.19,8.28,18.59,24.3,28.8,29.43,28.8,27.11,19.35,11.04,7.26
prec,2024,67.56,4.07,57.66,147.07,165.35,49.78,115.82,92.96,23.62,66.04,70.11,0.51
tmin,2024,-9.48,-4.27,-0.52,4.52,11.97,17.78,18.32,17.2,13.15,6.27,-0.06,-9.79
tmax,2024,-2.4,11.74,12.96,18.28,23.82,29.4,28.39,28.23,26.28,23.8,11.82,1.39
