Year,Month,Stations,prec,tmax,tmin
2015,Month_1,rathbun dam,14.73,1.02,-10.94
2015,Month_10,rathbun dam,41.91,18.35,6.06
2015,Month_11,rathbun dam,142.24,12.65,0.67
2015,Month_12,rathbun dam,115.83,6.63,-2.11
2015,Month_2,rathbun dam,33.28,-1.73,-14.34
2015,Month_3,rathbun dam,7.11,11.0,-3.46
2015,Month_4,rathbun dam,73.67,18.67,4.74
2015,Month_5,rathbun dam,134.11,21.43,11.25
2015,Month_6,rathbun dam,300.48,26.32,16.59
2015,Month_7,rathbun dam,290.07,28.09,18.22
2015,Month_8,rathbun dam,46.23,26.63,16.07
2015,Month_9,rathbun dam,169.42,26.57,14.7
2016,Month_1,rathbun dam,13.72,0.04,-10.05
2016,Month_10,rathbun dam,26.16,20.75,7.69
2016,Month_11,rathbun dam,15.75,15.44,1.57
2016,Month_12,rathbun dam,33.53,1.54,-8.3
2016,Month_2,rathbun dam,37.34,4.43,-6.21
2016,Month_3,rathbun dam,58.43,13.12,0.88
2016,Month_4,rathbun dam,66.55,16.98,4.78
2016,Month_5,rathbun dam,83.83,21.47,10.04
2016,Month_6,rathbun dam,57.15,29.84,17.42
2016,Month_7,rathbun dam,129.29,28.53,18.48
2016,Month_8,rathbun dam,143.51,28.35,18.8
2016,Month_9,rathbun dam,23.12,26.72,14.73
2017,Month_1,rathbun dam,38.61,1.54,-7.71
2017,Month_10,rathbun dam,173.99,19.25,7.1
2017,Month_11,rathbun dam,14.74,10.09,-2.89
2017,Month_12,rathbun dam,13.46,3.35,-8.57
2017,Month_2,rathbun dam,10.92,10.42,-4.05
2017,Month_3,rathbun dam,73.66,10.54,-1.81
2017,Month_4,rathbun dam,123.44,17.36,5.48
2017,Month_5,rathbun dam,104.65,21.67,9.64
2017,Month_6,rathbun dam,82.8,28.78,15.46
2017,Month_7,rathbun dam,78.99,31.2,18.93
2017,Month_8,rathbun dam,104.14,27.33,14.59
2017,Month_9,rathbun dam,84.84,26.95,13.54
2018,Month_1,rathbun dam,22.35,0.46,-12.15
2018,Month_10,rathbun dam,172.73,16.7,4.83
2018,Month_11,rathbun dam,63.75,5.2,-4.56
2018,Month_12,rathbun dam,52.58,4.15,-5.87
2018,Month_2,rathbun dam,40.39,2.3,-9.94
2018,Month_3,rathbun dam,64.78,7.69,-2.38
2018,Month_4,rathbun dam,12.95,12.78,-1.24
2018,Month_5,rathbun dam,90.42,27.47,14.59
2018,Month_6,rathbun dam,120.65,29.54,18.57
2018,Month_7,rathbun dam,74.68,30.23,18.41
2018,Month_8,rathbun dam,100.08,30.57,18.11
2018,Month_9,rathbun dam,119.89,25.5,14.06
2019,Month_1,rathbun dam,63.75,-0.41,-10.56
2019,Month_10,rathbun dam,81.28,15.32,3.55
2019,Month_11,rathbun dam,26.42,7.85,-4.06
2019,Month_12,rathbun dam,24.64,6.51,-4.85
2019,Month_2,rathbun dam,63.5,-1.38,-13.56
2019,Month_3,rathbun dam,75.69,7.01,-4.01
2019,Month_4,rathbun dam,66.29,17.94,3.87
2019,Month_5,rathbun dam,285.75,20.0,9.27
2019,Month_6,rathbun dam,118.62,27.05,16.26
2019,Month_7,rathbun dam,136.14,30.39,19.39
2019,Month_8,rathbun dam,179.32,27.72,16.72
2019,Month_9,rathbun dam,246.63,27.31,15.35
2020,Month_1,rathbun dam,53.09,1.3,-8.41
2020,Month_10,rathbun dam,50.55,15.28,3.2
2020,Month_11,rathbun dam,85.34,14.76,0.24
2020,Month_12,rathbun dam,34.29,4.46,-7.03
2020,Month_2,rathbun dam,6.1,2.97,-8.98
2020,Month_3,rathbun dam,77.72,12.22,-0.15
2020,Month_4,rathbun dam,66.3,15.44,2.8
2020,Month_5,rathbun dam,156.98,20.14,9.96
2020,Month_6,rathbun dam,101.85,28.37,17.3
2020,Month_7,rathbun dam,69.6,30.23,20.0
2020,Month_8,rathbun dam,12.7,29.76,17.0
2020,Month_9,rathbun dam,147.07,23.87,11.35
2021,Month_1,rathbun dam,54.36,0.81,-8.19
2021,Month_10,rathbun dam,184.66,19.86,7.9
2021,Month_11,rathbun dam,35.31,11.52,-1.39
2021,Month_12,rathbun dam,17.27,8.96,-3.63
2021,Month_2,rathbun dam,17.78,-4.21,-14.4
2021,Month_3,rathbun dam,76.21,13.37,1.2
2021,Month_4,rathbun dam,100.85,15.71,3.72
2021,Month_5,rathbun dam,95.25,20.35,10.56
2021,Month_6,rathbun dam,154.94,28.65,17.04
2021,Month_7,rathbun dam,228.6,28.75,18.92
2021,Month_8,rathbun dam,64.01,29.33,18.93
2021,Month_9,rathbun dam,29.46,26.62,13.48
2022,Month_1,rathbun dam,29.97,-1.22,-15.52
2022,Month_10,rathbun dam,45.21,19.19,2.44
2022,Month_11,rathbun dam,113.55,10.74,-2.46
2022,Month_12,rathbun dam,41.16,0.83,-9.28
2022,Month_2,rathbun dam,8.13,3.43,-12.54
2022,Month_3,rathbun dam,81.54,10.97,-3.39
2022,Month_4,rathbun dam,86.11,13.87,1.2
2022,Month_5,rathbun dam,70.87,22.53,11.81
2022,Month_6,rathbun dam,122.43,28.49,16.59
2022,Month_7,rathbun dam,60.45,29.67,18.49
2022,Month_8,rathbun dam,35.57,30.22,17.72
2022,Month_9,rathbun dam,87.13,26.26,13.17
2023,Month_1,rathbun dam,49.28,3.03,-7.22
2023,Month_10,rathbun dam,77.47,19.35,6.65
2023,Month_11,rathbun dam,12.7,11.04,-2.65
2023,Month_12,rathbun dam,68.58,7.26,-1.22
2023,Month_2,rathbun dam,60.71,6.19,-9.27
2023,Month_3,rathbun dam,33.53,8.28,-3.07
2023,Month_4,rathbun dam,60.96,18.59,3.48
2023,Month_5,rathbun dam,51.05,24.3,11.17
2023,Month_6,rathbun dam,45.72,28.8,15.7
2023,Month_7,rathbun dam,65.53,29.43,18.07
2023,Month_8,rathbun dam,80.77,28.8,18.08
2023,Month_9,rathbun dam,63.75,27.11,13.52
2024,Month_1,rathbun dam,67.56,-2.4,-9.48
2024,Month_10,rathbun dam,66.04,23.8,6.27
2024,Month_11,rathbun dam,70.11,11.82,-0.06
2024,Month_12,rathbun dam,0.51,1.39,-9.79
2024,Month_2,rathbun dam,4.07,11.74,-4.27
2024,Month_3,rathbun dam,57.66,12.96,-0.52
2024,Month_4,rathbun dam,147.07,18.28,4.52
2024,Month_5,rathbun dam,165.35,23.82,11.97
2024,Month_6,rathbun dam,49.78,29.4,17.78
2024,Month_7,rathbun dam,115.82,28.39,18.32
2024,Month_8,rathbun dam,92.96,28.23,17.2
2024,Month_9,rathbun dam,23.62,26.28,13.15
