Year,Month,Stations,prec,tmax,tmin
2015,Month_1,rockrapids,9.65,-1.86,-11.81
2015,Month_10,rockrapids,52.32,18.31,4.33
2015,Month_11,rockrapids,140.21,9.29,-2.32
2015,Month_12,rockrapids,43.7,0.47,-6.94
2015,Month_2,rockrapids,12.2,-5.0,-15.85
2015,Month_3,rockrapids,8.39,9.95,-5.72
2015,Month_4,rockrapids,36.33,17.46,2.07
2015,Month_5,rockrapids,109.22,20.66,7.99
2015,Month_6,rockrapids,116.33,26.54,14.43
2015,Month_7,rockrapids,83.57,28.78,15.75
2015,Month_8,rockrapids,145.8,26.15,14.09
2015,Month_9,rockrapids,95.26,25.98,13.01
2016,Month_1,rockrapids,2.05,-4.44,-13.61
2016,Month_10,rockrapids,42.94,17.87,4.31
2016,Month_11,rockrapids,42.17,11.61,-1.15
2016,Month_12,rockrapids,36.58,-2.22,-12.37
2016,Month_2,rockrapids,17.79,0.34,-7.6
2016,Month_3,rockrapids,42.93,10.13,-1.88
2016,Month_4,rockrapids,108.72,15.28,2.46
2016,Month_5,rockrapids,129.29,21.47,8.39
2016,Month_6,rockrapids,113.29,28.64,15.79
2016,Month_7,rockrapids,54.1,28.91,15.82
2016,Month_8,rockrapids,43.94,27.96,15.72
2016,Month_9,rockrapids,202.45,25.22,12.24
2017,Month_1,rockrapids,15.75,-2.99,-10.43
2017,Month_10,rockrapids,122.94,16.54,2.93
2017,Month_11,rockrapids,0.52,7.02,-5.48
2017,Month_12,rockrapids,19.05,-0.54,-11.36
2017,Month_2,rockrapids,10.41,4.9,-6.53
2017,Month_3,rockrapids,30.23,5.52,-4.22
2017,Month_4,rockrapids,53.59,15.13,2.7
2017,Month_5,rockrapids,99.07,20.14,7.56
2017,Month_6,rockrapids,77.22,28.26,14.43
2017,Month_7,rockrapids,27.18,30.21,16.93
2017,Month_8,rockrapids,132.84,25.39,13.39
2017,Month_9,rockrapids,85.6,24.66,11.21
2018,Month_1,rockrapids,11.68,-4.61,-15.47
