Year,Month,Stations,prec,tmax,tmin
2015,Month_1,shenandoah-1-ne,4.33,3.56,-10.29
2015,Month_10,shenandoah-1-ne,18.29,20.61,6.85
2015,Month_11,shenandoah-1-ne,114.82,13.37,2.24
2015,Month_12,shenandoah-1-ne,157.23,5.81,-3.39
2015,Month_2,shenandoah-1-ne,29.47,-0.65,-12.9
2015,Month_3,shenandoah-1-ne,28.97,13.5,-3.37
2015,Month_4,shenandoah-1-ne,96.53,18.07,5.28
2015,Month_5,shenandoah-1-ne,171.46,21.34,11.24
2015,Month_6,shenandoah-1-ne,196.86,28.04,17.63
2015,Month_7,shenandoah-1-ne,193.05,29.48,18.81
2015,Month_8,shenandoah-1-ne,156.98,27.81,16.59
2015,Month_9,shenandoah-1-ne,132.59,27.46,15.89
2016,Month_1,shenandoah-1-ne,17.03,-0.4,-9.75
2016,Month_10,shenandoah-1-ne,33.79,21.36,7.54
2016,Month_11,shenandoah-1-ne,25.66,15.75,1.82
2016,Month_12,shenandoah-1-ne,29.72,2.37,-8.7
2016,Month_2,shenandoah-1-ne,17.79,7.01,-4.46
2016,Month_3,shenandoah-1-ne,65.53,15.91,1.69
2016,Month_4,shenandoah-1-ne,173.23,18.63,6.09
2016,Month_5,shenandoah-1-ne,207.02,22.72,10.84
2016,Month_6,shenandoah-1-ne,74.93,31.09,18.89
2016,Month_7,shenandoah-1-ne,147.84,29.61,19.09
2016,Month_8,shenandoah-1-ne,242.57,29.2,18.33
2016,Month_9,shenandoah-1-ne,102.87,27.54,15.24
2017,Month_1,shenandoah-1-ne,35.82,1.93,-6.85
2017,Month_10,shenandoah-1-ne,196.6,19.34,6.94
2017,Month_11,shenandoah-1-ne,8.38,11.28,-1.56
2017,Month_12,shenandoah-1-ne,13.47,4.27,-8.48
2017,Month_2,shenandoah-1-ne,17.78,10.34,-3.49
2017,Month_3,shenandoah-1-ne,72.91,11.61,0.23
2017,Month_4,shenandoah-1-ne,89.41,17.96,6.09
2017,Month_5,shenandoah-1-ne,136.4,23.11,10.43
2017,Month_6,shenandoah-1-ne,143.0,29.83,16.9
2017,Month_7,shenandoah-1-ne,123.19,30.98,19.81
2017,Month_8,shenandoah-1-ne,99.32,27.3,15.69
2017,Month_9,shenandoah-1-ne,59.69,27.7,14.14
2018,Month_1,shenandoah-1-ne,10.16,-1.13,-11.76
2018,Month_10,shenandoah-1-ne,155.19,16.11,4.35
2018,Month_11,shenandoah-1-ne,37.09,5.0,-5.13
2018,Month_12,shenandoah-1-ne,53.1,3.67,-6.15
2018,Month_2,shenandoah-1-ne,20.58,1.92,-9.92
2018,Month_3,shenandoah-1-ne,44.21,9.09,-1.11
2018,Month_4,shenandoah-1-ne,5.85,12.89,-0.54
2018,Month_5,shenandoah-1-ne,76.97,27.24,14.56
2018,Month_6,shenandoah-1-ne,177.8,30.22,18.91
