prec,,,,,,,,,,,,,
tmin,2015,-12.46,-16.87,-6.24,1.36,7.03,14.05,14.93,13.62,12.76,3.78,-2.39,-7.44
tmax,2015,-3.53,-6.03,8.91,16.61,20.11,25.93,28.1,25.77,25.57,17.44,7.76,-0.3
prec,2016,9.4,34.29,52.32,111.76,144.78,89.41,96.01,72.14,261.37,54.86,46.23,49.02
tmin,2016,-14.5,-8.24,-2.56,2.24,7.98,14.85,15.72,15.27,11.43,3.98,-0.63,-12.78
tmax,2016,-5.59,-0.96,9.18,14.63,21.13,28.26,28.26,27.49,24.04,16.74,10.7,-3.35
prec,2017,28.96,26.42,41.4,65.79,130.05,61.98,25.65,154.69,77.98,147.57,1.02,10.92
tmin,2017,-10.66,-7,-4.87,2.2,6.58,13.62,16.42,12.91,11.3,3.05,-6,-12.08
tmax,2017,-3.91,3.93,4.57,14.06,19.41,28.05,30.02,24.96,24.41,15.29,5.93,-1.97
prec,2018,34.29,22.86,70.1,107.95,105.16,381,107.95,164.08,231.39,62.48,25.4,53.09
tmin,2018,-16.22,-16.43,-5.06,-4.54,10.75,16.56,16.13,14.33,12.2,0.73,-7.98,-8.96
tmax,2018,-6.3,-5.89,3.17,5.94,24.28,27.91,28.54,26.93,23.07,11.97,1.67,-1.56
prec,2019,13.97,41.91,82.04,162.81,202.95,65.79,192.53,25.15,83.06,155.19,58.42,53.85
tmin,2019,-14.8,-18.12,-8.66,0.56,5.52,13.66,17.34,13.72,12.74,0.7,-7.06,-10.44
tmax,2019,-5.63,-8.93,1.34,12.43,16.86,26.21,28.49,26.04,24.41,11.51,2.89,-2.52
prec,2020,27.94,6.35,49.02,27.69,99.57,89.92,59.18,24.38,24.13,54.86,35.31,18.03
tmin,2020,-12.72,-12.89,-3.73,-2.19,7.15,15.54,16.97,15.1,8.85,-0.89,-3.61,-10.45
tmax,2020,-4.48,-2.18,6.65,13.5,18.21,29.04,29.89,29.42,23.15,11.28,8.74,1.31
prec,2021,21.84,10.16,66.04,83.31,62.74,23.88,91.19,159.26,76.45,90.17,8.13,22.1
tmin,2021,-9.46,-16.51,-2.56,-0.02,7.58,14.87,16.51,15.24,10.42,5.75,-3.76,-8.98
tmax,2021,-1.96,-8.41,8.57,13.87,19.61,30.15,28.95,28.33,25.06,17.99,8.04,1.65
prec,2022,13.46,8.64,47.5,44.2,120.4,76.71,63.75,95.25,11.94,13.21,32.77,53.35
tmin,2022,-17.65,-16.4,-6.36,-2.41,8.75,15.61,17.41,15.81,10.61,0.76,-5.04,-14.19
tmax,2022,-3.92,-2.04,5.93,10.78,21.25,27.89,29.83,28.01,25.94,17.07,6.09,-6.16
prec,2023,76.21,42.67,35.31,37.34,42.42,74.42,52.07,103.89,21.34,117.86,0.25,54.86
tmin,2023,-13.17,-13.99,-8.66,0.5,9.85,15.65,14.85,16.28,12.71,3.46,-4.66,-5.46
tmax,2023,-4.7,-3.1,0.45,13.2,23.83,29.12,28.02,28.07,25.56,15.61,9.08,4.33
prec,2024,28.96,5.84,61.73,127.51,222,373.13,52.33,52.07,5.34,25.66,67.57,1.27
tmin,2024,-12.89,-5.52,-5.05,2.54,9.93,15.07,16.83,15.26,12.19,5.07,-2.26,-12.36
tmax,2024,-5.44,5.96,9,14.3,21.92,26.2,27.49,26.57,26.78,20.22,7.15,-0.9
