Year,Month,Stations,prec,tmax,tmin
2015.0,Month_1,sibley5,,-3.53,-12.46
2015.0,Month_10,sibley5,,17.44,3.78
2015.0,Month_11,sibley5,,7.76,-2.39
2015.0,Month_12,sibley5,,-0.3,-7.44
2015.0,Month_2,sibley5,,-6.03,-16.87
2015.0,Month_3,sibley5,,8.91,-6.24
2015.0,Month_4,sibley5,,16.61,1.36
2015.0,Month_5,sibley5,,20.11,7.03
2015.0,Month_6,sibley5,,25.93,14.05
2015.0,Month_7,sibley5,,28.1,14.93
2015.0,Month_8,sibley5,,25.77,13.62
2015.0,Month_9,sibley5,,25.57,12.76
2016.0,Month_1,sibley5,9.4,-5.59,-14.5
2016.0,Month_10,sibley5,54.86,16.74,3.98
2016.0,Month_11,sibley5,46.23,10.7,-0.63
2016.0,Month_12,sibley5,49.02,-3.35,-12.78
2016.0,Month_2,sibley5,34.29,-0.96,-8.24
2016.0,Month_3,sibley5,52.32,9.18,-2.56
2016.0,Month_4,sibley5,111.76,14.63,2.24
2016.0,Month_5,sibley5,144.78,21.13,7.98
2016.0,Month_6,sibley5,89.41,28.26,14.85
2016.0,Month_7,sibley5,96.01,28.26,15.72
2016.0,Month_8,sibley5,72.14,27.49,15.27
2016.0,Month_9,sibley5,261.37,24.04,11.43
2017.0,Month_1,sibley5,28.96,-3.91,-10.66
2017.0,Month_10,sibley5,147.57,15.29,3.05
2017.0,Month_11,sibley5,1.02,5.93,-6.0
2017.0,Month_12,sibley5,10.92,-1.97,-12.08
2017.0,Month_2,sibley5,26.42,3.93,-7.0
2017.0,Month_3,sibley5,41.4,4.57,-4.87
2017.0,Month_4,sibley5,65.79,14.06,2.2
2017.0,Month_5,sibley5,130.05,19.41,6.58
2017.0,Month_6,sibley5,61.98,28.05,13.62
2017.0,Month_7,sibley5,25.65,30.02,16.42
2017.0,Month_8,sibley5,154.69,24.96,12.91
2017.0,Month_9,sibley5,77.98,24.41,11.3
2018.0,Month_1,sibley5,34.29,-6.3,-16.22
2018.0,Month_10,sibley5,62.48,11.97,0.73
2018.0,Month_11,sibley5,25.4,1.67,-7.98
2018.0,Month_12,sibley5,53.09,-1.56,-8.96
2018.0,Month_2,sibley5,22.86,-5.89,-16.43
2018.0,Month_3,sibley5,70.1,3.17,-5.06
2018.0,Month_4,sibley5,107.95,5.94,-4.54
2018.0,Month_5,sibley5,105.16,24.28,10.75
2018.0,Month_6,sibley5,381.0,27.91,16.56
2018.0,Month_7,sibley5,107.95,28.54,16.13
2018.0,Month_8,sibley5,164.08,26.93,14.33
2018.0,Month_9,sibley5,231.39,23.07,12.2
2019.0,Month_1,sibley5,13.97,-5.63,-14.8
2019.0,Month_10,sibley5,155.19,11.51,0.7
2019.0,Month_11,sibley5,58.42,2.89,-7.06
2019.0,Month_12,sibley5,53.85,-2.52,-10.44
2019.0,Month_2,sibley5,41.91,-8.93,-18.12
2019.0,Month_3,sibley5,82.04,1.34,-8.66
2019.0,Month_4,sibley5,162.81,12.43,0.56
2019.0,Month_5,sibley5,202.95,16.86,5.52
2019.0,Month_6,sibley5,65.79,26.21,13.66
2019.0,Month_7,sibley5,192.53,28.49,17.34
2019.0,Month_8,sibley5,25.15,26.04,13.72
2019.0,Month_9,sibley5,83.06,24.41,12.74
2020.0,Month_1,sibley5,27.94,-4.48,-12.72
2020.0,Month_10,sibley5,54.86,11.28,-0.89
2020.0,Month_11,sibley5,35.31,8.74,-3.61
2020.0,Month_12,sibley5,18.03,1.31,-10.45
2020.0,Month_2,sibley5,6.35,-2.18,-12.89
2020.0,Month_3,sibley5,49.02,6.65,-3.73
2020.0,Month_4,sibley5,27.69,13.5,-2.19
2020.0,Month_5,sibley5,99.57,18.21,7.15
2020.0,Month_6,sibley5,89.92,29.04,15.54
2020.0,Month_7,sibley5,59.18,29.89,16.97
2020.0,Month_8,sibley5,24.38,29.42,15.1
2020.0,Month_9,sibley5,24.13,23.15,8.85
2021.0,Month_1,sibley5,21.84,-1.96,-9.46
2021.0,Month_10,sibley5,90.17,17.99,5.75
2021.0,Month_11,sibley5,8.13,8.04,-3.76
2021.0,Month_12,sibley5,22.1,1.65,-8.98
2021.0,Month_2,sibley5,10.16,-8.41,-16.51
2021.0,Month_3,sibley5,66.04,8.57,-2.56
2021.0,Month_4,sibley5,83.31,13.87,-0.02
2021.0,Month_5,sibley5,62.74,19.61,7.58
2021.0,Month_6,sibley5,23.88,30.15,14.87
2021.0,Month_7,sibley5,91.19,28.95,16.51
2021.0,Month_8,sibley5,159.26,28.33,15.24
2021.0,Month_9,sibley5,76.45,25.06,10.42
2022.0,Month_1,sibley5,13.46,-3.92,-17.65
2022.0,Month_10,sibley5,13.21,17.07,0.76
2022.0,Month_11,sibley5,32.77,6.09,-5.04
2022.0,Month_12,sibley5,53.35,-6.16,-14.19
2022.0,Month_2,sibley5,8.64,-2.04,-16.4
2022.0,Month_3,sibley5,47.5,5.93,-6.36
2022.0,Month_4,sibley5,44.2,10.78,-2.41
2022.0,Month_5,sibley5,120.4,21.25,8.75
2022.0,Month_6,sibley5,76.71,27.89,15.61
2022.0,Month_7,sibley5,63.75,29.83,17.41
2022.0,Month_8,sibley5,95.25,28.01,15.81
2022.0,Month_9,sibley5,11.94,25.94,10.61
2023.0,Month_1,sibley5,76.21,-4.7,-13.17
2023.0,Month_10,sibley5,117.86,15.61,3.46
