prec,2015,16.28,8.15,22.36,64.27,89.67,106.44,144.27,151.64,79.51,21.85,115.58,72.65
tmin,2015,-10.3,-13.47,-3.58,4.13,9.91,16.04,17.52,15.61,14.19,5.34,-0.67,-4.85
tmax,2015,1.61,-1.03,14.66,18.59,21.59,28.07,29.17,26.99,26.17,19.57,11.07,3.44
prec,2016,18.56,28.22,77.73,147.58,127.52,35.06,55.64,128.28,70.62,40.65,51.82,37.6
tmin,2016,-9.96,-5.42,-0.09,4.63,8.89,17.26,18.51,17.37,13.69,6.18,0.36,-9.32
tmax,2016,-1.04,3.98,13.8,17.15,23.26,31.07,30.38,29.34,26.09,19.3,13.77,1.22
prec,2017,17.04,23.37,38.37,74.43,87.39,43.69,21.35,207.28,55.38,173.5,2.03,9.92
tmin,2017,-7.71,-4.68,-1.38,3.83,8.35,14.81,18.81,14.43,12.41,4.12,-3.96,-10.72
tmax,2017,0.23,8.12,10.23,16.35,22.37,30.61,32.11,26.63,25.98,17.06,9.89,1.29
prec,2018,35.07,26.68,49.54,28.97,94.24,219.71,58.43,114.57,188.48,72.14,23.63,48.02
tmin,2018,-13.12,-13.73,-2.03,-1.65,12.6,18.06,16.65,15.93,12.87,2.08,-6.22,-7.83
tmax,2018,-1.09,-2.62,7.4,11.83,25.75,28.61,29.34,27.71,24.15,14.78,4.7,0.99
prec,2019,2.81,35.83,73.42,65.29,159.27,48.02,177.55,49.8,102.12,60.97,35.83,49.8
tmin,2019,-10.81,-15.08,-5.07,2.91,7.99,14.96,18.35,16.04,14.6,1.09,-5.17,-7.53
tmax,2019,-0.68,-5.32,4.65,16.54,19.53,27.91,29.23,27.53,26.69,13.52,6.74,2.04
prec,2020,23.12,7.63,82.56,16.79,65.03,39.63,105.42,33.54,40.65,29.73,53.1,12.95
tmin,2020,-9.44,-8.87,-0.72,0.87,9.18,17.54,18.51,16.04,10.13,0.48,-3.11,-9.07
tmax,2020,-0.99,3.52,10.25,16.63,19.98,31.24,31.09,29.93,24.31,14.21,11.8,4.3
prec,2021,33.04,21.6,91.96,37.1,70.38,33.28,36.33,102.63,64.53,71.63,4.32,16.52
tmin,2021,-7.26,-16.33,-0.93,2.24,9.19,15.72,17.13,16.72,11.97,5.16,-2.46,-6.9
tmax,2021,1.04,-5.56,12.67,17.28,21.41,30.78,30.33,30.23,26.86,19.21,11.67,6.49
prec,2022,4.08,2.54,47.5,36.6,55.39,29.22,47.25,70.62,19.31,12.2,18.55,46.5
tmin,2022,-13.83,-12.52,-4.98,0.43,9.84,15.37,17.74,16.27,10.89,1.45,-5.96,-11.16
tmax,2022,2.44,4.37,10.5,15.76,22.62,30.41,31.77,30.54,27.76,19.77,8.76,-1.54
prec,2023,37.11,33.79,30.49,31.76,111.77,45.47,74.69,63.25,114.05,113.3,5.09,40.4
tmin,2023,-10.57,-9.11,-4.78,2.09,10.89,15.4,15.97,17.2,12.87,4.7,-3.37,-4.93
tmax,2023,-1.25,2.24,5.9,17.61,25.54,29.77,29.73,30.8,28,17.04,12.2,5.93
prec,2024,43.95,10.92,71.89,108.72,146.06,84.85,187.97,61.23,5.6,15.75,70.36,0.01
tmin,2024,-11.61,-3.95,-3.28,3.83,9,15.5,17.02,15.97,11.09,4.95,-1.87,-10.35
tmax,2024,-3.64,9.98,11.88,17.91,23.66,29.12,29.15,27.89,28.41,22.76,9.93,5.83
